step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0257939100e-01,-5.0149935484e-01,1.5432831049e+00,2.4614841309e+03
2,5.0345563889e-01,-5.0191771984e-01,4.6259152889e-01,2.4688193359e+03
3,5.0230669975e-01,-5.0241500139e-01,-1.0741614103e+00,2.4742600098e+03
4,5.0093734264e-01,-5.0202268362e-01,-6.2960773706e-01,2.4782998047e+03
5,5.0097745657e-01,-5.0260698795e-01,-1.0789510012e+00,2.4812829590e+03
6,5.0140148401e-01,-5.0213932991e-01,-1.7251960039e+00,2.4834343262e+03
7,5.0085693598e-01,-5.0063955784e-01,-1.1503562927e+00,2.4849743652e+03
8,5.0268161297e-01,-5.0096738338e-01,-1.1331359148e+00,2.4860312500e+03
9,5.0330823660e-01,-5.0153058767e-01,-8.5293650627e-01,2.4867197266e+03
10,5.0244158506e-01,-5.0177520514e-01,-5.1777118444e-01,2.4871491699e+03
11,5.0189542770e-01,-5.0138342381e-01,-9.2598807812e-01,2.4873481445e+03
12,5.0136476755e-01,-5.0130033493e-01,-1.4664236307e+00,2.4873840332e+03
13,5.0217527151e-01,-5.0203227997e-01,-1.6594727039e+00,2.4872980957e+03
14,5.0156706572e-01,-5.0195145607e-01,-1.0619776249e+00,2.4871076660e+03
15,5.0116568804e-01,-5.0130611658e-01,-1.1465167999e+00,2.4868535156e+03
16,5.0166940689e-01,-5.0082653761e-01,-1.6441226006e+00,2.4865224609e+03
17,5.0204372406e-01,-5.0081121922e-01,-1.1411738396e+00,2.4861679688e+03
18,5.0203430653e-01,-5.0068503618e-01,-1.0018635988e+00,2.4857709961e+03
19,5.0174701214e-01,-5.0054758787e-01,-1.5163400173e+00,2.4853586426e+03
20,5.0122720003e-01,-5.0008946657e-01,-2.2246067524e+00,2.4849138184e+03
21,5.0118970871e-01,-5.0011324883e-01,-1.4420084953e+00,2.4844489746e+03
22,5.0216311216e-01,-5.0113958120e-01,-9.4038414955e-01,2.4839819336e+03
23,5.0184410810e-01,-5.0125098228e-01,-1.3820891380e+00,2.4834956055e+03
24,5.0101315975e-01,-5.0073212385e-01,-1.7250856161e+00,2.4830056152e+03
25,5.0048911572e-01,-4.9974349141e-01,-8.1755256653e-01,2.4825097656e+03
26,5.0139999390e-01,-4.9982202053e-01,-9.0636724234e-01,2.4820131836e+03
27,5.0169199705e-01,-4.9989181757e-01,-1.0939861536e+00,2.4815107422e+03
28,5.0102198124e-01,-4.9978655577e-01,-1.0912404060e+00,2.4810185547e+03
29,5.0085681677e-01,-5.0005489588e-01,-1.1090563536e+00,2.4805146484e+03
30,5.0017118454e-01,-4.9907317758e-01,-1.8308777809e+00,2.4800214844e+03
31,5.0068396330e-01,-4.9961099029e-01,-1.9358284473e+00,2.4795146484e+03
32,5.0198644400e-01,-5.0018084049e-01,-1.7286436558e+00,2.4790070801e+03
