step,vx_100_100,vy_100_100
138,5.0066798925e-01,-5.0012195110e-01
139,5.0061124563e-01,-5.0019347668e-01
140,5.0046730042e-01,-5.0026845932e-01
141,5.0043576956e-01,-5.0034391880e-01
142,5.0044572353e-01,-5.0035440922e-01
143,5.0044971704e-01,-5.0028562546e-01
144,5.0039047003e-01,-5.0018346310e-01
145,5.0037938356e-01,-5.0012737513e-01
146,5.0041145086e-01,-5.0019031763e-01
147,5.0049304962e-01,-5.0027000904e-01
148,5.0055164099e-01,-5.0029301643e-01
149,5.0051993132e-01,-5.0021088123e-01
150,5.0036901236e-01,-5.0009453297e-01
151,5.0031071901e-01,-5.0005340576e-01
152,5.0033265352e-01,-5.0007569790e-01
153,5.0046163797e-01,-5.0013571978e-01
154,5.0053763390e-01,-5.0018966198e-01
155,5.0055402517e-01,-5.0022882223e-01
156,5.0051558018e-01,-5.0017666817e-01
157,5.0048315525e-01,-5.0010007620e-01
158,5.0042742491e-01,-4.9998617172e-01
159,5.0044190884e-01,-5.0001031160e-01
160,5.0049543381e-01,-5.0009763241e-01
161,5.0054126978e-01,-5.0024378300e-01
162,5.0052630901e-01,-5.0028598309e-01
163,5.0041615963e-01,-5.0029599667e-01
164,5.0026559830e-01,-5.0017094612e-01
165,5.0016671419e-01,-5.0008720160e-01
166,5.0019907951e-01,-5.0002890825e-01
167,5.0027573109e-01,-5.0008296967e-01
168,5.0042074919e-01,-5.0017642975e-01
169,5.0049632788e-01,-5.0010102987e-01
170,5.0052684546e-01,-5.0004035234e-01
171,5.0039488077e-01,-4.9997338653e-01
172,5.0037837029e-01,-5.0001895428e-01
173,5.0045782328e-01,-5.0011998415e-01
174,5.0059360266e-01,-5.0021737814e-01
175,5.0064980984e-01,-5.0017559528e-01
176,5.0058043003e-01,-5.0011038780e-01
177,5.0050866604e-01,-4.9997416139e-01
178,5.0042504072e-01,-4.9989613891e-01
179,5.0043606758e-01,-4.9991133809e-01
180,5.0048220158e-01,-4.9999195337e-01
181,5.0052595139e-01,-5.0012224913e-01
182,5.0049841404e-01,-5.0021719933e-01
183,5.0049847364e-01,-5.0030863285e-01
184,5.0043189526e-01,-5.0033080578e-01
185,5.0039923191e-01,-5.0030088425e-01
186,5.0037205219e-01,-5.0022047758e-01
187,5.0039589405e-01,-5.0011116266e-01
188,5.0042617321e-01,-4.9996036291e-01
189,5.0046980381e-01,-4.9986937642e-01
190,5.0050604343e-01,-4.9983662367e-01
191,5.0051778555e-01,-4.9988058209e-01
192,5.0053572655e-01,-5.0001215935e-01
193,5.0053781271e-01,-5.0012427568e-01
194,5.0051409006e-01,-5.0020933151e-01
195,5.0042128563e-01,-5.0027453899e-01
196,5.0034987926e-01,-5.0027257204e-01
197,5.0027728081e-01,-5.0019478798e-01
198,5.0031983852e-01,-5.0007891655e-01
199,5.0040268898e-01,-4.9995726347e-01
200,5.0049513578e-01,-4.9994862080e-01
201,5.0055837631e-01,-5.0002861023e-01
202,5.0057440996e-01,-5.0013262033e-01
203,5.0054109097e-01,-5.0016254187e-01
204,5.0048434734e-01,-5.0014299154e-01
205,5.0042325258e-01,-5.0005900860e-01
206,5.0035524368e-01,-4.9993947148e-01
207,5.0031828880e-01,-4.9990540743e-01
208,5.0032198429e-01,-4.9987420440e-01
209,5.0038099289e-01,-4.9984127283e-01
210,5.0036555529e-01,-4.9979236722e-01
211,5.0032222271e-01,-4.9975892901e-01
212,5.0027048588e-01,-4.9978333712e-01
213,5.0032937527e-01,-4.9987119436e-01
214,5.0047343969e-01,-5.0000017881e-01
215,5.0057637691e-01,-5.0005596876e-01
216,5.0059270859e-01,-5.0005233288e-01
217,5.0057780743e-01,-5.0004607439e-01
218,5.0053411722e-01,-5.0004523993e-01
219,5.0056850910e-01,-5.0007832050e-01
220,5.0054180622e-01,-5.0005054474e-01
221,5.0050950050e-01,-5.0005197525e-01
222,5.0039815903e-01,-5.0001668930e-01
223,5.0034785271e-01,-5.0001138449e-01
224,5.0035148859e-01,-5.0001823902e-01
225,5.0034004450e-01,-5.0001305342e-01
226,5.0041151047e-01,-5.0002443790e-01
227,5.0039970875e-01,-5.0002068281e-01
228,5.0043886900e-01,-5.0006443262e-01
229,5.0048631430e-01,-5.0009047985e-01
230,5.0058650970e-01,-5.0019299984e-01
231,5.0057464838e-01,-5.0022637844e-01
232,5.0051307678e-01,-5.0018393993e-01
233,5.0039118528e-01,-5.0006186962e-01
234,5.0028795004e-01,-4.9985346198e-01
235,5.0034528971e-01,-4.9976208806e-01
236,5.0039750338e-01,-4.9978995323e-01
237,5.0044661760e-01,-4.9990743399e-01
238,5.0049716234e-01,-5.0001519918e-01
239,5.0046396255e-01,-5.0011503696e-01
240,5.0036787987e-01,-5.0009924173e-01
241,5.0033062696e-01,-5.0005179644e-01
242,5.0035279989e-01,-5.0007307529e-01
243,5.0043904781e-01,-5.0005441904e-01
244,5.0054603815e-01,-5.0004374981e-01
245,5.0055575371e-01,-4.9999472499e-01
246,5.0050550699e-01,-4.9996033311e-01
247,5.0035595894e-01,-4.9995040894e-01
248,5.0025707483e-01,-4.9988085032e-01
249,5.0024163723e-01,-4.9981755018e-01
250,5.0028008223e-01,-4.9976140261e-01
251,5.0037997961e-01,-4.9976646900e-01
252,5.0048393011e-01,-4.9977049232e-01
253,5.0056481361e-01,-4.9975514412e-01
254,5.0057625771e-01,-4.9977982044e-01
255,5.0049805641e-01,-4.9983751774e-01
256,5.0048208237e-01,-4.9991592765e-01
257,5.0040155649e-01,-4.9996432662e-01
258,5.0038993359e-01,-4.9999976158e-01
259,5.0034946203e-01,-5.0003027916e-01
260,5.0037246943e-01,-5.0004088879e-01
261,5.0038558245e-01,-5.0005036592e-01
262,5.0037384033e-01,-4.9998635054e-01
263,5.0036334991e-01,-4.9994981289e-01
264,5.0035583973e-01,-4.9994069338e-01
265,5.0042259693e-01,-4.9995720387e-01
266,5.0050282478e-01,-4.9998778105e-01
267,5.0052154064e-01,-5.0000464916e-01
268,5.0047844648e-01,-4.9998652935e-01
269,5.0047391653e-01,-5.0004297495e-01
270,5.0044029951e-01,-5.0009280443e-01
271,5.0045096874e-01,-5.0003784895e-01
272,5.0045412779e-01,-4.9988514185e-01
273,5.0037056208e-01,-4.9976509809e-01
274,5.0029575825e-01,-4.9971765280e-01
275,5.0038403273e-01,-4.9977529049e-01
276,5.0048410892e-01,-4.9983668327e-01
277,5.0049877167e-01,-4.9989664555e-01
278,5.0041341782e-01,-4.9990001321e-01
279,5.0031352043e-01,-4.9992370605e-01
280,5.0025570393e-01,-4.9993875623e-01
281,5.0028610229e-01,-4.9996170402e-01
282,5.0033944845e-01,-4.9997046590e-01
283,5.0035464764e-01,-5.0003105402e-01
284,5.0036334991e-01,-4.9997925758e-01
285,5.0036817789e-01,-4.9996602535e-01
286,5.0037586689e-01,-4.9994081259e-01
287,5.0039827824e-01,-4.9989125133e-01
288,5.0046271086e-01,-4.9985370040e-01
289,5.0043159723e-01,-4.9978280067e-01
290,5.0047826767e-01,-4.9981325865e-01
291,5.0046569109e-01,-4.9982401729e-01
292,5.0046122074e-01,-4.9995115399e-01
293,5.0041300058e-01,-5.0007873774e-01
294,5.0037795305e-01,-5.0017726421e-01
295,5.0033116341e-01,-5.0010454655e-01
296,5.0022357702e-01,-4.9994608760e-01
297,5.0018322468e-01,-4.9975898862e-01
298,5.0022226572e-01,-4.9968409538e-01
299,5.0037223101e-01,-4.9974113703e-01
300,5.0054198503e-01,-4.9982637167e-01
301,5.0067788363e-01,-4.9992394447e-01
302,5.0064659119e-01,-4.9998247623e-01
303,5.0052642822e-01,-5.0000047684e-01
304,5.0040608644e-01,-4.9988996983e-01
305,5.0033593178e-01,-4.9979439378e-01
306,5.0032484531e-01,-4.9975910783e-01
307,5.0039231777e-01,-4.9974742532e-01
308,5.0045955181e-01,-4.9980738759e-01
309,5.0048065186e-01,-4.9979981780e-01
310,5.0042504072e-01,-4.9976345897e-01
311,5.0032919645e-01,-4.9975618720e-01
312,5.0025326014e-01,-4.9986526370e-01
313,5.0031745434e-01,-4.9995356798e-01
314,5.0037783384e-01,-5.0001192093e-01
315,5.0035685301e-01,-4.9998271465e-01
316,5.0036555529e-01,-4.9992644787e-01
317,5.0035744905e-01,-4.9987471104e-01
318,5.0038480759e-01,-4.9986660480e-01
319,5.0036692619e-01,-4.9982106686e-01
320,5.0035464764e-01,-4.9989119172e-01
321,5.0035512447e-01,-4.9986410141e-01
322,5.0032120943e-01,-4.9975448847e-01
323,5.0028562546e-01,-4.9970847368e-01
324,5.0029867887e-01,-4.9977350235e-01
325,5.0037091970e-01,-4.9990212917e-01
326,5.0038635731e-01,-5.0003129244e-01
327,5.0036156178e-01,-5.0006550550e-01
328,5.0024354458e-01,-4.9996823072e-01
329,5.0018256903e-01,-4.9985486269e-01
330,5.0017470121e-01,-4.9974441528e-01
331,5.0024986267e-01,-4.9970567226e-01
332,5.0040191412e-01,-4.9968779087e-01
333,5.0054478645e-01,-4.9966898561e-01
334,5.0059622526e-01,-4.9966561794e-01
335,5.0056272745e-01,-4.9966314435e-01
336,5.0048184395e-01,-4.9971112609e-01
337,5.0040161610e-01,-4.9979183078e-01
338,5.0040805340e-01,-4.9993142486e-01
339,5.0040632486e-01,-4.9998328090e-01
340,5.0033998489e-01,-5.0003236532e-01
341,5.0028157234e-01,-5.0000125170e-01
342,5.0022780895e-01,-4.9994084239e-01
343,5.0023061037e-01,-4.9984729290e-01
344,5.0022375584e-01,-4.9969133735e-01
345,5.0020730495e-01,-4.9959179759e-01
346,5.0021344423e-01,-4.9956941605e-01
347,5.0036853552e-01,-4.9969777465e-01
348,5.0046151876e-01,-4.9986952543e-01
349,5.0050920248e-01,-5.0002187490e-01
350,5.0044590235e-01,-5.0000810623e-01
351,5.0031256676e-01,-4.9991160631e-01
352,5.0017386675e-01,-4.9979028106e-01
353,5.0017607212e-01,-4.9964833260e-01
354,5.0033873320e-01,-4.9964344501e-01
355,5.0047349930e-01,-4.9969160557e-01
356,5.0062018633e-01,-4.9986627698e-01
357,5.0063312054e-01,-4.9993899465e-01
358,5.0057458878e-01,-4.9999353290e-01
359,5.0044059753e-01,-4.9997350574e-01
360,5.0030118227e-01,-4.9994572997e-01
361,5.0027090311e-01,-4.9994850159e-01
362,5.0027292967e-01,-4.9991464615e-01
363,5.0030827522e-01,-4.9990898371e-01
364,5.0032442808e-01,-4.9988377094e-01
365,5.0035554171e-01,-4.9985775352e-01
366,5.0034523010e-01,-4.9984848499e-01
367,5.0038784742e-01,-4.9979081750e-01
368,5.0047206879e-01,-4.9968153238e-01
