step,vx_50_50,vy_50_50
138,4.9523794651e-01,-4.9585166574e-01
139,4.9530008435e-01,-4.9614113569e-01
140,4.9497389793e-01,-4.9581030011e-01
141,4.9426287413e-01,-4.9508640170e-01
142,4.9378120899e-01,-4.9445298314e-01
143,4.9380064011e-01,-4.9433135986e-01
144,4.9424412847e-01,-4.9451333284e-01
145,4.9477475882e-01,-4.9476671219e-01
146,4.9510389566e-01,-4.9493071437e-01
147,4.9500426650e-01,-4.9486944079e-01
148,4.9463373423e-01,-4.9467250705e-01
149,4.9418762326e-01,-4.9435472488e-01
150,4.9400165677e-01,-4.9419417977e-01
151,4.9401983619e-01,-4.9418482184e-01
152,4.9411517382e-01,-4.9426263571e-01
153,4.9426153302e-01,-4.9422088265e-01
154,4.9424165487e-01,-4.9410542846e-01
155,4.9421820045e-01,-4.9404025078e-01
156,4.9412444234e-01,-4.9404329062e-01
157,4.9415254593e-01,-4.9408906698e-01
158,4.9425122142e-01,-4.9402770400e-01
159,4.9429845810e-01,-4.9383327365e-01
160,4.9415120482e-01,-4.9358922243e-01
161,4.9394693971e-01,-4.9347582459e-01
162,4.9389949441e-01,-4.9356833100e-01
163,4.9396091700e-01,-4.9379682541e-01
164,4.9406272173e-01,-4.9385550618e-01
165,4.9408042431e-01,-4.9379438162e-01
166,4.9376419187e-01,-4.9363723397e-01
167,4.9356731772e-01,-4.9376383424e-01
168,4.9344059825e-01,-4.9398621917e-01
169,4.9364128709e-01,-4.9408084154e-01
170,4.9368450046e-01,-4.9389708042e-01
171,4.9343311787e-01,-4.9342522025e-01
172,4.9314805865e-01,-4.9308758974e-01
173,4.9310553074e-01,-4.9300572276e-01
174,4.9343594909e-01,-4.9320083857e-01
175,4.9380618334e-01,-4.9345988035e-01
176,4.9392068386e-01,-4.9355632067e-01
177,4.9383670092e-01,-4.9346321821e-01
178,4.9344626069e-01,-4.9328482151e-01
179,4.9320951104e-01,-4.9308621883e-01
180,4.9313831329e-01,-4.9295535684e-01
181,4.9324345589e-01,-4.9295663834e-01
182,4.9326497316e-01,-4.9285364151e-01
183,4.9326327443e-01,-4.9275571108e-01
184,4.9322497845e-01,-4.9277240038e-01
185,4.9311730266e-01,-4.9280175567e-01
186,4.9316686392e-01,-4.9293369055e-01
187,4.9322760105e-01,-4.9303904176e-01
188,4.9331617355e-01,-4.9311384559e-01
189,4.9326890707e-01,-4.9307876825e-01
190,4.9310791492e-01,-4.9308043718e-01
191,4.9298328161e-01,-4.9296540022e-01
192,4.9281337857e-01,-4.9290370941e-01
193,4.9270996451e-01,-4.9281868339e-01
194,4.9261751771e-01,-4.9281182885e-01
195,4.9254524708e-01,-4.9289035797e-01
196,4.9242529273e-01,-4.9298354983e-01
197,4.9239361286e-01,-4.9293237925e-01
198,4.9233579636e-01,-4.9275991321e-01
199,4.9225905538e-01,-4.9263444543e-01
200,4.9227041006e-01,-4.9243199825e-01
201,4.9244132638e-01,-4.9243476987e-01
202,4.9259117246e-01,-4.9255856872e-01
203,4.9247962236e-01,-4.9256560206e-01
204,4.9232238531e-01,-4.9249324203e-01
205,4.9208781123e-01,-4.9236190319e-01
206,4.9199557304e-01,-4.9235793948e-01
207,4.9188610911e-01,-4.9235045910e-01
208,4.9192041159e-01,-4.9230492115e-01
209,4.9196711183e-01,-4.9213647842e-01
210,4.9207165837e-01,-4.9213463068e-01
211,4.9213403463e-01,-4.9214082956e-01
212,4.9216639996e-01,-4.9216154218e-01
213,4.9206444621e-01,-4.9211129546e-01
214,4.9183693528e-01,-4.9201762676e-01
215,4.9162513018e-01,-4.9185326695e-01
216,4.9158117175e-01,-4.9173489213e-01
217,4.9157947302e-01,-4.9166512489e-01
218,4.9158805609e-01,-4.9159651995e-01
219,4.9163585901e-01,-4.9161794782e-01
220,4.9161788821e-01,-4.9155846238e-01
221,4.9162200093e-01,-4.9159708619e-01
222,4.9159824848e-01,-4.9172884226e-01
223,4.9144992232e-01,-4.9181592464e-01
224,4.9140310287e-01,-4.9191337824e-01
225,4.9126961827e-01,-4.9193590879e-01
226,4.9118098617e-01,-4.9187219143e-01
227,4.9117699265e-01,-4.9166932702e-01
228,4.9110093713e-01,-4.9132171273e-01
229,4.9104768038e-01,-4.9096226692e-01
230,4.9100700021e-01,-4.9071660638e-01
231,4.9104589224e-01,-4.9073201418e-01
232,4.9132889509e-01,-4.9100881815e-01
233,4.9151259661e-01,-4.9134635925e-01
234,4.9159285426e-01,-4.9158638716e-01
235,4.9148449302e-01,-4.9165862799e-01
236,4.9123510718e-01,-4.9154922366e-01
237,4.9099543691e-01,-4.9125120044e-01
238,4.9084234238e-01,-4.9105754495e-01
239,4.9081906676e-01,-4.9086597562e-01
240,4.9087753892e-01,-4.9084824324e-01
241,4.9099680781e-01,-4.9085438251e-01
242,4.9115291238e-01,-4.9097883701e-01
243,4.9128603935e-01,-4.9114090204e-01
244,4.9122783542e-01,-4.9124979973e-01
245,4.9102970958e-01,-4.9125766754e-01
246,4.9082812667e-01,-4.9107095599e-01
247,4.9055069685e-01,-4.9088317156e-01
248,4.9041098356e-01,-4.9064654112e-01
249,4.9028697610e-01,-4.9055710435e-01
250,4.9023142457e-01,-4.9055412412e-01
251,4.9024656415e-01,-4.9052277207e-01
252,4.9038580060e-01,-4.9058818817e-01
253,4.9037194252e-01,-4.9060425162e-01
254,4.9049216509e-01,-4.9062240124e-01
255,4.9039086699e-01,-4.9066093564e-01
256,4.9031046033e-01,-4.9064385891e-01
257,4.9024397135e-01,-4.9072593451e-01
258,4.9015143514e-01,-4.9072635174e-01
259,4.9018645287e-01,-4.9066483974e-01
260,4.9004727602e-01,-4.9063876271e-01
261,4.8986095190e-01,-4.9047464132e-01
262,4.8968619108e-01,-4.9042156339e-01
263,4.8963689804e-01,-4.9036222696e-01
264,4.8977589607e-01,-4.9041309953e-01
265,4.8984292150e-01,-4.9041610956e-01
266,4.8979905248e-01,-4.9027869105e-01
267,4.8971414566e-01,-4.8995816708e-01
268,4.8970076442e-01,-4.8982191086e-01
269,4.8993080854e-01,-4.8981723189e-01
270,4.9020764232e-01,-4.8993763328e-01
271,4.9027416110e-01,-4.8982945085e-01
272,4.9004685879e-01,-4.8957166076e-01
273,4.8966968060e-01,-4.8916774988e-01
274,4.8936375976e-01,-4.8891189694e-01
275,4.8930737376e-01,-4.8883801699e-01
276,4.8955872655e-01,-4.8910546303e-01
277,4.8988211155e-01,-4.8941811919e-01
278,4.8993271589e-01,-4.8950192332e-01
279,4.8971807957e-01,-4.8937407136e-01
280,4.8942181468e-01,-4.8915338516e-01
281,4.8923617601e-01,-4.8894068599e-01
282,4.8924073577e-01,-4.8875096440e-01
283,4.8922106624e-01,-4.8846733570e-01
284,4.8927924037e-01,-4.8836922646e-01
285,4.8935380578e-01,-4.8846703768e-01
286,4.8945990205e-01,-4.8861089349e-01
287,4.8959732056e-01,-4.8867863417e-01
288,4.8971661925e-01,-4.8870876431e-01
289,4.8969095945e-01,-4.8870205879e-01
290,4.8956489563e-01,-4.8856675625e-01
291,4.8950073123e-01,-4.8835250735e-01
292,4.8946401477e-01,-4.8809173703e-01
293,4.8954018950e-01,-4.8805597425e-01
294,4.8960289359e-01,-4.8811370134e-01
295,4.8970082402e-01,-4.8822242022e-01
296,4.8957249522e-01,-4.8832422495e-01
297,4.8934072256e-01,-4.8842382431e-01
298,4.8904705048e-01,-4.8849028349e-01
299,4.8881134391e-01,-4.8848307133e-01
300,4.8875099421e-01,-4.8849874735e-01
301,4.8865103722e-01,-4.8847612739e-01
302,4.8867407441e-01,-4.8845815659e-01
303,4.8866903782e-01,-4.8834609985e-01
304,4.8875018954e-01,-4.8827263713e-01
305,4.8886805773e-01,-4.8825135827e-01
306,4.8889467120e-01,-4.8818850517e-01
307,4.8888090253e-01,-4.8815703392e-01
308,4.8866114020e-01,-4.8806232214e-01
309,4.8855665326e-01,-4.8810032010e-01
310,4.8844024539e-01,-4.8816683888e-01
311,4.8842200637e-01,-4.8814243078e-01
312,4.8836398125e-01,-4.8798066378e-01
313,4.8820945621e-01,-4.8766276240e-01
314,4.8807469010e-01,-4.8746189475e-01
315,4.8815792799e-01,-4.8751521111e-01
316,4.8837393522e-01,-4.8767691851e-01
317,4.8856368661e-01,-4.8790559173e-01
318,4.8858785629e-01,-4.8804524541e-01
319,4.8846319318e-01,-4.8808345199e-01
320,4.8822465539e-01,-4.8803558946e-01
321,4.8797598481e-01,-4.8786678910e-01
322,4.8777514696e-01,-4.8771110177e-01
323,4.8767021298e-01,-4.8752406240e-01
324,4.8760899901e-01,-4.8745155334e-01
325,4.8755452037e-01,-4.8745846748e-01
326,4.8770767450e-01,-4.8756098747e-01
327,4.8790627718e-01,-4.8765304685e-01
328,4.8807033896e-01,-4.8751711845e-01
329,4.8804005980e-01,-4.8725748062e-01
330,4.8778375983e-01,-4.8702344298e-01
331,4.8756906390e-01,-4.8695027828e-01
332,4.8749753833e-01,-4.8711508512e-01
333,4.8757264018e-01,-4.8725998402e-01
334,4.8755064607e-01,-4.8723688722e-01
335,4.8736929893e-01,-4.8703095317e-01
336,4.8715928197e-01,-4.8674443364e-01
337,4.8710104823e-01,-4.8653516173e-01
338,4.8724237084e-01,-4.8643919826e-01
339,4.8762124777e-01,-4.8648816347e-01
340,4.8784923553e-01,-4.8661354184e-01
341,4.8793357611e-01,-4.8679479957e-01
342,4.8778834939e-01,-4.8671355844e-01
343,4.8750856519e-01,-4.8654934764e-01
344,4.8729687929e-01,-4.8632252216e-01
345,4.8713889718e-01,-4.8609012365e-01
346,4.8717233539e-01,-4.8600220680e-01
347,4.8717454076e-01,-4.8602837324e-01
348,4.8721694946e-01,-4.8613667488e-01
349,4.8728570342e-01,-4.8626261950e-01
350,4.8726627231e-01,-4.8631465435e-01
351,4.8723945022e-01,-4.8641562462e-01
352,4.8708686233e-01,-4.8628920317e-01
353,4.8689472675e-01,-4.8607340455e-01
354,4.8674091697e-01,-4.8590242863e-01
355,4.8671805859e-01,-4.8585575819e-01
356,4.8682254553e-01,-4.8601323366e-01
