step,vx_225_100,vy_225_100,pressure_225_100,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9600000000e+02
1,1.9729751348e+00,5.2500003949e-04,7.2938100000e+05,1.6299073792e+02,-4.2968750931e-03,1.1910161719e+05
2,2.0179538727e+00,-3.2914715121e-04,1.7820875000e+04,2.5805120468e+00,-8.9892577380e-03,1.2303558594e+05
3,2.0133485794e+00,-2.5805813493e-04,-1.8143703613e+03,1.1875094175e+00,-1.1624756269e-02,1.2263058594e+05
4,2.0084805489e+00,-1.8345691205e-04,-1.9157561035e+03,1.1078572273e+00,3.4744262230e-03,1.2222066406e+05
5,2.0035109520e+00,-8.9148023108e-05,-1.9470227051e+03,9.8675656319e-01,1.6044922173e-02,1.2179569531e+05
6,1.9985927343e+00,-1.4187323359e-05,-1.9487806396e+03,9.7107887268e-01,3.5345458891e-03,1.2137477344e+05
7,1.9936962128e+00,9.1341047664e-05,-1.9245073242e+03,8.9063066244e-01,-1.2642212212e-02,1.2096078906e+05
8,1.9892268181e+00,2.5034081773e-04,-1.8255651855e+03,8.3843863010e-01,1.0321044829e-03,1.2056164062e+05
9,1.9888814688e+00,1.9742531003e-04,-7.5245056152e+01,8.9932817221e-01,-2.4803925306e-02,1.2051075781e+05
10,1.9889994860e+00,1.7340524937e-04,8.8164443970e+01,8.8815844059e-01,-2.1239623427e-02,1.2050805469e+05
11,1.9893513918e+00,1.5175095177e-04,1.5911714172e+02,8.9151757956e-01,2.9313659761e-03,1.2052947656e+05
12,1.9898611307e+00,1.2110596435e-04,2.0673727417e+02,9.1235983372e-01,-7.8964233398e-03,1.2056946094e+05
13,1.9904540777e+00,1.0483874939e-04,2.4345866394e+02,9.3761229515e-01,-2.2787246853e-02,1.2062615625e+05
14,1.9912445545e+00,6.4088118961e-05,2.7547970581e+02,9.3576586246e-01,-8.9352419600e-03,1.2069689062e+05
15,1.9919393063e+00,8.8465472800e-05,2.9983108521e+02,9.1311055422e-01,-2.1353911608e-02,1.2077742188e+05
16,1.9928710461e+00,5.2847091865e-05,3.2576861572e+02,9.3662995100e-01,1.7729111016e-02,1.2086635938e+05
17,1.9938011169e+00,7.0164023782e-05,3.5222232056e+02,9.5742011070e-01,-1.9088363275e-02,1.2096289062e+05
18,1.9948072433e+00,7.1152862802e-05,3.7651422119e+02,9.4811218977e-01,-2.0546646789e-02,1.2106404688e+05
19,1.9958273172e+00,7.3829272878e-05,3.9980792236e+02,9.5312619209e-01,-2.7898330241e-02,1.2116954688e+05
20,1.9968836308e+00,3.6396188079e-05,4.2440554810e+02,9.8615479469e-01,5.5107879452e-03,1.2127648438e+05
21,1.9980881214e+00,4.3883741455e-05,4.4304129028e+02,9.9911653996e-01,1.6850052401e-02,1.2138460938e+05
22,1.9991356134e+00,-8.0628618889e-05,4.5562341309e+02,1.0154651403e+00,-3.8954161573e-03,1.2149311719e+05
23,2.0004587173e+00,2.0058199880e-05,4.6188519287e+02,9.9968856573e-01,8.3419037983e-03,1.2159946875e+05
24,2.0012650490e+00,-2.6095059002e-04,4.6069158936e+02,1.0287708044e+00,-6.7503359169e-03,1.2170412500e+05
25,2.0025439262e+00,-1.2878415873e-04,4.5226141357e+02,1.0393042564e+00,-3.0315628275e-02,1.2180441406e+05
