step,vx_5_10,singularity_count,dirichlet
99,2.5423126221e+00,4.5000000000e+01,7.2690000000e+03
100,2.5462431908e+00,4.5000000000e+01,7.1230000000e+03
101,2.5336921215e+00,3.9000000000e+01,7.2110000000e+03
102,2.5408065319e+00,3.6000000000e+01,7.3160000000e+03
103,2.5423853397e+00,4.5000000000e+01,7.1840000000e+03
104,2.5333428383e+00,3.5000000000e+01,7.1290000000e+03
105,2.5378954411e+00,4.6000000000e+01,7.3820000000e+03
106,2.5289659500e+00,3.8000000000e+01,7.2240000000e+03
107,2.5424888134e+00,2.6000000000e+01,7.0960000000e+03
108,2.5360171795e+00,2.9000000000e+01,7.2840000000e+03
109,2.5349545479e+00,4.4000000000e+01,7.2610000000e+03
110,2.5333192348e+00,3.9000000000e+01,7.1430000000e+03
111,2.5434815884e+00,3.3000000000e+01,7.1830000000e+03
112,2.5359609127e+00,5.3000000000e+01,7.2320000000e+03
113,2.5365900993e+00,4.0000000000e+01,7.1350000000e+03
114,2.5381410122e+00,3.5000000000e+01,7.2110000000e+03
115,2.5353355408e+00,3.9000000000e+01,7.3980000000e+03
116,2.5398170948e+00,3.4000000000e+01,7.1910000000e+03
117,2.5403096676e+00,5.2000000000e+01,7.2430000000e+03
118,2.5441720486e+00,3.7000000000e+01,7.2370000000e+03
119,2.5436363220e+00,4.3000000000e+01,7.2790000000e+03
120,2.5372238159e+00,4.9000000000e+01,7.3320000000e+03
121,2.5360739231e+00,5.1000000000e+01,7.2550000000e+03
122,2.5430974960e+00,4.6000000000e+01,7.4170000000e+03
123,2.5423362255e+00,4.7000000000e+01,7.2200000000e+03
124,2.5404584408e+00,4.3000000000e+01,7.2830000000e+03
125,2.5441730022e+00,3.1000000000e+01,7.2830000000e+03
126,2.5391070843e+00,3.6000000000e+01,7.2980000000e+03
127,2.5412814617e+00,4.1000000000e+01,7.2770000000e+03
128,2.5471801758e+00,3.0000000000e+01,7.3900000000e+03
129,2.5384714603e+00,3.5000000000e+01,7.2570000000e+03
130,2.5416808128e+00,4.6000000000e+01,7.2850000000e+03
131,2.5412614346e+00,4.1000000000e+01,7.3530000000e+03
132,2.5403285027e+00,4.7000000000e+01,7.3060000000e+03
133,2.5399234295e+00,4.0000000000e+01,7.3290000000e+03
134,2.5383830070e+00,3.6000000000e+01,7.3140000000e+03
135,2.5424652100e+00,4.2000000000e+01,7.4070000000e+03
136,2.5494165421e+00,3.6000000000e+01,7.3490000000e+03
137,2.5469555855e+00,4.2000000000e+01,7.2290000000e+03
138,2.5394241810e+00,3.4000000000e+01,7.1960000000e+03
139,2.5435097218e+00,6.2000000000e+01,7.3210000000e+03
140,2.5415623188e+00,5.1000000000e+01,7.2540000000e+03
141,2.5391159058e+00,6.0000000000e+01,7.4160000000e+03
142,2.5355503559e+00,5.5000000000e+01,7.2470000000e+03
143,2.5452036858e+00,5.0000000000e+01,7.3090000000e+03
144,2.5477762222e+00,4.1000000000e+01,7.3480000000e+03
145,2.5372138023e+00,4.5000000000e+01,7.3080000000e+03
146,2.5404212475e+00,5.5000000000e+01,7.2410000000e+03
147,2.5451853275e+00,3.6000000000e+01,7.4750000000e+03
148,2.5375699997e+00,3.8000000000e+01,7.3660000000e+03
149,2.5420162678e+00,4.7000000000e+01,7.3020000000e+03
150,2.5424153805e+00,4.6000000000e+01,7.4040000000e+03
151,2.5410199165e+00,4.6000000000e+01,7.2930000000e+03
152,2.5445084572e+00,3.5000000000e+01,7.2510000000e+03
153,2.5407207012e+00,3.9000000000e+01,7.4910000000e+03
154,2.5408103466e+00,4.5000000000e+01,7.2050000000e+03
155,2.5388817787e+00,5.7000000000e+01,7.3800000000e+03
156,2.5429952145e+00,4.1000000000e+01,7.2550000000e+03
157,2.5441658497e+00,4.0000000000e+01,7.2570000000e+03
158,2.5460903645e+00,4.3000000000e+01,7.4700000000e+03
159,2.5439760685e+00,4.3000000000e+01,7.3350000000e+03
160,2.5394489765e+00,4.3000000000e+01,7.4160000000e+03
161,2.5409276485e+00,6.0000000000e+01,7.1810000000e+03
162,2.5387456417e+00,3.4000000000e+01,7.5360000000e+03
163,2.5405826569e+00,5.4000000000e+01,7.2960000000e+03
164,2.5321183205e+00,4.2000000000e+01,7.2520000000e+03
165,2.5324473381e+00,4.9000000000e+01,7.5300000000e+03
166,2.5353574753e+00,3.8000000000e+01,7.5200000000e+03
167,2.5294284821e+00,5.7000000000e+01,7.3590000000e+03
168,2.5391807556e+00,3.6000000000e+01,7.3880000000e+03
169,2.5335130692e+00,4.1000000000e+01,7.3130000000e+03
170,2.5223395824e+00,4.8000000000e+01,7.1480000000e+03
171,2.5307109356e+00,5.5000000000e+01,7.4660000000e+03
172,2.5268507004e+00,4.2000000000e+01,7.5430000000e+03
173,2.5240409374e+00,4.6000000000e+01,7.3740000000e+03
174,2.5306105614e+00,4.9000000000e+01,7.3210000000e+03
175,2.5282700062e+00,4.8000000000e+01,7.5050000000e+03
176,2.5250413418e+00,4.9000000000e+01,7.3550000000e+03
177,2.5377161503e+00,5.1000000000e+01,7.2370000000e+03
178,2.5354170799e+00,4.5000000000e+01,7.4850000000e+03
179,2.5334098339e+00,3.5000000000e+01,7.2780000000e+03
180,2.5359706879e+00,4.2000000000e+01,7.4320000000e+03
181,2.5369317532e+00,4.0000000000e+01,7.3450000000e+03
182,2.5380611420e+00,3.7000000000e+01,7.4190000000e+03
183,2.5354933739e+00,4.7000000000e+01,7.2570000000e+03
184,2.5427849293e+00,4.3000000000e+01,7.3940000000e+03
185,2.5385138988e+00,4.4000000000e+01,7.4230000000e+03
186,2.5422997475e+00,3.5000000000e+01,7.3950000000e+03
187,2.5419876575e+00,4.6000000000e+01,7.3430000000e+03
188,2.5429620743e+00,3.7000000000e+01,7.4850000000e+03
189,2.5470545292e+00,4.7000000000e+01,7.4490000000e+03
190,2.5361001492e+00,4.4000000000e+01,7.2940000000e+03
191,2.5395681858e+00,4.0000000000e+01,7.4050000000e+03
192,2.5390243530e+00,4.3000000000e+01,7.4360000000e+03
193,2.5368430614e+00,3.6000000000e+01,7.3990000000e+03
194,2.5369162560e+00,5.1000000000e+01,7.3090000000e+03
195,2.5388696194e+00,4.7000000000e+01,7.5420000000e+03
196,2.5411057472e+00,3.3000000000e+01,7.4620000000e+03
197,2.5390620232e+00,3.6000000000e+01,7.3830000000e+03
198,2.5465493202e+00,4.3000000000e+01,7.4790000000e+03
199,2.5382759571e+00,5.7000000000e+01,7.3520000000e+03
200,2.5432376862e+00,4.3000000000e+01,7.2990000000e+03
201,2.5346856117e+00,4.1000000000e+01,7.3840000000e+03
202,2.5388157368e+00,3.6000000000e+01,7.3970000000e+03
203,2.5387904644e+00,4.9000000000e+01,7.4930000000e+03
204,2.5423433781e+00,3.5000000000e+01,7.2620000000e+03
205,2.5444896221e+00,4.0000000000e+01,7.4720000000e+03
206,2.5404009819e+00,4.9000000000e+01,7.4370000000e+03
207,2.5451114178e+00,5.1000000000e+01,7.3260000000e+03
208,2.5471479893e+00,3.7000000000e+01,7.2990000000e+03
209,2.5454587936e+00,4.6000000000e+01,7.4900000000e+03
210,2.5380206108e+00,5.1000000000e+01,7.3120000000e+03
211,2.5449645519e+00,4.7000000000e+01,7.5180000000e+03
212,2.5356829166e+00,4.5000000000e+01,7.3420000000e+03
213,2.5433878899e+00,4.4000000000e+01,7.3640000000e+03
214,2.5383954048e+00,3.7000000000e+01,7.3800000000e+03
215,2.5413882732e+00,3.5000000000e+01,7.5590000000e+03
216,2.5390923023e+00,3.8000000000e+01,7.3560000000e+03
217,2.5335817337e+00,5.6000000000e+01,7.4610000000e+03
218,2.5292625427e+00,4.3000000000e+01,7.2820000000e+03
219,2.5406553745e+00,4.6000000000e+01,7.4740000000e+03
220,2.5339860916e+00,3.5000000000e+01,7.3760000000e+03
221,2.5322303772e+00,4.1000000000e+01,7.4350000000e+03
222,2.5470242500e+00,4.7000000000e+01,7.3410000000e+03
223,2.5366969109e+00,4.2000000000e+01,7.4520000000e+03
224,2.5386130810e+00,4.1000000000e+01,7.2560000000e+03
225,2.5397515297e+00,4.7000000000e+01,7.3070000000e+03
226,2.5431280136e+00,5.2000000000e+01,7.3950000000e+03
227,2.5386681557e+00,4.8000000000e+01,7.3610000000e+03
228,2.5400147438e+00,4.5000000000e+01,7.4270000000e+03
229,2.5460410118e+00,4.7000000000e+01,7.3410000000e+03
230,2.5431327820e+00,3.0000000000e+01,7.5810000000e+03
231,2.5504503250e+00,3.9000000000e+01,7.2740000000e+03
232,2.5455858707e+00,5.2000000000e+01,7.5470000000e+03
233,2.5435798168e+00,3.7000000000e+01,7.1850000000e+03
234,2.5398626328e+00,3.9000000000e+01,7.4730000000e+03
235,2.5435571671e+00,5.1000000000e+01,7.3560000000e+03
236,2.5395667553e+00,4.0000000000e+01,7.3780000000e+03
237,2.5428559780e+00,4.4000000000e+01,7.3910000000e+03
238,2.5475146770e+00,5.2000000000e+01,7.3530000000e+03
239,2.5426228046e+00,4.9000000000e+01,7.4390000000e+03
240,2.5446994305e+00,4.4000000000e+01,7.4240000000e+03
241,2.5454280376e+00,3.5000000000e+01,7.3780000000e+03
242,2.5448069572e+00,4.4000000000e+01,7.4600000000e+03
243,2.5394916534e+00,4.8000000000e+01,7.2990000000e+03
244,2.5396292210e+00,4.2000000000e+01,7.5380000000e+03
245,2.5449821949e+00,4.9000000000e+01,7.3860000000e+03
246,2.5445683002e+00,4.2000000000e+01,7.4010000000e+03
247,2.5486423969e+00,5.2000000000e+01,7.3840000000e+03
248,2.5425224304e+00,4.7000000000e+01,7.3040000000e+03
249,2.5483393669e+00,3.3000000000e+01,7.4780000000e+03
250,2.5453839302e+00,4.4000000000e+01,7.4810000000e+03
251,2.5444457531e+00,3.5000000000e+01,7.3760000000e+03
252,2.5541794300e+00,5.0000000000e+01,7.4180000000e+03
253,2.5453648567e+00,3.9000000000e+01,7.5750000000e+03
254,2.5400831699e+00,4.5000000000e+01,7.3310000000e+03
255,2.5499038696e+00,5.2000000000e+01,7.3780000000e+03
256,2.5430674553e+00,5.0000000000e+01,7.4730000000e+03
257,2.5470235348e+00,4.2000000000e+01,7.3860000000e+03
258,2.5475947857e+00,4.1000000000e+01,7.4330000000e+03
259,2.5432813168e+00,4.0000000000e+01,7.3370000000e+03
260,2.5425074100e+00,5.6000000000e+01,7.3380000000e+03
261,2.5393776894e+00,3.6000000000e+01,7.3250000000e+03
262,2.5427055359e+00,4.9000000000e+01,7.5230000000e+03
263,2.5441801548e+00,4.0000000000e+01,7.2850000000e+03
264,2.5403537750e+00,5.3000000000e+01,7.4080000000e+03
265,2.5388443470e+00,4.8000000000e+01,7.4070000000e+03
266,2.5375001431e+00,4.4000000000e+01,7.4470000000e+03
267,2.5409994125e+00,4.6000000000e+01,7.4030000000e+03
268,2.5403642654e+00,4.1000000000e+01,7.3120000000e+03
269,2.5396904945e+00,5.3000000000e+01,7.3950000000e+03
270,2.5439765453e+00,5.4000000000e+01,7.3380000000e+03
271,2.5421497822e+00,4.9000000000e+01,7.5280000000e+03
272,2.5404317379e+00,4.1000000000e+01,7.3680000000e+03
273,2.5377333164e+00,3.9000000000e+01,7.3640000000e+03
274,2.5352568626e+00,4.1000000000e+01,7.4940000000e+03
275,2.5406572819e+00,3.9000000000e+01,7.3890000000e+03
276,2.5411283970e+00,3.8000000000e+01,7.4410000000e+03
277,2.5425431728e+00,6.0000000000e+01,7.3250000000e+03
278,2.5449714661e+00,3.9000000000e+01,7.3340000000e+03
279,2.5455479622e+00,3.1000000000e+01,7.3150000000e+03
280,2.5449650288e+00,4.4000000000e+01,7.3420000000e+03
281,2.5409963131e+00,4.2000000000e+01,7.3990000000e+03
282,2.5378749371e+00,4.2000000000e+01,7.1830000000e+03
283,2.5375623703e+00,4.6000000000e+01,7.5380000000e+03
284,2.5361516476e+00,4.7000000000e+01,7.5240000000e+03
285,2.5386624336e+00,5.7000000000e+01,7.3490000000e+03
286,2.5324778557e+00,5.0000000000e+01,7.1090000000e+03
287,2.5301737785e+00,4.4000000000e+01,7.5110000000e+03
288,2.5333521366e+00,3.2000000000e+01,7.4910000000e+03
289,2.5324561596e+00,4.7000000000e+01,7.3800000000e+03
290,2.5301809311e+00,4.9000000000e+01,7.3680000000e+03
291,2.5345721245e+00,4.2000000000e+01,7.4130000000e+03
292,2.5344603062e+00,3.4000000000e+01,7.2200000000e+03
293,2.5358242989e+00,4.3000000000e+01,7.4180000000e+03
294,2.5375657082e+00,3.2000000000e+01,7.5320000000e+03
295,2.5424134731e+00,5.6000000000e+01,7.3120000000e+03
296,2.5398132801e+00,5.0000000000e+01,7.4800000000e+03
297,2.5439729691e+00,4.1000000000e+01,7.4820000000e+03
298,2.5359201431e+00,3.1000000000e+01,7.3890000000e+03
299,2.5410950184e+00,3.9000000000e+01,7.4760000000e+03
300,2.5371508598e+00,3.0000000000e+01,7.2400000000e+03
301,2.5384454727e+00,3.8000000000e+01,7.4420000000e+03
302,2.5319001675e+00,5.0000000000e+01,7.5040000000e+03
303,2.5356874466e+00,4.0000000000e+01,7.3160000000e+03
304,2.5372288227e+00,5.0000000000e+01,7.3770000000e+03
305,2.5366122723e+00,4.3000000000e+01,7.5850000000e+03
306,2.5359482765e+00,4.3000000000e+01,7.3330000000e+03
307,2.5352263451e+00,5.5000000000e+01,7.3170000000e+03
308,2.5375828743e+00,3.7000000000e+01,7.3520000000e+03
309,2.5316350460e+00,5.0000000000e+01,7.3200000000e+03
310,2.5376594067e+00,4.0000000000e+01,7.4020000000e+03
311,2.5408079624e+00,4.0000000000e+01,7.3530000000e+03
312,2.5370416641e+00,6.0000000000e+01,7.3900000000e+03
313,2.5403094292e+00,3.5000000000e+01,7.2930000000e+03
314,2.5400273800e+00,4.5000000000e+01,7.3820000000e+03
315,2.5406069756e+00,4.2000000000e+01,7.4020000000e+03
316,2.5389683247e+00,3.8000000000e+01,7.5050000000e+03
317,2.5355942249e+00,4.9000000000e+01,7.3680000000e+03
318,2.5380527973e+00,4.6000000000e+01,7.3430000000e+03
319,2.5331144333e+00,3.9000000000e+01,7.3970000000e+03
320,2.5327484608e+00,5.0000000000e+01,7.3410000000e+03
321,2.5326087475e+00,3.9000000000e+01,7.2420000000e+03
322,2.5277445316e+00,3.7000000000e+01,7.4780000000e+03
323,2.5362184048e+00,4.2000000000e+01,7.4920000000e+03
324,2.5347783566e+00,4.3000000000e+01,7.3860000000e+03
325,2.5325713158e+00,5.5000000000e+01,7.4030000000e+03
326,2.5321538448e+00,5.5000000000e+01,7.1910000000e+03
327,2.5360429287e+00,4.5000000000e+01,7.2200000000e+03
328,2.5419700146e+00,3.9000000000e+01,7.4300000000e+03
329,2.5386097431e+00,3.9000000000e+01,7.3360000000e+03
330,2.5421729088e+00,5.1000000000e+01,7.4580000000e+03
331,2.5430223942e+00,4.5000000000e+01,7.4690000000e+03
332,2.5429773331e+00,4.0000000000e+01,7.3440000000e+03
333,2.5481626987e+00,4.0000000000e+01,7.3560000000e+03
334,2.5429921150e+00,4.3000000000e+01,7.5320000000e+03
335,2.5384290218e+00,3.3000000000e+01,7.4010000000e+03
336,2.5506825447e+00,4.0000000000e+01,7.2660000000e+03
337,2.5486402512e+00,4.1000000000e+01,7.5160000000e+03
338,2.5472152233e+00,6.4000000000e+01,7.3150000000e+03
339,2.5457260609e+00,5.2000000000e+01,7.4990000000e+03
340,2.5450844765e+00,3.9000000000e+01,7.3610000000e+03
341,2.5460321903e+00,4.6000000000e+01,7.3230000000e+03
342,2.5460772514e+00,3.8000000000e+01,7.4820000000e+03
343,2.5466597080e+00,3.4000000000e+01,7.3430000000e+03
344,2.5468242168e+00,3.4000000000e+01,7.3490000000e+03
345,2.5425689220e+00,4.1000000000e+01,7.3840000000e+03
346,2.5492274761e+00,3.3000000000e+01,7.5430000000e+03
347,2.5496938229e+00,4.6000000000e+01,7.4210000000e+03
348,2.5450761318e+00,5.0000000000e+01,7.2160000000e+03
349,2.5485661030e+00,4.4000000000e+01,7.2310000000e+03
350,2.5423190594e+00,4.5000000000e+01,7.4600000000e+03
351,2.5481858253e+00,4.3000000000e+01,7.4900000000e+03
352,2.5496382713e+00,4.3000000000e+01,7.2960000000e+03
353,2.5536653996e+00,4.7000000000e+01,7.3490000000e+03
354,2.5516831875e+00,4.9000000000e+01,7.4000000000e+03
355,2.5531058311e+00,6.0000000000e+01,7.4700000000e+03
356,2.5520806313e+00,4.9000000000e+01,7.2190000000e+03
357,2.5602629185e+00,5.8000000000e+01,7.5460000000e+03
358,2.5570256710e+00,4.7000000000e+01,7.3210000000e+03
359,2.5561892986e+00,4.3000000000e+01,7.3830000000e+03
360,2.5571768284e+00,5.4000000000e+01,7.4330000000e+03
361,2.5601463318e+00,4.5000000000e+01,7.3770000000e+03
362,2.5538158417e+00,5.0000000000e+01,7.3150000000e+03
363,2.5487244129e+00,4.6000000000e+01,7.3740000000e+03
364,2.5588707924e+00,4.1000000000e+01,7.4830000000e+03
365,2.5497474670e+00,4.8000000000e+01,7.2810000000e+03
366,2.5516672134e+00,3.8000000000e+01,7.4740000000e+03
367,2.5488123894e+00,4.0000000000e+01,7.3450000000e+03
368,2.5495121479e+00,4.2000000000e+01,7.2110000000e+03
369,2.5521078110e+00,4.5000000000e+01,7.3860000000e+03
370,2.5474600792e+00,4.1000000000e+01,7.3600000000e+03
371,2.5517880917e+00,3.9000000000e+01,7.4460000000e+03
372,2.5506730080e+00,3.7000000000e+01,7.4440000000e+03
373,2.5460762978e+00,4.6000000000e+01,7.4580000000e+03
374,2.5460431576e+00,5.2000000000e+01,7.3930000000e+03
375,2.5506608486e+00,4.5000000000e+01,7.4050000000e+03
376,2.5363056660e+00,4.7000000000e+01,7.5490000000e+03
377,2.5464508533e+00,5.4000000000e+01,7.4990000000e+03
378,2.5451762676e+00,4.7000000000e+01,7.2760000000e+03
379,2.5455744267e+00,5.0000000000e+01,7.3990000000e+03
380,2.5489275455e+00,4.3000000000e+01,7.4050000000e+03
381,2.5506553650e+00,4.7000000000e+01,7.3320000000e+03
382,2.5471303463e+00,4.9000000000e+01,7.4820000000e+03
383,2.5403585434e+00,5.3000000000e+01,7.5250000000e+03
384,2.5423154831e+00,5.3000000000e+01,7.3780000000e+03
385,2.5459675789e+00,3.6000000000e+01,7.3320000000e+03
386,2.5450236797e+00,5.4000000000e+01,7.3700000000e+03
387,2.5392794609e+00,3.6000000000e+01,7.4330000000e+03
388,2.5419926643e+00,4.2000000000e+01,7.3670000000e+03
389,2.5401632786e+00,5.1000000000e+01,7.3400000000e+03
390,2.5389623642e+00,4.1000000000e+01,7.3600000000e+03
391,2.5351388454e+00,5.2000000000e+01,7.3920000000e+03
392,2.5277850628e+00,5.5000000000e+01,7.4630000000e+03
393,2.5332565308e+00,5.2000000000e+01,7.1640000000e+03
394,2.5313329697e+00,4.9000000000e+01,7.4680000000e+03
395,2.5333683491e+00,5.1000000000e+01,7.3480000000e+03
396,2.5316190720e+00,3.6000000000e+01,7.3750000000e+03
397,2.5335600376e+00,3.9000000000e+01,7.3200000000e+03
398,2.5280764103e+00,3.5000000000e+01,7.3600000000e+03
399,2.5314159393e+00,3.3000000000e+01,7.4280000000e+03
400,2.5315735340e+00,4.9000000000e+01,7.3020000000e+03
401,2.5286555290e+00,4.0000000000e+01,7.3520000000e+03
402,2.5307030678e+00,4.1000000000e+01,7.3620000000e+03
403,2.5312113762e+00,4.2000000000e+01,7.4840000000e+03
404,2.5259177685e+00,4.7000000000e+01,7.2630000000e+03
405,2.5267550945e+00,4.4000000000e+01,7.2530000000e+03
406,2.5284237862e+00,5.0000000000e+01,7.4220000000e+03
407,2.5188462734e+00,3.9000000000e+01,7.4720000000e+03
408,2.5292704105e+00,4.9000000000e+01,7.4290000000e+03
409,2.5241801739e+00,4.0000000000e+01,7.3490000000e+03
410,2.5275812149e+00,4.2000000000e+01,7.3510000000e+03
411,2.5236775875e+00,4.1000000000e+01,7.3260000000e+03
412,2.5312552452e+00,4.6000000000e+01,7.4760000000e+03
413,2.5230488777e+00,4.3000000000e+01,7.4580000000e+03
414,2.5302469730e+00,4.7000000000e+01,7.3850000000e+03
415,2.5227749348e+00,5.2000000000e+01,7.4950000000e+03
416,2.5242245197e+00,5.4000000000e+01,7.3010000000e+03
417,2.5272533894e+00,5.4000000000e+01,7.1960000000e+03
418,2.5299253464e+00,5.1000000000e+01,7.4560000000e+03
419,2.5310254097e+00,4.3000000000e+01,7.5240000000e+03
420,2.5286123753e+00,3.8000000000e+01,7.4080000000e+03
421,2.5309317112e+00,5.1000000000e+01,7.1660000000e+03
422,2.5313987732e+00,4.8000000000e+01,7.5200000000e+03
423,2.5363831520e+00,4.3000000000e+01,7.3590000000e+03
424,2.5331118107e+00,3.9000000000e+01,7.4550000000e+03
425,2.5358667374e+00,4.0000000000e+01,7.3750000000e+03
426,2.5418117046e+00,2.8000000000e+01,7.4030000000e+03
427,2.5380625725e+00,3.6000000000e+01,7.4370000000e+03
428,2.5482144356e+00,5.0000000000e+01,7.3160000000e+03
429,2.5420742035e+00,4.6000000000e+01,7.4670000000e+03
430,2.5500786304e+00,4.2000000000e+01,7.3510000000e+03
431,2.5507206917e+00,5.4000000000e+01,7.3680000000e+03
432,2.5457248688e+00,4.3000000000e+01,7.3790000000e+03
433,2.5532381535e+00,3.5000000000e+01,7.4010000000e+03
434,2.5489847660e+00,5.2000000000e+01,7.3950000000e+03
