step,vx_62_62,vy_62_62,pressure_62_62,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,1.5374957031e+04
1,5.0080007315e-01,-5.0120419264e-01,3.7402117252e-01,1.5534634766e+04
2,5.0070291758e-01,-5.0114309788e-01,6.3442373276e+00,1.5533869141e+04
3,5.0059765577e-01,-5.0052428246e-01,6.5737328529e+00,1.5533073242e+04
4,5.0099253654e-01,-5.0036984682e-01,6.4992513657e+00,1.5532302734e+04
5,5.0092858076e-01,-5.0051182508e-01,6.4028954506e+00,1.5531517578e+04
6,5.0085443258e-01,-5.0065135956e-01,6.3329725266e+00,1.5530712891e+04
7,5.0080913305e-01,-5.0075864792e-01,6.3651881218e+00,1.5529934570e+04
8,5.0075578690e-01,-5.0084102154e-01,6.0658326149e+00,1.5529149414e+04
9,5.0070363283e-01,-5.0082558393e-01,6.1958904266e+00,1.5528359375e+04
10,5.0069016218e-01,-5.0082647800e-01,6.2510519028e+00,1.5527587891e+04
11,5.0072079897e-01,-5.0078117847e-01,6.2787866592e+00,1.5526801758e+04
12,5.0081241131e-01,-5.0067967176e-01,6.4096913338e+00,1.5526033203e+04
13,5.0075566769e-01,-5.0066906214e-01,6.3008017540e+00,1.5525243164e+04
14,5.0071781874e-01,-5.0060260296e-01,6.3400392532e+00,1.5524487305e+04
15,5.0070625544e-01,-5.0054812431e-01,6.5637521744e+00,1.5523724609e+04
16,5.0067049265e-01,-5.0043720007e-01,6.4883375168e+00,1.5522947266e+04
17,5.0071138144e-01,-5.0032281876e-01,6.5262122154e+00,1.5522181641e+04
18,5.0074815750e-01,-5.0032114983e-01,6.5027303696e+00,1.5521420898e+04
19,5.0075411797e-01,-5.0038468838e-01,6.4373941422e+00,1.5520685547e+04
20,5.0069212914e-01,-5.0051826239e-01,6.4829478264e+00,1.5519931641e+04
21,5.0061476231e-01,-5.0049906969e-01,6.4048404694e+00,1.5519179688e+04
22,5.0059258938e-01,-5.0056946278e-01,6.3484234810e+00,1.5518431641e+04
