step,vx_12_12,vy_12_12,pressure_12_12,energy
73,4.5520949364e-01,-4.4704440236e-01,2.0900125504e+01,4.8081527710e+02
74,4.5421740413e-01,-4.4627290964e-01,2.1020895004e+01,4.7924996948e+02
75,4.5341771841e-01,-4.4624948502e-01,2.1494628906e+01,4.7768814087e+02
76,4.5310461521e-01,-4.4658386707e-01,2.1012172699e+01,4.7613916016e+02
77,4.5207291842e-01,-4.4598069787e-01,2.1334867477e+01,4.7459277344e+02
78,4.4963306189e-01,-4.4447106123e-01,2.0085094452e+01,4.7304727173e+02
79,4.4828665257e-01,-4.4282945991e-01,2.1461240768e+01,4.7151184082e+02
80,4.4848665595e-01,-4.4174858928e-01,2.1299953461e+01,4.6997961426e+02
81,4.4844883680e-01,-4.4114935398e-01,2.0487749100e+01,4.6845544434e+02
82,4.4777899981e-01,-4.4019079208e-01,2.0373437881e+01,4.6693493652e+02
83,4.4726151228e-01,-4.4049197435e-01,1.9868637085e+01,4.6541571045e+02
84,4.4697916508e-01,-4.4083487988e-01,2.0685068130e+01,4.6391693115e+02
85,4.4571444392e-01,-4.4027701020e-01,2.0426183701e+01,4.6241467285e+02
86,4.4470348954e-01,-4.3862816691e-01,2.0085243225e+01,4.6091235352e+02
87,4.4380128384e-01,-4.3673288822e-01,1.9148622513e+01,4.5942590332e+02
88,4.4314512610e-01,-4.3644729257e-01,1.8857397079e+01,4.5793746948e+02
89,4.4320559502e-01,-4.3633875251e-01,1.9616188049e+01,4.5645889282e+02
90,4.4262635708e-01,-4.3626892567e-01,2.0051912308e+01,4.5498770142e+02
91,4.4126933813e-01,-4.3442168832e-01,2.0008075714e+01,4.5351773071e+02
92,4.3958979845e-01,-4.3238845468e-01,1.9142044067e+01,4.5205804443e+02
93,4.3922415376e-01,-4.3142229319e-01,1.9969190598e+01,4.5060217285e+02
94,4.3996435404e-01,-4.3114268780e-01,1.9854127884e+01,4.4915011597e+02
95,4.3934914470e-01,-4.3030291796e-01,1.8342247009e+01,4.4770648193e+02
96,4.3759733438e-01,-4.2983958125e-01,1.7442653656e+01,4.4626855469e+02
97,4.3719565868e-01,-4.3042445183e-01,1.8234626770e+01,4.4483795166e+02
98,4.3744346499e-01,-4.3138501048e-01,1.8551887512e+01,4.4340899658e+02
99,4.3643867970e-01,-4.3077117205e-01,1.9008577347e+01,4.4198529053e+02
100,4.3423730135e-01,-4.2897495627e-01,1.8850418091e+01,4.4057214355e+02
101,4.3256229162e-01,-4.2723920941e-01,1.9306915283e+01,4.3915447998e+02
102,4.3273192644e-01,-4.2598229647e-01,1.8823678970e+01,4.3774600220e+02
103,4.3256551027e-01,-4.2618009448e-01,1.7735851288e+01,4.3634826660e+02
104,4.3256789446e-01,-4.2659735680e-01,1.8614992142e+01,4.3495053101e+02
105,4.3167209625e-01,-4.2675113678e-01,1.8380628586e+01,4.3355889893e+02
106,4.2986857891e-01,-4.2591050267e-01,1.8436748505e+01,4.3217190552e+02
107,4.2763802409e-01,-4.2480978370e-01,1.7306467056e+01,4.3078244019e+02
108,4.2647069693e-01,-4.2354521155e-01,1.6829820633e+01,4.2940997314e+02
109,4.2651334405e-01,-4.2258703709e-01,1.6506559372e+01,4.2804132080e+02
110,4.2668145895e-01,-4.2173975706e-01,1.6575988770e+01,4.2666888428e+02
111,4.2685806751e-01,-4.2195650935e-01,1.7683595657e+01,4.2530728149e+02
112,4.2682126164e-01,-4.2230394483e-01,1.6951074600e+01,4.2395361328e+02
113,4.2653539777e-01,-4.2130386829e-01,1.8024543762e+01,4.2260229492e+02
114,4.2474469543e-01,-4.1955217719e-01,1.8142076492e+01,4.2125418091e+02
115,4.2316719890e-01,-4.1855791211e-01,1.7927688599e+01,4.1990719604e+02
116,4.2273196578e-01,-4.1855409741e-01,1.7329786301e+01,4.1856710815e+02
117,4.2258095741e-01,-4.1821146011e-01,1.6785394669e+01,4.1723953247e+02
118,4.2129212618e-01,-4.1714087129e-01,1.6443620682e+01,4.1591357422e+02
119,4.2015588284e-01,-4.1731733084e-01,1.7117889404e+01,4.1458831787e+02
120,4.2025217414e-01,-4.1888323426e-01,1.6284706116e+01,4.1327148438e+02
121,4.2010930181e-01,-4.1930857301e-01,1.6009729385e+01,4.1195715332e+02
122,4.1824904084e-01,-4.1793882847e-01,1.5882605553e+01,4.1064419556e+02
123,4.1611477733e-01,-4.1531783342e-01,1.6358572006e+01,4.0934011841e+02
124,4.1574773192e-01,-4.1294544935e-01,1.6044425964e+01,4.0804367065e+02
125,4.1636577249e-01,-4.1234251857e-01,1.5290848732e+01,4.0674694824e+02
126,4.1746258736e-01,-4.1305792332e-01,1.5187615395e+01,4.0545474243e+02
127,4.1753923893e-01,-4.1374593973e-01,1.4973046303e+01,4.0416638184e+02
128,4.1587892175e-01,-4.1311410069e-01,1.5870236397e+01,4.0288119507e+02
129,4.1399863362e-01,-4.1175332665e-01,1.5625427246e+01,4.0160397339e+02
130,4.1317817569e-01,-4.1132101417e-01,1.5283852577e+01,4.0033193970e+02
131,4.1325840354e-01,-4.1061481833e-01,1.5266777039e+01,3.9906213379e+02
132,4.1287997365e-01,-4.0931865573e-01,1.5723518372e+01,3.9779763794e+02
133,4.1212823987e-01,-4.0814504027e-01,1.5483905792e+01,3.9653848267e+02
134,4.1120257974e-01,-4.0784206986e-01,1.5636601448e+01,3.9527987671e+02
135,4.1089662910e-01,-4.0809673071e-01,1.5990917206e+01,3.9402764893e+02
136,4.1076919436e-01,-4.0766471624e-01,1.6592489243e+01,3.9278295898e+02
137,4.0929937363e-01,-4.0674737096e-01,1.6542963028e+01,3.9154064941e+02
138,4.0731349587e-01,-4.0527448058e-01,1.6145912170e+01,3.9030307007e+02
139,4.0661638975e-01,-4.0491923690e-01,1.5986541748e+01,3.8906665039e+02
140,4.0682101250e-01,-4.0537881851e-01,1.4664061546e+01,3.8783139038e+02
141,4.0631151199e-01,-4.0542918444e-01,1.4192914009e+01,3.8660412598e+02
142,4.0476003289e-01,-4.0393331647e-01,1.3871060371e+01,3.8538201904e+02
143,4.0343943238e-01,-4.0156206489e-01,1.3461295128e+01,3.8416107178e+02
144,4.0350607038e-01,-4.0004172921e-01,1.4264927864e+01,3.8294671631e+02
145,4.0436643362e-01,-4.0035465360e-01,1.4322165489e+01,3.8173620605e+02
146,4.0547692776e-01,-4.0047225356e-01,1.5006775856e+01,3.8053338623e+02
147,4.0479987860e-01,-3.9947336912e-01,1.4956608772e+01,3.7933370972e+02
148,4.0285450220e-01,-3.9820474386e-01,1.4702237129e+01,3.7813305664e+02
149,4.0195852518e-01,-3.9747059345e-01,1.4261583328e+01,3.7693872070e+02
150,4.0184220672e-01,-3.9762222767e-01,1.3179705620e+01,3.7575073242e+02
151,4.0158715844e-01,-3.9721861482e-01,1.3365690231e+01,3.7456500244e+02
152,4.0085709095e-01,-3.9632722735e-01,1.3773283958e+01,3.7338189697e+02
153,3.9994075894e-01,-3.9511504769e-01,1.4130966187e+01,3.7219998169e+02
154,3.9946189523e-01,-3.9485844970e-01,1.4024508476e+01,3.7102471924e+02
155,3.9917474985e-01,-3.9493623376e-01,1.4447463989e+01,3.6985681152e+02
156,3.9879584312e-01,-3.9530047774e-01,1.3677130699e+01,3.6868881226e+02
157,3.9755216241e-01,-3.9470317960e-01,1.3341591835e+01,3.6752816772e+02
158,3.9624595642e-01,-3.9365619421e-01,1.3729193687e+01,3.6636965942e+02
159,3.9527851343e-01,-3.9262738824e-01,1.3679533005e+01,3.6521697998e+02
160,3.9503261447e-01,-3.9253073931e-01,1.4483628273e+01,3.6407141113e+02
161,3.9447966218e-01,-3.9174234867e-01,1.3918052673e+01,3.6292538452e+02
162,3.9344727993e-01,-3.9008039236e-01,1.2244843483e+01,3.6178259277e+02
163,3.9218345284e-01,-3.8868644834e-01,1.3059272766e+01,3.6063973999e+02
164,3.9153108001e-01,-3.8897037506e-01,1.2853357315e+01,3.5950732422e+02
165,3.9209681749e-01,-3.9012897015e-01,1.2909497261e+01,3.5838146973e+02
166,3.9234453440e-01,-3.9121666551e-01,1.3049947739e+01,3.5725598145e+02
167,3.9150840044e-01,-3.9156252146e-01,1.2418712616e+01,3.5613049316e+02
168,3.8972377777e-01,-3.9106124640e-01,1.2534237862e+01,3.5501412964e+02
169,3.8863790035e-01,-3.9050349593e-01,1.2420945168e+01,3.5389752197e+02
170,3.8777884841e-01,-3.8928493857e-01,1.3085870743e+01,3.5278598022e+02
171,3.8739868999e-01,-3.8755273819e-01,1.3209559441e+01,3.5167883301e+02
172,3.8703665137e-01,-3.8617876172e-01,1.3654690742e+01,3.5057330322e+02
173,3.8684043288e-01,-3.8568681479e-01,1.3153028488e+01,3.4947427368e+02
174,3.8678166270e-01,-3.8540294766e-01,1.2097445488e+01,3.4837933350e+02
175,3.8606804609e-01,-3.8418665528e-01,1.3194622040e+01,3.4728302002e+02
176,3.8486617804e-01,-3.8257735968e-01,1.2806609154e+01,3.4619308472e+02
177,3.8413947821e-01,-3.8135990500e-01,1.2339621544e+01,3.4510794067e+02
178,3.8438785076e-01,-3.8041988015e-01,1.2701639175e+01,3.4402795410e+02
179,3.8496908545e-01,-3.8031965494e-01,1.2497108459e+01,3.4295043945e+02
180,3.8478538394e-01,-3.8111141324e-01,1.2959801674e+01,3.4187963867e+02
181,3.8379484415e-01,-3.8212609291e-01,1.1921634674e+01,3.4081256104e+02
182,3.8217151165e-01,-3.8233405352e-01,1.1248304367e+01,3.3974411011e+02
183,3.8048809767e-01,-3.8094314933e-01,1.1734671593e+01,3.3867990112e+02
184,3.7916514277e-01,-3.7885186076e-01,1.1384203911e+01,3.3762368774e+02
185,3.7897065282e-01,-3.7730354071e-01,1.2165645599e+01,3.3656872559e+02
186,3.7973588705e-01,-3.7637940049e-01,1.1921156883e+01,3.3551678467e+02
187,3.8069668412e-01,-3.7530359626e-01,1.2600292206e+01,3.3446871948e+02
188,3.8067841530e-01,-3.7471747398e-01,1.2770263672e+01,3.3342541504e+02
189,3.7994587421e-01,-3.7467518449e-01,1.2759622574e+01,3.3238455200e+02
190,3.7914285064e-01,-3.7473449111e-01,1.2273027420e+01,3.3134637451e+02
191,3.7808218598e-01,-3.7434199452e-01,1.2152161598e+01,3.3031161499e+02
192,3.7716540694e-01,-3.7354019284e-01,1.1656592369e+01,3.2928128052e+02
193,3.7633135915e-01,-3.7238770723e-01,1.0843005180e+01,3.2825399780e+02
194,3.7572404742e-01,-3.7158256769e-01,1.1001856804e+01,3.2722964478e+02
195,3.7546262145e-01,-3.7167468667e-01,1.1116072655e+01,3.2621072388e+02
196,3.7515300512e-01,-3.7275880575e-01,1.1451171875e+01,3.2519607544e+02
197,3.7453418970e-01,-3.7286117673e-01,1.1184729576e+01,3.2418530273e+02
198,3.7271437049e-01,-3.7196272612e-01,1.0646245003e+01,3.2317800903e+02
199,3.7105074525e-01,-3.7084400654e-01,1.0800012589e+01,3.2217163086e+02
200,3.7065562606e-01,-3.7002876401e-01,1.1356985092e+01,3.2116845703e+02
201,3.7097561359e-01,-3.6978513002e-01,1.2426375389e+01,3.2016839600e+02
202,3.7100645900e-01,-3.6942782998e-01,1.2498000145e+01,3.1917202759e+02
203,3.7038293481e-01,-3.6830341816e-01,1.2286093712e+01,3.1818106079e+02
204,3.6894074082e-01,-3.6641135812e-01,1.1912793159e+01,3.1719442749e+02
205,3.6827588081e-01,-3.6461701989e-01,1.1516463280e+01,3.1620965576e+02
206,3.6802625656e-01,-3.6353275180e-01,1.1167276382e+01,3.1522888184e+02
207,3.6824202538e-01,-3.6332008243e-01,1.0517422676e+01,3.1424972534e+02
208,3.6826947331e-01,-3.6309230328e-01,9.9070091248e+00,3.1327301025e+02
209,3.6789372563e-01,-3.6273965240e-01,9.9518070221e+00,3.1230236816e+02
210,3.6694949865e-01,-3.6259073019e-01,1.0557574272e+01,3.1133184814e+02
211,3.6613139510e-01,-3.6311045289e-01,1.1071730614e+01,3.1036178589e+02
212,3.6571201682e-01,-3.6367624998e-01,1.1422878265e+01,3.0939816284e+02
213,3.6519420147e-01,-3.6385741830e-01,1.1213040352e+01,3.0844192505e+02
214,3.6392968893e-01,-3.6338335276e-01,1.1589549065e+01,3.0748516846e+02
215,3.6280027032e-01,-3.6211982369e-01,1.1063028336e+01,3.0653134155e+02
216,3.6169633269e-01,-3.6062029004e-01,1.1013737679e+01,3.0558129883e+02
217,3.6104342341e-01,-3.5971361399e-01,1.0804437637e+01,3.0463073730e+02
218,3.6069434881e-01,-3.5954663157e-01,1.0483316422e+01,3.0368536377e+02
219,3.6042514443e-01,-3.5995873809e-01,1.0688350677e+01,3.0274377441e+02
220,3.6024132371e-01,-3.5994637012e-01,1.0830062866e+01,3.0180557251e+02
221,3.5923257470e-01,-3.5949367285e-01,9.4965238571e+00,3.0086984253e+02
222,3.5811150074e-01,-3.5875919461e-01,1.0365683556e+01,2.9993762207e+02
223,3.5719263554e-01,-3.5797145963e-01,1.0630884171e+01,2.9900582886e+02
224,3.5681462288e-01,-3.5698801279e-01,1.1184638023e+01,2.9808135986e+02
225,3.5624322295e-01,-3.5622903705e-01,1.0739351273e+01,2.9716040039e+02
226,3.5566577315e-01,-3.5586422682e-01,1.1021027565e+01,2.9624050903e+02
227,3.5480481386e-01,-3.5662341118e-01,1.0997323990e+01,2.9532507324e+02
228,3.5444000363e-01,-3.5720840096e-01,1.1233103752e+01,2.9441708374e+02
229,3.5402372479e-01,-3.5664990544e-01,1.1885313034e+01,2.9350985718e+02
230,3.5298150778e-01,-3.5509860516e-01,1.0924259186e+01,2.9260324097e+02
231,3.5185950994e-01,-3.5333859921e-01,1.0652734756e+01,2.9169973755e+02
232,3.5121089220e-01,-3.5250833631e-01,1.0623784065e+01,2.9079882812e+02
233,3.5134541988e-01,-3.5201987624e-01,1.1301281929e+01,2.8990213013e+02
234,3.5153105855e-01,-3.5193583369e-01,1.1435071945e+01,2.8901187134e+02
235,3.5090887547e-01,-3.5148426890e-01,1.1537477493e+01,2.8812066650e+02
236,3.4943506122e-01,-3.5107806325e-01,1.0683621407e+01,2.8723031616e+02
237,3.4817868471e-01,-3.5015767813e-01,1.0047409058e+01,2.8634387207e+02
238,3.4736388922e-01,-3.4827208519e-01,1.0008425713e+01,2.8546163940e+02
239,3.4704625607e-01,-3.4684845805e-01,9.9262523651e+00,2.8458432007e+02
240,3.4722611308e-01,-3.4604507685e-01,9.9925708771e+00,2.8370938110e+02
241,3.4750026464e-01,-3.4639179707e-01,9.5287961960e+00,2.8283657837e+02
242,3.4754914045e-01,-3.4745728970e-01,9.4223375320e+00,2.8196749878e+02
243,3.4711521864e-01,-3.4792813659e-01,9.6598844528e+00,2.8110000610e+02
244,3.4581747651e-01,-3.4743627906e-01,1.0663646698e+01,2.8023574829e+02
245,3.4429031610e-01,-3.4695029259e-01,1.0664987564e+01,2.7937420654e+02
246,3.4334260225e-01,-3.4599086642e-01,1.1484584808e+01,2.7851553345e+02
247,3.4282940626e-01,-3.4498766065e-01,1.1160131454e+01,2.7765878296e+02
248,3.4248417616e-01,-3.4434625506e-01,1.0319863319e+01,2.7680612183e+02
249,3.4220775962e-01,-3.4395435452e-01,9.9210119247e+00,2.7595794678e+02
250,3.4218686819e-01,-3.4343302250e-01,9.5157756805e+00,2.7511065674e+02
251,3.4162682295e-01,-3.4261512756e-01,9.0878601074e+00,2.7426678467e+02
252,3.4116089344e-01,-3.4185552597e-01,9.5498161316e+00,2.7342654419e+02
253,3.4109038115e-01,-3.4117469192e-01,9.9244365692e+00,2.7258618164e+02
254,3.4095266461e-01,-3.4156346321e-01,1.0073327065e+01,2.7174624634e+02
255,3.4103676677e-01,-3.4215927124e-01,9.6529674530e+00,2.7091073608e+02
256,3.4084501863e-01,-3.4190866351e-01,9.0739707947e+00,2.7007830811e+02
257,3.3970928192e-01,-3.4058511257e-01,8.4920349121e+00,2.6924938965e+02
258,3.3808162808e-01,-3.3910122514e-01,8.0740385056e+00,2.6842636108e+02
259,3.3733606339e-01,-3.3778977394e-01,8.7975282669e+00,2.6760488892e+02
260,3.3737242222e-01,-3.3647197485e-01,9.5387039185e+00,2.6678375244e+02
261,3.3818647265e-01,-3.3542442322e-01,1.0281228065e+01,2.6596459961e+02
262,3.3854326606e-01,-3.3536425233e-01,1.0143607140e+01,2.6514755249e+02
263,3.3838534355e-01,-3.3513686061e-01,9.8482847214e+00,2.6433380127e+02
264,3.3833637834e-01,-3.3485627174e-01,9.4349775314e+00,2.6352551270e+02
265,3.3754780889e-01,-3.3427873254e-01,8.5608673096e+00,2.6271752930e+02
266,3.3653706312e-01,-3.3380034566e-01,8.3528947830e+00,2.6191107178e+02
267,3.3568069339e-01,-3.3389070630e-01,8.4491453171e+00,2.6110913086e+02
268,3.3498862386e-01,-3.3484894037e-01,8.0318021774e+00,2.6030920410e+02
269,3.3435624838e-01,-3.3593535423e-01,8.0603399277e+00,2.5951174927e+02
270,3.3395525813e-01,-3.3627831936e-01,8.2898015976e+00,2.5871823120e+02
271,3.3281910419e-01,-3.3535724878e-01,8.7226161957e+00,2.5792727661e+02
