step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9600000000e+02
1,1.9740124941e+00,6.6249998054e-04,5.5226731250e+05,1.0447195435e+02,-3.7499999162e-03,6.6926656250e+04
2,2.0160419941e+00,-3.4602044616e-04,1.2631871094e+04,1.8067833185e+00,3.0104979873e-02,6.9023140625e+04
3,2.0123374462e+00,-2.6153324870e-04,-1.1060726318e+03,9.5904940367e-01,-4.8315431923e-03,6.8837859375e+04
4,2.0082397461e+00,-1.5824059665e-04,-1.2377872314e+03,9.2951154709e-01,1.2662658468e-02,6.8641640625e+04
5,2.0039892197e+00,-7.6431424532e-05,-1.2788287354e+03,8.7431395054e-01,3.9068602026e-02,6.8431250000e+04
6,1.9998933077e+00,6.1310056481e-05,-1.2844700928e+03,8.6818051338e-01,-2.6846313849e-03,6.8223921875e+04
7,1.9957325459e+00,1.9002858608e-04,-1.2512973633e+03,8.2499063015e-01,9.8867798224e-03,6.8018882812e+04
8,1.9918136597e+00,2.5287418975e-04,-1.1860255127e+03,8.2285416126e-01,-5.2133179270e-03,6.7821585938e+04
9,1.9894002676e+00,2.4827560992e-04,-6.7248175049e+02,8.3754849434e-01,-1.7953643575e-02,6.7699328125e+04
10,1.9895448685e+00,2.2735774110e-04,5.7349716187e+01,9.1289091110e-01,2.7651291341e-02,6.7705937500e+04
11,1.9900304079e+00,1.9979465287e-04,1.5456376648e+02,8.6091369390e-01,-1.5431060456e-02,6.7731601562e+04
12,1.9907609224e+00,1.8305898993e-04,2.2073503113e+02,9.1476881504e-01,-2.0315857604e-02,6.7769953125e+04
13,1.9916882515e+00,1.2625299860e-04,2.7316458130e+02,9.2283874750e-01,1.5190810896e-02,6.7818875000e+04
14,1.9927316904e+00,1.0687537724e-04,3.1538360596e+02,9.1722559929e-01,-1.1136169545e-02,6.7874921875e+04
15,1.9938710928e+00,3.9129154175e-05,3.4979821777e+02,9.3344748020e-01,1.0654143989e-02,6.7939320312e+04
16,1.9952119589e+00,1.0508317064e-04,3.7807083130e+02,9.5445472002e-01,-7.0269014686e-03,6.8008515625e+04
17,1.9964834452e+00,4.5419303206e-05,3.9760470581e+02,9.7295933962e-01,1.6009673476e-02,6.8081406250e+04
18,1.9978297949e+00,7.1036345616e-05,4.0862091064e+02,9.8353362083e-01,-3.4809112549e-03,6.8156289062e+04
19,1.9991509914e+00,4.6207715059e-05,4.1299191284e+02,9.8456418514e-01,1.3133544475e-02,6.8231078125e+04
20,2.0006604195e+00,6.7231077992e-05,4.1054153442e+02,9.8570722342e-01,3.5789490212e-03,6.8305476562e+04
21,2.0018064976e+00,-7.4955343734e-05,3.9935919189e+02,1.0529578924e+00,9.6963504329e-03,6.8377281250e+04
22,2.0032546520e+00,-6.7243727244e-06,3.7979559326e+02,1.0580139160e+00,2.0879134536e-02,6.8446164062e+04
23,2.0044572353e+00,-3.5586162994e-05,3.4999185181e+02,1.0631507635e+00,1.2364960276e-03,6.8511195312e+04
24,2.0053796768e+00,-8.6859196017e-05,3.1359252930e+02,1.0835969448e+00,3.8803862408e-03,6.8570265625e+04
25,2.0062549114e+00,-6.6772830905e-05,2.6158755493e+02,1.0917092562e+00,-5.6825256906e-03,6.8622132812e+04
26,2.0069406033e+00,-7.2456517955e-05,2.0707305908e+02,1.1102010012e+00,9.2951199040e-03,6.8664898438e+04
27,2.0074455738e+00,-1.7546961317e-04,1.4477536011e+02,1.1123697758e+00,-9.1018679086e-04,6.8697312500e+04
28,2.0076560974e+00,-1.7514982028e-04,8.4927703857e+01,1.1424595118e+00,5.6830598041e-03,6.8719906250e+04
29,2.0077502728e+00,-2.2082087526e-04,1.6796592712e+01,1.1392863989e+00,7.8315736027e-04,6.8731882812e+04
30,2.0075869560e+00,-1.3570676674e-04,-5.0033756256e+01,1.1485790014e+00,1.2795257382e-02,6.8733273438e+04
31,2.0072124004e+00,-1.5944508777e-04,-1.1771572876e+02,1.1379787922e+00,-2.3403702304e-02,6.8723789062e+04
32,2.0066161156e+00,-1.1064804130e-04,-1.7130644226e+02,1.1610574722e+00,1.7175979912e-02,6.8704625000e+04
33,2.0059230328e+00,-9.3753391411e-05,-2.1574147034e+02,1.1937457323e+00,-4.4952393509e-03,6.8678382812e+04
