step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0267064571e-01,-5.0267070532e-01,-9.6684925666e-05,2.4999941406e+03
2,5.0223392248e-01,-5.0222748518e-01,-1.0816105604e+00,2.4986787109e+03
3,5.0213861465e-01,-5.0199085474e-01,-1.1007232666e+00,2.4973603516e+03
4,5.0205498934e-01,-5.0173741579e-01,-1.1007232666e+00,2.4960461426e+03
5,5.0197708607e-01,-5.0147509575e-01,-1.1007232666e+00,2.4947363281e+03
6,5.0189954042e-01,-5.0145387650e-01,-9.4061809778e-01,2.4934294434e+03
7,5.0183212757e-01,-5.0142771006e-01,-9.4061809778e-01,2.4921174316e+03
8,5.0177061558e-01,-5.0139933825e-01,-9.4061809778e-01,2.4908024902e+03
9,5.0171411037e-01,-5.0136899948e-01,-9.4061809778e-01,2.4894833984e+03
10,5.0166213512e-01,-5.0133663416e-01,-9.4061809778e-01,2.4881621094e+03
11,5.0163656473e-01,-5.0090932846e-01,-1.7491617203e+00,2.4868444824e+03
12,5.0157994032e-01,-5.0058484077e-01,-1.3695901632e+00,2.4855329590e+03
13,5.0143963099e-01,-5.0041258335e-01,-1.0410039425e+00,2.4842312012e+03
14,5.0131571293e-01,-5.0021827221e-01,-1.0410039425e+00,2.4829289551e+03
15,5.0119912624e-01,-5.0001496077e-01,-1.0410039425e+00,2.4816276855e+03
16,5.0107735395e-01,-4.9988669157e-01,-8.2751077414e-01,2.4803278809e+03
17,5.0098413229e-01,-4.9972426891e-01,-8.2751077414e-01,2.4790283203e+03
18,5.0089585781e-01,-4.9954992533e-01,-8.2751077414e-01,2.4777297363e+03
19,5.0081014633e-01,-4.9936521053e-01,-8.2751077414e-01,2.4764328613e+03
20,5.0072717667e-01,-4.9916899204e-01,-8.2751077414e-01,2.4751379395e+03
21,5.0064748526e-01,-4.9896049500e-01,-8.2751077414e-01,2.4738454590e+03
22,5.0038719177e-01,-4.9868899584e-01,-1.4728759527e+00,2.4725563965e+03
23,5.0022751093e-01,-4.9858936667e-01,-1.0518651009e+00,2.4712614746e+03
24,5.0009006262e-01,-4.9847432971e-01,-5.9067153931e-01,2.4699592285e+03
25,5.0002080202e-01,-4.9833613634e-01,-7.0331227779e-01,2.4686547852e+03
26,5.0003349781e-01,-4.9815657735e-01,-7.1702963114e-01,2.4673513184e+03
27,4.9996498227e-01,-4.9797618389e-01,-1.0031046867e+00,2.4660512695e+03
28,4.9999737740e-01,-4.9783951044e-01,-1.1844394207e+00,2.4647548828e+03
29,4.9983263016e-01,-4.9778416753e-01,-1.4474068880e+00,2.4634619141e+03
30,4.9981111288e-01,-4.9749094248e-01,-7.4048769474e-01,2.4621721191e+03
31,4.9962389469e-01,-4.9736908078e-01,-1.1976848841e+00,2.4608808594e+03
32,4.9942982197e-01,-4.9725764990e-01,-1.0581570864e+00,2.4595893555e+03
33,4.9934327602e-01,-4.9702796340e-01,-2.1878422797e-01,2.4582976074e+03
34,4.9918365479e-01,-4.9683359265e-01,-9.3012785912e-01,2.4570085449e+03
35,4.9904820323e-01,-4.9666035175e-01,-8.5654622316e-01,2.4557204590e+03
36,4.9893212318e-01,-4.9640566111e-01,6.2054850161e-02,2.4544323730e+03
37,4.9873805046e-01,-4.9628156424e-01,-1.2253775597e+00,2.4531457520e+03
38,4.9862125516e-01,-4.9606987834e-01,6.5448470414e-03,2.4518591309e+03
39,4.9846762419e-01,-4.9590274692e-01,-1.0324853659e+00,2.4505732422e+03
40,4.9838250875e-01,-4.9574708939e-01,-8.8292557001e-01,2.4492893066e+03
41,4.9830988050e-01,-4.9558603764e-01,-8.8292557001e-01,2.4480068359e+03
42,4.9824461341e-01,-4.9542278051e-01,-8.8292557001e-01,2.4467255859e+03
43,4.9798297882e-01,-4.9532729387e-01,-1.0193368196e+00,2.4454458008e+03
44,4.9796733260e-01,-4.9512413144e-01,-8.3385920525e-01,2.4441674805e+03
45,4.9776011705e-01,-4.9502694607e-01,-1.6025506258e+00,2.4428884277e+03
46,4.9774819613e-01,-4.9485802650e-01,-4.8524200916e-01,2.4416083984e+03
47,4.9772012234e-01,-4.9470633268e-01,-4.8524200916e-01,2.4403312988e+03
48,4.9742528796e-01,-4.9464765191e-01,-2.6873288155e+00,2.4390556641e+03
49,4.9732533097e-01,-4.9451911449e-01,-8.8471519947e-01,2.4377800293e+03
50,4.9720555544e-01,-4.9437445402e-01,-6.7223632336e-01,2.4365056152e+03
51,4.9708256125e-01,-4.9422919750e-01,-6.7223632336e-01,2.4352331543e+03
52,4.9696144462e-01,-4.9407863617e-01,-6.7223632336e-01,2.4339624023e+03
53,4.9689906836e-01,-4.9387019873e-01,-1.7152787447e+00,2.4326943359e+03
54,4.9669370055e-01,-4.9379524589e-01,-9.2664605379e-01,2.4314265137e+03
55,4.9654173851e-01,-4.9366343021e-01,-5.0461357832e-01,2.4301567383e+03
56,4.9638098478e-01,-4.9348801374e-01,4.2374420166e-01,2.4288862305e+03
57,4.9615654349e-01,-4.9342229962e-01,-1.6040769815e+00,2.4276188965e+03
58,4.9604955316e-01,-4.9325081706e-01,3.5883285105e-02,2.4263508301e+03
59,4.9594315886e-01,-4.9308088422e-01,3.5883285105e-02,2.4250842285e+03
60,4.9580222368e-01,-4.9288612604e-01,-1.4290273190e+00,2.4238222656e+03
61,4.9573391676e-01,-4.9267277122e-01,-4.9807292223e-01,2.4225607910e+03
62,4.9553009868e-01,-4.9261537194e-01,-1.6729004383e+00,2.4212993164e+03
63,4.9544239044e-01,-4.9249210954e-01,2.9681611061e-01,2.4200380859e+03
64,4.9524405599e-01,-4.9237853289e-01,-2.7870092392e+00,2.4187773438e+03
65,4.9518328905e-01,-4.9228721857e-01,2.5991910696e-01,2.4175175781e+03
66,4.9495542049e-01,-4.9219980836e-01,-2.8172564507e+00,2.4162597656e+03
67,4.9489983916e-01,-4.9206244946e-01,-1.0022659302e+00,2.4150021973e+03
68,4.9473389983e-01,-4.9199464917e-01,-1.0124897957e+00,2.4137470703e+03
69,4.9458286166e-01,-4.9191853404e-01,-1.0124897957e+00,2.4124931641e+03
70,4.9444007874e-01,-4.9183866382e-01,-1.0124897957e+00,2.4112419434e+03
71,4.9430423975e-01,-4.9175617099e-01,-1.0124897957e+00,2.4099919434e+03
72,4.9417534471e-01,-4.9167117476e-01,-1.0124897957e+00,2.4087460938e+03
73,4.9408769608e-01,-4.9145099521e-01,-1.5424026251e+00,2.4075036621e+03
74,4.9396559596e-01,-4.9132990837e-01,-7.5310963392e-01,2.4062583008e+03
75,4.9370479584e-01,-4.9124819040e-01,-6.3640272617e-01,2.4050061035e+03
76,4.9364185333e-01,-4.9108210206e-01,5.9226524830e-01,2.4037548828e+03
77,4.9353548884e-01,-4.9094554782e-01,5.9226524830e-01,2.4025073242e+03
78,4.9328514934e-01,-4.9084419012e-01,-2.1811015606e+00,2.4012646484e+03
79,4.9309349060e-01,-4.9069577456e-01,-2.1811015606e+00,2.4000212402e+03
80,4.9312013388e-01,-4.9043419957e-01,1.1175471544e+00,2.3987778320e+03
81,4.9297749996e-01,-4.9033981562e-01,-3.3639305830e-01,2.3975363770e+03
82,4.9285283685e-01,-4.9021685123e-01,-1.0896370411e+00,2.3962973633e+03
83,4.9270984530e-01,-4.9014899135e-01,-2.2146573067e+00,2.3950585938e+03
84,4.9255269766e-01,-4.9005118012e-01,-8.7567895651e-01,2.3938190918e+03
