step,vx_300_100,vy_300_100,pressure_300_100,Cd,Cl,energy
49,5.0139131546e+00,5.0935617764e-05,-1.9643763733e+02,9.8512166739e-01,1.6740428284e-02,1.0259487500e+06
50,5.0126037598e+00,1.7099126126e-05,-2.2827647400e+02,9.8128050566e-01,1.4018618502e-02,1.0258766250e+06
51,5.0111637115e+00,-3.3500415157e-05,-2.5451457214e+02,9.7041678429e-01,1.3605337590e-02,1.0257710625e+06
52,5.0095834732e+00,-5.5969532696e-05,-2.7562271118e+02,9.6749305725e-01,1.7133787274e-02,1.0256332500e+06
53,5.0079054832e+00,-9.3800590548e-05,-2.9200250244e+02,9.7501105070e-01,1.4786196873e-02,1.0254485000e+06
54,5.0061516762e+00,-1.0524770187e-04,-3.0574615479e+02,9.7092455626e-01,2.5597004220e-02,1.0252495000e+06
55,5.0043058395e+00,-1.2232476729e-04,-3.1653326416e+02,9.7363227606e-01,2.9382809997e-02,1.0250255000e+06
56,5.0024228096e+00,-1.5541308676e-04,-3.2404595947e+02,9.6234071255e-01,2.5697719306e-02,1.0247960625e+06
57,5.0004806519e+00,-1.8040325085e-04,-3.2888626099e+02,9.6454316378e-01,2.6748565957e-02,1.0245550000e+06
58,4.9984936714e+00,-1.6608209989e-04,-3.3158346558e+02,9.6581178904e-01,2.7394333854e-02,1.0243046250e+06
59,4.9965310097e+00,-2.2352801170e-04,-3.3148529053e+02,9.5558398962e-01,2.7333656326e-02,1.0240704375e+06
60,4.9945559502e+00,-2.4305135594e-04,-3.2927447510e+02,9.5444285870e-01,2.4135414511e-02,1.0238329375e+06
61,4.9925756454e+00,-2.9540315154e-04,-3.2419714355e+02,9.5905828476e-01,1.9120961428e-02,1.0235910000e+06
62,4.9906020164e+00,-3.7663022522e-04,-3.1691012573e+02,9.5721477270e-01,2.2548891604e-02,1.0233645000e+06
63,4.9886407852e+00,-4.1502236854e-04,-3.0643035889e+02,9.5168167353e-01,2.1525910124e-02,1.0231571250e+06
64,4.9867520332e+00,-4.7956145136e-04,-2.9113549805e+02,9.5144867897e-01,1.8071938306e-02,1.0229651875e+06
65,4.9849104881e+00,-4.9802404828e-04,-2.7379110718e+02,9.5030236244e-01,2.0591925830e-02,1.0228017500e+06
66,4.9831600189e+00,-5.3789850790e-04,-2.5243115234e+02,9.5359927416e-01,1.5824999660e-02,1.0226708750e+06
67,4.9813742638e+00,-5.4410530720e-04,-2.2981814575e+02,9.5299887657e-01,1.9141471013e-02,1.0225703750e+06
68,4.9796891212e+00,-6.0755450977e-04,-2.0460264587e+02,9.4630372524e-01,2.0006770268e-02,1.0225154375e+06
69,4.9780817032e+00,-5.6594319176e-04,-1.7810682678e+02,9.3956393003e-01,1.3475715183e-02,1.0224931875e+06
70,4.9766082764e+00,-6.7834364017e-04,-1.4963043213e+02,9.4785761833e-01,1.1526040733e-02,1.0225020000e+06
71,4.9751205444e+00,-7.5332546839e-04,-1.1981164551e+02,9.5468378067e-01,1.1345832609e-02,1.0225443125e+06
72,4.9737720490e+00,-8.5139577277e-04,-8.6766418457e+01,9.5101445913e-01,9.3908198178e-03,1.0226354375e+06
73,4.9724235535e+00,-8.4250303917e-04,-5.2152393341e+01,9.4627302885e-01,8.0694006756e-03,1.0227834375e+06
74,4.9712529182e+00,-9.1136316769e-04,-1.7243148804e+01,9.4992947578e-01,3.4320962150e-03,1.0229719375e+06
75,4.9701557159e+00,-1.0404773057e-03,1.8435556412e+01,9.4682252407e-01,4.0412107483e-03,1.0232025625e+06
76,4.9689307213e+00,-9.0181874111e-04,5.1319332123e+01,9.4328564405e-01,-2.6321611949e-04,1.0234733125e+06
77,4.9677276611e+00,-1.0228302563e-03,8.4220169067e+01,9.4829732180e-01,-3.2425126992e-03,1.0237833750e+06
78,4.9664416313e+00,-1.1151015060e-03,1.1306501007e+02,9.4816094637e-01,-8.1657543778e-03,1.0241293750e+06
79,4.9650111198e+00,-1.3286169851e-03,1.4156991577e+02,9.4322907925e-01,-7.1031246334e-03,1.0245250625e+06
80,4.9633011818e+00,-1.4394510072e-03,1.6978544617e+02,9.4391292334e-01,-1.4037043788e-02,1.0249526250e+06
81,4.9613552094e+00,-1.4721492771e-03,1.9429032898e+02,9.4573235512e-01,-1.4968683943e-02,1.0253997500e+06
