step,vx_300_100,vy_300_100,pressure_300_100,Cd,Cl,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.9238750935e+00,-8.1250001676e-04,3.1054777500e+06,1.2860534668e+02,-1.1718750466e-03,0.0000000000e+00
2,4.0251984596e+00,3.7155215978e-04,8.3396578125e+04,3.2152326107e+00,-2.1728514694e-03,0.0000000000e+00
3,4.0232419968e+00,3.4615088953e-04,-1.5917104492e+03,1.6744873524e+00,-7.9650875705e-05,0.0000000000e+00
4,4.0210433006e+00,3.1789817149e-04,-1.7895212402e+03,1.4766927958e+00,-9.8876953416e-05,0.0000000000e+00
5,4.0187125206e+00,2.8809072683e-04,-1.9004990234e+03,1.3522613049e+00,-1.0910034325e-04,0.0000000000e+00
6,4.0163054466e+00,2.5874166749e-04,-1.9653524170e+03,1.2715655565e+00,-1.0528564599e-04,0.0000000000e+00
7,4.0138530731e+00,2.3183992016e-04,-2.0059506836e+03,1.2150686979e+00,-1.0284423479e-04,0.0000000000e+00
8,4.0113658905e+00,2.0376662724e-04,-2.0353800049e+03,1.1695300341e+00,-1.0269165068e-04,0.0000000000e+00
9,4.0088448524e+00,1.6848309315e-04,-2.0595751953e+03,1.1391061544e+00,-1.0467529501e-04,0.0000000000e+00
10,4.0063056946e+00,1.3601966202e-04,-2.0781015625e+03,1.1216403246e+00,-8.9569090051e-05,0.0000000000e+00
11,4.0037474632e+00,9.7760523204e-05,-2.0926997070e+03,1.0996776819e+00,-1.0223388381e-04,0.0000000000e+00
12,4.0011949539e+00,3.8031877921e-05,-2.0973232422e+03,1.0947175026e+00,-8.6212159658e-05,0.0000000000e+00
13,3.9986748695e+00,-1.0029802070e-05,-2.0930744629e+03,1.0777673721e+00,-9.7961426945e-05,0.0000000000e+00
14,3.9962193966e+00,-9.0552406618e-05,-2.0775551758e+03,1.0805169344e+00,-5.5084226915e-05,0.0000000000e+00
15,3.9937911034e+00,-1.6820657765e-04,-2.0375135498e+03,1.0657695532e+00,-3.8604735892e-05,0.0000000000e+00
16,3.9914627075e+00,-1.6802921891e-04,-2.0051657715e+03,1.0503811836e+00,-5.1422117394e-05,0.0000000000e+00
17,3.9891879559e+00,-2.7890468482e-04,-1.9747452393e+03,1.0599476099e+00,-8.0566409451e-05,0.0000000000e+00
18,3.9870040417e+00,-1.9212589541e-04,-1.8655101318e+03,1.0511173010e+00,2.2888183594e-05,0.0000000000e+00
19,3.9849300385e+00,-1.7307384405e-04,-1.7450498047e+03,1.0468734503e+00,9.3841554190e-05,0.0000000000e+00
20,3.9836988449e+00,-3.1042256160e-04,-8.8756323242e+02,1.0514127016e+00,-1.7242431568e-05,0.0000000000e+00
21,3.9837467670e+00,-1.8966321659e-04,3.3958120728e+02,1.0613573790e+00,-1.0696411482e-04,0.0000000000e+00
22,3.9842255116e+00,-9.6451447462e-05,6.0767315674e+02,1.0702950954e+00,-1.2222290388e-04,0.0000000000e+00
23,3.9848697186e+00,-2.7542533644e-05,6.8030993652e+02,1.0786052942e+00,-1.2329101446e-04,0.0000000000e+00
24,3.9854409695e+00,-2.7595189749e-05,6.8030993652e+02,1.0786052942e+00,-1.2329101446e-04,0.0000000000e+00
25,3.9862449169e+00,7.1842230682e-05,6.4757086182e+02,1.0965672731e+00,-1.3023376232e-04,0.0000000000e+00
26,3.9869489670e+00,7.2295741120e-05,6.4757086182e+02,1.0965672731e+00,-1.3023376232e-04,0.0000000000e+00
27,3.9877064228e+00,1.0530168947e-04,6.3661932373e+02,1.1066788435e+00,-1.3153075997e-04,0.0000000000e+00
28,3.9884288311e+00,1.0484081577e-04,6.3661932373e+02,1.1066788435e+00,-1.3153075997e-04,0.0000000000e+00
29,3.9891903400e+00,1.4262195327e-04,6.0725457764e+02,1.1232719421e+00,-1.5052795061e-04,0.0000000000e+00
30,3.9899139404e+00,1.4246678620e-04,6.0725457764e+02,1.1232719421e+00,-1.5052795061e-04,0.0000000000e+00
31,3.9906535149e+00,1.4818532509e-04,5.7967126465e+02,1.1430377960e+00,-1.5190124395e-04,0.0000000000e+00
32,3.9913706779e+00,1.4543300495e-04,5.5970922852e+02,1.1334654093e+00,-1.5426635218e-04,0.0000000000e+00
33,3.9920918941e+00,1.4601477596e-04,5.5970922852e+02,1.1334654093e+00,-1.5426635218e-04,0.0000000000e+00
