step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0267070532e-01,-5.0267070532e-01,9.5964351203e-05,2.4999941406e+03
2,5.0228297710e-01,-5.0228846073e-01,-1.0665172338e+00,2.4993044434e+03
3,5.0221997499e-01,-5.0214719772e-01,-1.1396769285e+00,2.4986142578e+03
4,5.0217288733e-01,-5.0202709436e-01,-1.0957006216e+00,2.4979245605e+03
5,5.0212919712e-01,-5.0190412998e-01,-1.0957006216e+00,2.4972363281e+03
6,5.0208783150e-01,-5.0177913904e-01,-1.0957006216e+00,2.4965485840e+03
7,5.0206673145e-01,-5.0174689293e-01,-9.3299067020e-01,2.4958627930e+03
8,5.0204718113e-01,-5.0171136856e-01,-9.3299067020e-01,2.4951757812e+03
9,5.0202876329e-01,-5.0167363882e-01,-9.3299067020e-01,2.4944885254e+03
10,5.0201141834e-01,-5.0163424015e-01,-9.3299067020e-01,2.4938020020e+03
11,5.0199502707e-01,-5.0159341097e-01,-9.3299067020e-01,2.4931154785e+03
12,5.0197958946e-01,-5.0155133009e-01,-9.3299067020e-01,2.4924294434e+03
13,5.0196510553e-01,-5.0150823593e-01,-9.3299067020e-01,2.4917431641e+03
14,5.0194483995e-01,-5.0145912170e-01,-9.4149404764e-01,2.4910578613e+03
15,5.0192391872e-01,-5.0141811371e-01,-9.4149404764e-01,2.4903725586e+03
16,5.0181376934e-01,-5.0126767159e-01,-1.8776170015e+00,2.4896887207e+03
17,5.0169044733e-01,-5.0108593702e-01,-1.3049196005e+00,2.4890026855e+03
18,5.0155514479e-01,-5.0094836950e-01,-1.0126115084e+00,2.4883154297e+03
19,5.0151056051e-01,-5.0075167418e-01,-1.0795700550e+00,2.4876289062e+03
20,5.0143444538e-01,-5.0068598986e-01,-1.5972080231e+00,2.4869443359e+03
21,5.0134474039e-01,-5.0062501431e-01,-9.4951730967e-01,2.4862600098e+03
22,5.0130122900e-01,-5.0053209066e-01,3.5026040673e-01,2.4855771484e+03
23,5.0126028061e-01,-5.0031846762e-01,-1.0804945230e+00,2.4848916016e+03
24,5.0111848116e-01,-5.0036382675e-01,-2.2792387009e+00,2.4842077637e+03
25,5.0102531910e-01,-5.0018620491e-01,5.7869726419e-01,2.4835219727e+03
26,5.0105696917e-01,-5.0001865625e-01,-8.0232930183e-01,2.4828378906e+03
27,5.0095111132e-01,-5.0000578165e-01,-2.3905899525e+00,2.4821540527e+03
28,5.0088924170e-01,-4.9993294477e-01,-4.5381128788e-01,2.4814709473e+03
29,5.0092035532e-01,-4.9987536669e-01,-5.7241326571e-01,2.4807871094e+03
30,5.0092893839e-01,-4.9981319904e-01,-1.3284381628e+00,2.4801049805e+03
31,5.0080204010e-01,-4.9978038669e-01,-1.4267753363e+00,2.4794204102e+03
32,5.0083273649e-01,-4.9960967898e-01,-9.9845893681e-02,2.4787395020e+03
33,5.0075411797e-01,-4.9957695603e-01,-1.5433627367e+00,2.4780571289e+03
34,5.0066953897e-01,-4.9952238798e-01,-1.5015588999e+00,2.4773740234e+03
35,5.0057792664e-01,-4.9935543537e-01,-7.9566448927e-01,2.4766923828e+03
36,5.0058817863e-01,-4.9936988950e-01,-1.3250650167e+00,2.4760092773e+03
37,5.0051426888e-01,-4.9914884567e-01,-3.4067627788e-01,2.4753278809e+03
38,5.0040078163e-01,-4.9910643697e-01,-1.8092690706e+00,2.4746464844e+03
39,5.0034481287e-01,-4.9913713336e-01,1.2336931378e-01,2.4739670410e+03
40,5.0023984909e-01,-4.9875721335e-01,-3.7330314517e-01,2.4732854004e+03
41,5.0020402670e-01,-4.9887183309e-01,-1.6833910942e+00,2.4726054688e+03
42,5.0004786253e-01,-4.9866908789e-01,-4.3522366881e-01,2.4719248047e+03
43,5.0007373095e-01,-4.9853548408e-01,2.6035574079e-01,2.4712460938e+03
