step,vx_600_200,vy_600_200,pressure_600_200,Cd,Cl,singularity_count
49,4.0085353851e+00,1.3447208039e-04,8.2032177734e+02,9.5037865639e-01,-4.8675537982e-05,0.0000000000e+00
50,4.0092782974e+00,3.4739161492e-05,7.8773779297e+02,9.6825307608e-01,-7.6751712186e-05,0.0000000000e+00
51,4.0098762512e+00,2.0350844352e-05,7.9843670654e+02,9.7929412127e-01,2.8457641747e-05,0.0000000000e+00
52,4.0105137825e+00,-3.1270101317e-05,8.0035479736e+02,9.8276245594e-01,3.4179687646e-05,0.0000000000e+00
53,4.0111989975e+00,-3.4434124245e-05,8.0035479736e+02,9.8276245594e-01,3.4179687646e-05,0.0000000000e+00
54,4.0117421150e+00,-4.4359261665e-05,8.2468316650e+02,1.0017035007e+00,1.5869140043e-05,0.0000000000e+00
55,4.0123081207e+00,-3.5685006878e-05,8.2468316650e+02,1.0017035007e+00,1.5869140043e-05,0.0000000000e+00
56,4.0126104355e+00,1.6464458895e-05,1.1990755615e+03,9.8753267527e-01,2.1377563826e-04,0.0000000000e+00
57,4.0128483772e+00,1.1206135241e-05,1.1990755615e+03,9.8753267527e-01,2.1377563826e-04,0.0000000000e+00
58,4.0130834579e+00,1.3525690883e-04,1.1401630859e+03,9.8500704765e-01,1.7463683616e-04,0.0000000000e+00
59,4.0132026672e+00,1.4239142183e-04,1.1401630859e+03,9.8500704765e-01,1.7463683616e-04,0.0000000000e+00
60,4.0134100914e+00,2.2781123698e-04,3.2268957520e+02,9.6886289120e-01,8.6059568275e-05,0.0000000000e+00
61,4.0135235786e+00,2.2361800075e-04,3.2268957520e+02,9.6886289120e-01,8.6059568275e-05,0.0000000000e+00
62,4.0134806633e+00,2.4903586018e-04,-5.8987251282e+01,9.7974961996e-01,-9.1247558885e-05,0.0000000000e+00
63,4.0134186745e+00,2.5211402681e-04,-5.8987251282e+01,9.7974961996e-01,-9.1247558885e-05,0.0000000000e+00
64,4.0132355690e+00,2.3889460135e-04,-4.7238449097e+02,1.0076831579e+00,-1.6204833810e-04,0.0000000000e+00
65,4.0130577087e+00,2.3409328423e-04,-4.7238449097e+02,1.0076831579e+00,-1.6204833810e-04,0.0000000000e+00
66,4.0126895905e+00,2.1710495639e-04,-6.8847900391e+02,1.0197100639e+00,-2.3971557675e-04,0.0000000000e+00
67,4.0123457909e+00,2.2025831277e-04,-6.8847900391e+02,1.0197100639e+00,-2.3971557675e-04,0.0000000000e+00
68,4.0119466782e+00,1.8568738597e-04,-8.2899029541e+02,1.0457687378e+00,-2.0034790214e-04,0.0000000000e+00
69,4.0115747452e+00,1.8066490884e-04,-8.2899029541e+02,1.0457687378e+00,-2.0034790214e-04,0.0000000000e+00
70,4.0110330582e+00,1.5695125330e-04,-9.2046844482e+02,1.0648465157e+00,-2.4475099053e-04,0.0000000000e+00
71,4.0105209351e+00,1.5872472432e-04,-9.2046844482e+02,1.0648465157e+00,-2.4475099053e-04,0.0000000000e+00
72,4.0099992752e+00,1.4341004135e-04,-9.8487561035e+02,1.0768306255e+00,-1.9241332484e-04,0.0000000000e+00
73,4.0094919205e+00,1.4352689323e-04,-9.8487561035e+02,1.0768306255e+00,-1.9241332484e-04,0.0000000000e+00
74,4.0088591576e+00,1.0129826842e-04,-1.0355736084e+03,1.1112049818e+00,-1.4907837613e-04,0.0000000000e+00
75,4.0082664490e+00,9.7308969998e-05,-1.0355736084e+03,1.1112049818e+00,-1.4907837613e-04,0.0000000000e+00
76,4.0076174736e+00,1.2524255726e-04,-1.0694205322e+03,1.1213201284e+00,-2.8030396788e-04,0.0000000000e+00
77,4.0069437027e+00,1.3069077977e-04,-1.0694205322e+03,1.1213201284e+00,-2.8030396788e-04,0.0000000000e+00
78,4.0063056946e+00,5.1787053962e-05,-1.1143742676e+03,1.1309981346e+00,-2.7313231840e-05,0.0000000000e+00
79,4.0057210922e+00,1.9856644940e-05,-1.1149124756e+03,1.1354757547e+00,-1.8310547603e-05,0.0000000000e+00
80,4.0049262047e+00,9.2935246357e-05,-1.0971431885e+03,1.1911978722e+00,-2.7175902505e-04,0.0000000000e+00
81,4.0042309761e+00,8.9333072538e-05,-1.1683983154e+03,1.1414891481e+00,-9.3841554190e-05,0.0000000000e+00
82,4.0035171509e+00,6.0973314248e-05,-1.1694992676e+03,1.1465400457e+00,-7.4310300988e-05,0.0000000000e+00
83,4.0025658607e+00,2.0124971343e-05,-1.1399460449e+03,1.2375309467e+00,3.1585692341e-05,0.0000000000e+00
84,4.0016942024e+00,6.8613750045e-05,-1.1402469482e+03,1.2341901064e+00,-1.6784667878e-06,0.0000000000e+00
85,4.0010848045e+00,4.3890555389e-05,-1.2223730469e+03,1.1418833733e+00,-1.4266968356e-04,0.0000000000e+00
86,4.0005097389e+00,3.1855142879e-05,-1.2223730469e+03,1.1418833733e+00,-1.4266968356e-04,0.0000000000e+00
87,3.9994952679e+00,9.6498435596e-05,-1.1838045654e+03,1.2798886299e+00,1.1459350935e-04,0.0000000000e+00
88,3.9988036156e+00,5.5166645325e-05,-1.2391865234e+03,1.1940779686e+00,-7.3242185863e-06,0.0000000000e+00
89,3.9981503487e+00,4.3076553993e-05,-1.2391865234e+03,1.1940779686e+00,-7.3242185863e-06,0.0000000000e+00
90,3.9975059032e+00,3.7997604522e-05,-1.2391865234e+03,1.1940779686e+00,-7.3242185863e-06,0.0000000000e+00
91,3.9965932369e+00,7.7628166764e-05,-1.2418039551e+03,1.2509230375e+00,4.5623779442e-05,0.0000000000e+00
92,3.9959151745e+00,2.3916312784e-05,-1.2353634033e+03,1.2218586206e+00,8.4533690824e-05,0.0000000000e+00
93,3.9952809811e+00,1.2617168068e-05,-1.2353634033e+03,1.2218586206e+00,8.4533690824e-05,0.0000000000e+00
94,3.9946482182e+00,5.1286069720e-06,-1.2353634033e+03,1.2218586206e+00,8.4533690824e-05,0.0000000000e+00
95,3.9939336777e+00,1.5485115000e-05,-1.2348846436e+03,1.2372529507e+00,-4.3182371883e-05,0.0000000000e+00
96,3.9933345318e+00,-3.1763076549e-05,-1.1707458496e+03,1.2216207981e+00,-3.7536621676e-05,0.0000000000e+00
97,3.9927666187e+00,-4.7052875743e-05,-1.1707458496e+03,1.2216207981e+00,-3.7536621676e-05,0.0000000000e+00
98,3.9921882153e+00,-4.2064821173e-05,-1.1555878906e+03,1.2332524061e+00,-5.7525634475e-05,0.0000000000e+00
99,3.9916417599e+00,-1.6335343389e-05,-1.1555878906e+03,1.2332524061e+00,-5.7525634475e-05,0.0000000000e+00
100,3.9910793304e+00,-8.1148944446e-05,-1.0115366821e+03,1.2415640354e+00,1.7700194803e-05,0.0000000000e+00
101,3.9905366898e+00,-1.0968095739e-04,-1.0115366821e+03,1.2415640354e+00,1.7700194803e-05,0.0000000000e+00
102,3.9901914597e+00,-1.8911107327e-04,-9.1464453125e+02,1.2296049595e+00,-1.5777588123e-04,0.0000000000e+00
103,3.9899687767e+00,-1.6889345716e-04,-9.1464453125e+02,1.2296049595e+00,-1.5777588123e-04,0.0000000000e+00
104,3.9892315865e+00,-1.3836094877e-04,-7.4473193359e+02,1.2541781664e+00,-9.8419186543e-05,0.0000000000e+00
