step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
43,1.9990752935e+00,9.8508564406e-05,1.6897459412e+02,1.2812533379e+00,-2.2766113398e-04,6.8411484375e+04
44,1.9994502068e+00,2.4663953809e-05,1.6548878479e+02,1.2796912193e+00,-3.8917540223e-04,6.8447914062e+04
45,2.0005104542e+00,-8.5984007455e-05,1.5108557129e+02,1.2836059332e+00,-3.8528443838e-05,6.8483304688e+04
46,2.0003397465e+00,2.2953553707e-04,1.2942080688e+02,1.2927643061e+00,-3.2676698174e-04,6.8519687500e+04
47,2.0012683868e+00,4.2232580017e-04,1.2772725677e+02,1.2924040556e+00,-2.0698546723e-04,6.8554484375e+04
48,2.0021116734e+00,1.2410547060e-04,1.4079077148e+02,1.2842319012e+00,-2.0492554177e-04,6.8588976562e+04
49,2.0011832714e+00,-2.1597646992e-04,1.2287575531e+02,1.3320752382e+00,-4.1076660273e-04,6.8622679688e+04
50,2.0029573441e+00,-1.4582715812e-04,1.1270214844e+02,1.3141964674e+00,-2.8549192939e-04,6.8655218750e+04
51,2.0030634403e+00,-1.7213670071e-04,1.1419975281e+02,1.3236701488e+00,-2.8610229492e-04,6.8685031250e+04
52,2.0031993389e+00,1.8771913892e-04,8.9795211792e+01,1.3111838102e+00,-2.5535584427e-04,6.8713039062e+04
53,2.0037088394e+00,-5.1451486070e-04,1.0697149658e+02,1.3178434372e+00,-1.1184692266e-04,6.8738476562e+04
54,2.0045738220e+00,-4.0067083319e-05,8.1644355774e+01,1.3180388212e+00,-2.5032044505e-04,6.8759085938e+04
55,2.0050060749e+00,-1.0649002434e-05,8.1644355774e+01,1.3180388212e+00,-2.5032044505e-04,6.8779718750e+04
56,2.0037651062e+00,-4.5248994138e-04,7.0383728027e+01,1.3342245817e+00,-1.1711120897e-04,6.8797468750e+04
57,2.0043346882e+00,-2.5994164753e-04,4.6407546997e+01,1.3245048523e+00,-8.5296633188e-05,6.8810367188e+04
58,2.0042963028e+00,-2.1752264001e-04,4.2069786072e+01,1.3273568153e+00,-5.0354003179e-05,6.8821375000e+04
59,2.0042698383e+00,-1.9971493748e-04,4.2069786072e+01,1.3273568153e+00,-5.0354003179e-05,6.8832375000e+04
60,2.0045797825e+00,-1.2695978512e-05,2.2565319061e+01,1.3319717646e+00,-1.6212463379e-04,6.8839609375e+04
61,2.0041399002e+00,-2.1191789710e-04,-9.1053018570e+00,1.3353836536e+00,-5.8364868892e-05,6.8844710938e+04
62,2.0048546791e+00,-2.1647625545e-05,-2.0134767532e+01,1.3238050938e+00,-1.3130187290e-04,6.8847085938e+04
63,2.0035340786e+00,-3.9583191392e-04,-4.2144882202e+01,1.3447577953e+00,-5.1040649851e-05,6.8847171875e+04
64,2.0048589706e+00,2.3712292023e-04,-6.9797782898e+01,1.3284595013e+00,-2.2888183594e-05,6.8845312500e+04
65,2.0028953552e+00,-3.0921946745e-04,-7.3580261230e+01,1.3425718546e+00,-1.5289307339e-04,6.8841226562e+04
66,2.0039334297e+00,-1.8614259898e-04,-1.1093125153e+02,1.3335574865e+00,-3.1280516851e-05,6.8834976562e+04
67,2.0020742416e+00,3.5639895941e-05,-1.0709226227e+02,1.3387607336e+00,-1.4076233492e-04,6.8827257812e+04
68,2.0038681030e+00,-2.4467502953e-04,-1.4169271851e+02,1.3386185169e+00,-1.1322021601e-04,6.8817015625e+04
69,2.0002751350e+00,1.7886943533e-04,-1.2879879761e+02,1.3341283798e+00,-8.6669919256e-05,6.8805992188e+04
70,2.0004756451e+00,1.2779487588e-04,-1.5938854980e+02,1.3329082727e+00,-8.2473758084e-05,6.8791054688e+04
71,2.0007092953e+00,1.0719393322e-04,-1.5938854980e+02,1.3329082727e+00,-8.2473758084e-05,6.8776242188e+04
72,2.0009522438e+00,1.0091143486e-04,-1.5938854980e+02,1.3329082727e+00,-8.2473758084e-05,6.8761656250e+04
73,2.0011906624e+00,9.7681382613e-05,-1.5938854980e+02,1.3329082727e+00,-8.2473758084e-05,6.8747179688e+04
74,2.0014200211e+00,9.3665476015e-05,-1.5938854980e+02,1.3329082727e+00,-8.2473758084e-05,6.8732921875e+04
75,1.9994493723e+00,4.9750837206e-05,-1.3072093201e+02,1.3240852356e+00,-8.4152219642e-05,6.8717914062e+04
76,1.9986963272e+00,1.0256154201e-04,-1.4074415588e+02,1.3184243441e+00,-2.8533935620e-05,6.8702835938e+04
77,1.9983949661e+00,5.1807852287e-05,-1.4283746338e+02,1.3271189928e+00,2.0675659471e-05,6.8686773438e+04
78,1.9977976084e+00,2.5323859882e-04,-1.3282087708e+02,1.3193802834e+00,1.0452270544e-05,6.8670335938e+04
79,1.9971066713e+00,1.6073587176e-04,-1.0659471893e+02,1.3206547499e+00,8.6135863967e-05,6.8655609375e+04
80,1.9972298145e+00,-1.0129682050e-04,-9.4047645569e+01,1.3218240738e+00,3.2958985685e-05,6.8640921875e+04
81,1.9960603714e+00,6.5552245360e-05,-1.2401523590e+02,1.3115304708e+00,7.2021481174e-05,6.8627679688e+04
82,1.9965084791e+00,2.3463062826e-04,-1.2151757812e+02,1.3067218065e+00,5.0582886615e-05,6.8615945312e+04
83,1.9945696592e+00,-1.1621044541e-04,-6.3225238800e+01,1.3249496222e+00,-6.7901608418e-05,6.8606257812e+04
84,1.9958561659e+00,1.0057367035e-04,-1.0065564728e+02,1.3116589785e+00,6.7062377639e-05,6.8598750000e+04
