step,vx_6_6,vy_6_6
0,4.9903917313e-01,-4.9903917313e-01
1,5.0582689047e-01,-5.0437277555e-01
2,5.0343841314e-01,-5.0352632999e-01
3,5.0219643116e-01,-5.0405991077e-01
4,5.0251150131e-01,-5.0628399849e-01
5,5.0415319204e-01,-5.0738471746e-01
6,5.0544393063e-01,-5.0749981403e-01
7,5.0452786684e-01,-5.0592684746e-01
8,5.0409179926e-01,-5.0350368023e-01
9,5.0327485800e-01,-5.0196796656e-01
10,5.0368928909e-01,-5.0197607279e-01
11,5.0530314445e-01,-4.9983102083e-01
12,5.0544583797e-01,-4.9820920825e-01
13,5.0513452291e-01,-4.9670758843e-01
14,5.0574868917e-01,-4.9568489194e-01
15,5.0545430183e-01,-4.9807780981e-01
16,5.0527811050e-01,-5.0043261051e-01
17,5.0600618124e-01,-5.0177156925e-01
18,5.0486600399e-01,-4.9985837936e-01
19,5.0291121006e-01,-4.9620351195e-01
20,5.0031989813e-01,-4.9506717920e-01
21,4.9957010150e-01,-4.9416992068e-01
22,5.0034868717e-01,-4.9535241723e-01
23,5.0285059214e-01,-4.9466964602e-01
24,5.0391805172e-01,-4.9642509222e-01
25,5.0388842821e-01,-4.9684071541e-01
26,5.0378936529e-01,-4.9889048934e-01
27,5.0282353163e-01,-4.9950540066e-01
28,5.0165361166e-01,-4.9996995926e-01
29,5.0096100569e-01,-4.9852088094e-01
30,5.0017964840e-01,-4.9967786670e-01
31,5.0143909454e-01,-5.0030183792e-01
32,5.0129520893e-01,-5.0182193518e-01
33,5.0212603807e-01,-4.9986732006e-01
34,4.9964329600e-01,-4.9754568934e-01
35,4.9938619137e-01,-4.9406182766e-01
36,4.9996441603e-01,-4.9412050843e-01
37,5.0169837475e-01,-4.9426874518e-01
38,5.0220721960e-01,-4.9631422758e-01
39,5.0448822975e-01,-4.9594914913e-01
40,5.0276905298e-01,-4.9681901932e-01
41,5.0266712904e-01,-4.9544170499e-01
42,4.9912804365e-01,-4.9474495649e-01
43,4.9905467033e-01,-4.9201914668e-01
44,4.9917429686e-01,-4.9122282863e-01
45,5.0106704235e-01,-4.9053084850e-01
46,5.0053584576e-01,-4.9340727925e-01
47,5.0170224905e-01,-4.9539116025e-01
48,5.0146532059e-01,-4.9797248840e-01
49,5.0222826004e-01,-4.9674004316e-01
50,5.0038510561e-01,-4.9581053853e-01
51,5.0020557642e-01,-4.9383521080e-01
52,4.9911633134e-01,-4.9231955409e-01
53,4.9990326166e-01,-4.9012732506e-01
54,4.9867200851e-01,-4.8946347833e-01
55,5.0099873543e-01,-4.8817333579e-01
56,5.0037825108e-01,-4.8914667964e-01
57,5.0216710567e-01,-4.8871231079e-01
58,5.0202637911e-01,-4.9053683877e-01
59,5.0423729420e-01,-4.8950567842e-01
60,5.0313806534e-01,-4.9152362347e-01
61,5.0390279293e-01,-4.8920327425e-01
62,5.0231593847e-01,-4.8991015553e-01
63,5.0447928905e-01,-4.8880276084e-01
64,5.0334584713e-01,-4.9080839753e-01
65,5.0424748659e-01,-4.8833599687e-01
66,5.0237566233e-01,-4.8885411024e-01
67,5.0241369009e-01,-4.8681294918e-01
68,5.0116157532e-01,-4.8879200220e-01
69,5.0365948677e-01,-4.8698902130e-01
70,5.0365006924e-01,-4.8839578032e-01
71,5.0419592857e-01,-4.8426187038e-01
72,5.0093120337e-01,-4.8590442538e-01
73,5.0155717134e-01,-4.8517081141e-01
74,5.0021576881e-01,-4.9043768644e-01
75,5.0191628933e-01,-4.9109220505e-01
76,5.0013482571e-01,-4.9139723182e-01
77,4.9997156858e-01,-4.8909875751e-01
78,4.9813184142e-01,-4.8740100861e-01
79,4.9904862046e-01,-4.8404234648e-01
80,4.9922955036e-01,-4.8307120800e-01
81,5.0008845329e-01,-4.7982671857e-01
82,5.0008344650e-01,-4.7996792197e-01
83,5.0066602230e-01,-4.7983971238e-01
84,5.0052928925e-01,-4.8144930601e-01
85,5.0065433979e-01,-4.8135423660e-01
86,4.9887523055e-01,-4.8130446672e-01
87,4.9774631858e-01,-4.8022884130e-01
88,4.9575886130e-01,-4.8246502876e-01
89,4.9827796221e-01,-4.8321071267e-01
90,4.9964994192e-01,-4.8678699136e-01
91,5.0132745504e-01,-4.8850575089e-01
92,4.9944251776e-01,-4.8840746284e-01
93,4.9832463264e-01,-4.8462674022e-01
94,4.9412453175e-01,-4.8278293014e-01
95,4.9170246720e-01,-4.7949337959e-01
96,4.8991245031e-01,-4.7870680690e-01
97,4.9254688621e-01,-4.7708019614e-01
98,4.9363598228e-01,-4.7805380821e-01
99,4.9564477801e-01,-4.7782057524e-01
100,4.9481114745e-01,-4.7893324494e-01
101,4.9610561132e-01,-4.7964432836e-01
102,4.9436700344e-01,-4.8358821869e-01
103,4.9577504396e-01,-4.8428872228e-01
104,4.9384188652e-01,-4.8696887493e-01
105,4.9268984795e-01,-4.8543715477e-01
106,4.8976883292e-01,-4.8433455825e-01
107,4.8875188828e-01,-4.8367995024e-01
