step,vx_450_150,vy_450_150,pressure_450_150,Cd,Cl,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.9026875496e+00,-7.5000000652e-04,4.6479590000e+06,1.9241893005e+02,-2.3437500931e-03,0.0000000000e+00
2,4.0292067528e+00,2.9726445791e-04,1.5660026562e+05,4.0313487053e+00,-9.4726565294e-04,0.0000000000e+00
3,4.0258111954e+00,2.6701414026e-04,-4.1847622070e+03,1.4806365967e+00,-1.8951416132e-04,0.0000000000e+00
4,4.0223364830e+00,2.3849881836e-04,-4.2998833008e+03,1.3041319847e+00,-1.3732910156e-04,0.0000000000e+00
5,4.0188159943e+00,2.0816171309e-04,-4.3597583008e+03,1.1958966255e+00,-1.1993408407e-04,0.0000000000e+00
6,4.0152692795e+00,1.7766353267e-04,-4.3975385742e+03,1.1151617765e+00,-1.1016845383e-04,0.0000000000e+00
7,4.0117053986e+00,1.4958166867e-04,-4.4221938477e+03,1.0451002121e+00,-1.0803222540e-04,0.0000000000e+00
8,4.0081272125e+00,1.1922806152e-04,-4.4398994141e+03,9.8874020576e-01,-9.8266602436e-05,0.0000000000e+00
9,4.0045380592e+00,8.8644374046e-05,-4.4527534180e+03,9.5027524233e-01,-1.0040283087e-04,0.0000000000e+00
10,4.0009388924e+00,5.0032020226e-05,-4.4602666016e+03,9.1309201717e-01,-1.0253905930e-04,0.0000000000e+00
11,3.9973361492e+00,1.1513437130e-05,-4.4614008789e+03,8.9184296131e-01,-7.9650875705e-05,0.0000000000e+00
12,3.9937498569e+00,-1.8245789761e-05,-4.4566440430e+03,8.7337905169e-01,-6.4086911152e-05,0.0000000000e+00
13,3.9901614189e+00,-5.9060981584e-05,-4.4433320312e+03,8.7321913242e-01,-2.8991698855e-05,0.0000000000e+00
14,3.9866011143e+00,-1.0447316163e-04,-4.4087231445e+03,8.6664044857e-01,1.0070801181e-05,0.0000000000e+00
15,3.9831490517e+00,-1.4023120457e-04,-4.2837949219e+03,8.5496640205e-01,3.3874512155e-05,0.0000000000e+00
16,3.9818000793e+00,-1.9260191766e-04,-1.9484151611e+03,7.9020065069e-01,4.4448851258e-04,0.0000000000e+00
17,3.9821972847e+00,-1.4710948744e-04,6.9330975342e+02,8.5532301664e-01,2.3590087949e-04,0.0000000000e+00
18,3.9829282761e+00,-9.6130017482e-05,1.1485091553e+03,8.7776201963e-01,1.1062622070e-04,0.0000000000e+00
19,3.9837746620e+00,-4.8005633289e-05,1.2813469238e+03,8.9109313488e-01,4.2419433157e-05,0.0000000000e+00
20,3.9846627712e+00,-4.3301406549e-06,1.3144733887e+03,8.9927840233e-01,5.5694581533e-06,0.0000000000e+00
21,3.9855051041e+00,-4.2348965508e-06,1.3144733887e+03,8.9927840233e-01,5.5694581533e-06,0.0000000000e+00
22,3.9864487648e+00,7.1186543209e-05,1.2640650635e+03,9.1216707230e-01,-5.8441160945e-05,0.0000000000e+00
23,3.9873156548e+00,7.1464244684e-05,1.2640650635e+03,9.1216707230e-01,-5.8441160945e-05,0.0000000000e+00
24,3.9882307053e+00,1.1900904792e-04,1.2449932861e+03,9.1928106546e-01,-7.1029666287e-05,0.0000000000e+00
25,3.9890968800e+00,1.1894486670e-04,1.2449932861e+03,9.1928106546e-01,-7.1029666287e-05,0.0000000000e+00
26,3.9900166988e+00,1.7711501278e-04,1.1964051514e+03,9.2994505167e-01,-9.3688962806e-05,0.0000000000e+00
27,3.9908771515e+00,1.7752320855e-04,1.1964051514e+03,9.2994505167e-01,-9.3688962806e-05,0.0000000000e+00
28,3.9917628765e+00,2.1039057174e-04,1.1462094727e+03,9.4560730457e-01,-9.4757080660e-05,0.0000000000e+00
29,3.9926204681e+00,2.2239591635e-04,1.1065759277e+03,9.4569909573e-01,-1.0208129970e-04,0.0000000000e+00
30,3.9934651852e+00,2.2248708410e-04,1.1065759277e+03,9.4569909573e-01,-1.0208129970e-04,0.0000000000e+00
31,3.9943206310e+00,2.3999430414e-04,1.0559479980e+03,9.6520322561e-01,-1.1238097795e-04,0.0000000000e+00
32,3.9951560497e+00,2.3842911469e-04,1.0559479980e+03,9.6520322561e-01,-1.1238097795e-04,0.0000000000e+00
33,3.9959838390e+00,2.4872703943e-04,9.9780065918e+02,9.6960592270e-01,-1.1108398758e-04,0.0000000000e+00
34,3.9968309402e+00,2.7958501596e-04,9.5089575195e+02,9.8649632931e-01,-1.1154174717e-04,0.0000000000e+00
