step,vx_225_100,vy_225_100,pressure_225_100,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9600000000e+02
1,1.9731125832e+00,4.7500003711e-04,7.2947725000e+05,1.6300170898e+02,-5.5468748324e-03,1.1912597656e+05
2,2.0078263283e+00,-1.3033337018e-04,1.3734490234e+04,3.5717668533e+00,1.9260253757e-02,1.2214532031e+05
3,2.0080666542e+00,-1.1678119336e-04,9.3884727478e+01,1.7305194139e+00,-9.0933991596e-03,1.2216640625e+05
4,2.0080685616e+00,-1.1318601173e-04,4.9223232269e+00,1.4546896219e+00,-4.3432921171e-02,1.2216772656e+05
5,2.0079219341e+00,-1.3252561621e-04,-5.1430885315e+01,1.2724508047e+00,-8.0560306087e-03,1.2215925000e+05
6,2.0076634884e+00,-1.4935681247e-04,-1.0157325745e+02,1.1866483688e+00,2.0720519125e-02,1.2214692969e+05
7,2.0073010921e+00,-1.1439849186e-04,-1.4856263733e+02,1.1280015707e+00,1.1120605282e-02,1.2212260938e+05
8,2.0068149567e+00,-1.0545419354e-04,-1.9088151550e+02,1.0357974768e+00,1.1884612963e-02,1.2208696875e+05
9,2.0062561035e+00,-8.8571126980e-05,-2.2174325562e+02,9.5411562920e-01,7.2385862470e-02,1.2204462500e+05
10,2.0056371689e+00,-8.0555240856e-05,-2.4716835022e+02,9.1313552856e-01,2.6715392247e-02,1.2199417969e+05
11,2.0049934387e+00,-7.0713154855e-05,-2.6675375366e+02,9.2348313332e-01,3.0897522345e-02,1.2193832812e+05
12,2.0043008327e+00,-6.7353466875e-05,-2.8471554565e+02,9.2892211676e-01,8.9184567332e-03,1.2187537500e+05
13,2.0035946369e+00,-4.0087848902e-05,-2.9778848267e+02,8.9607924223e-01,1.6317291185e-02,1.2180826562e+05
14,2.0028119087e+00,-2.7616544685e-05,-3.0409671021e+02,9.1692739725e-01,2.4915618822e-02,1.2173960938e+05
15,2.0020430088e+00,-9.2060208772e-06,-3.0515914917e+02,9.3920880556e-01,2.7006531134e-02,1.2166935938e+05
16,2.0011854172e+00,-2.1049714633e-05,-3.0656738281e+02,9.2358261347e-01,1.2323761359e-02,1.2159821875e+05
17,2.0003142357e+00,-2.8321119316e-05,-3.1105328369e+02,8.7127494812e-01,-1.6466522589e-02,1.2152745312e+05
18,1.9994357824e+00,-1.8638160327e-05,-3.1581365967e+02,9.0826225281e-01,8.7612913921e-03,1.2145532031e+05
19,1.9985644817e+00,-8.9248151198e-06,-3.1914456177e+02,9.2932993174e-01,2.7801512624e-04,1.2138435156e+05
20,1.9976998568e+00,8.4833509391e-06,-3.2078332520e+02,9.7925764322e-01,-1.8087310717e-02,1.2131680469e+05
21,1.9969054461e+00,4.3391504732e-05,-3.2022576904e+02,9.6604394913e-01,-3.1019287184e-02,1.2125128906e+05
22,1.9961227179e+00,6.3855521148e-05,-3.1576296997e+02,9.6677380800e-01,3.6399841774e-03,1.2118850781e+05
23,1.9954248667e+00,9.8567703390e-05,-3.0563922119e+02,1.0026667118e+00,-1.1335296556e-02,1.2113029688e+05
24,1.9947365522e+00,1.2277225323e-04,-2.8714959717e+02,9.9961262941e-01,-1.0323486291e-02,1.2107913281e+05
25,1.9940806627e+00,1.3560423395e-04,-2.6188037109e+02,1.0101522207e+00,2.4717254564e-02,1.2103262500e+05
26,1.9935219288e+00,1.4559217379e-04,-2.2923187256e+02,1.0596661568e+00,3.1235046685e-02,1.2099473438e+05
27,1.9930262566e+00,1.4530288172e-04,-1.9325776672e+02,1.0315822363e+00,2.8340148274e-03,1.2096457812e+05
28,1.9926359653e+00,1.4588749036e-04,-1.5536932373e+02,1.0449403524e+00,1.4590758830e-02,1.2094196094e+05
29,1.9923566580e+00,1.4387737610e-04,-1.1256333923e+02,1.0709335804e+00,2.3903045803e-02,1.2092681250e+05
30,1.9921793938e+00,1.4529853070e-04,-6.6533729553e+01,1.0838929415e+00,4.2962800711e-02,1.2092239062e+05
31,1.9921200275e+00,1.4564160665e-04,-2.3908828735e+01,1.0997626781e+00,1.9918518141e-02,1.2092505469e+05
32,1.9921530485e+00,1.3465514348e-04,1.7114744186e+01,1.1239022017e+00,3.1968688127e-03,1.2093609375e+05
33,1.9922909737e+00,1.4454862685e-04,5.8158893585e+01,1.1166641712e+00,1.9839782268e-02,1.2095610156e+05
34,1.9925141335e+00,1.4472418115e-04,9.6953041077e+01,1.1690679789e+00,2.1762695163e-02,1.2098430469e+05
35,1.9928414822e+00,1.3968297571e-04,1.3225187683e+02,1.1521588564e+00,4.3211668730e-02,1.2102010156e+05
36,1.9932155609e+00,1.4285177167e-04,1.6431498718e+02,1.1801131964e+00,8.6170956492e-03,1.2106203906e+05
37,1.9936789274e+00,1.3697745453e-04,1.8995367432e+02,1.1585040092e+00,5.7199858129e-03,1.2111174219e+05
