step,vy_166_1,vy_166_2,vy_166_3,vy_166_4,vy_166_5,vy_166_6,vy_166_7,vy_166_8,vy_166_9,vy_166_10,vy_166_11,vy_166_12,vy_166_13,vy_166_14,vy_166_15,vy_166_16,vy_166_17,vy_166_18,vy_166_19,vy_166_20,vy_166_21,vy_166_22,vy_166_23,vy_166_24,vy_166_25,vy_166_26,vy_166_27,vy_166_28,vy_166_29,vy_166_30,vy_166_31,vy_166_32,vy_166_33,vy_166_34,vy_166_35,vy_166_36,vy_166_37,vy_166_38,vy_166_39,vy_166_40,vy_166_41,vy_166_42,vy_166_43,vy_166_44,vy_166_45,vy_166_46,vy_166_47,vy_166_48,vy_166_49,vy_166_50,vy_166_51,vy_166_52,vy_166_53,vy_166_54,vy_166_55,vy_166_56,vy_166_57,vy_166_58,vy_166_59,vy_166_60,vy_166_61,vy_166_62,vy_166_63,vy_166_64,vy_166_65,vy_166_66,vy_166_67,vy_166_68,vy_166_69,vy_166_70,vy_166_71,vy_166_72,vy_166_73,vy_166_74,vy_166_75,vy_166_76,vy_166_77,vy_166_78,vy_166_79,vy_166_80,vy_166_81,vy_166_82,vy_166_83,vy_166_84,vy_166_85,vy_166_86,vy_166_87,vy_166_88,vy_166_89,vy_166_90,vy_166_91,vy_166_92,vy_166_93,vy_166_94,vy_166_95,vy_166_96,vy_166_97,vy_166_98,vy_166_99
1,1.5625000742e-05,-1.9531250000e-03,5.4687501688e-05,-1.8749999581e-03,1.4843749523e-04,-1.8046875484e-03,2.6562501444e-04,-1.7109374749e-03,1.9531250291e-04,-1.7500000540e-03,3.5156251397e-04,-1.6406249488e-03,3.2031250885e-04,-1.5468749916e-03,4.4531250023e-04,-1.5937499702e-03,4.2187501094e-04,-1.4609375503e-03,5.7031249162e-04,-1.5000000130e-03,5.9374998091e-04,-1.4296874870e-03,6.4062501770e-04,-1.3515624451e-03,6.4062501770e-04,-1.3281250140e-03,7.0312502794e-04,-1.2578124879e-03,6.7187502282e-04,-1.1484374991e-03,7.5000000652e-04,-1.1249999516e-03,7.7343749581e-04,-1.1484374991e-03,8.3593750605e-04,-1.0859374888e-03,8.2031247439e-04,-1.1328124674e-03,9.0624997392e-04,-1.1171875522e-03,1.0390625102e-03,-1.0859374888e-03,1.0000000475e-03,-1.0312499944e-03,9.9218753166e-04,-1.0390625102e-03,1.0078124469e-03,-8.8281248463e-04,1.0781249730e-03,-8.9843751630e-04,1.0390625102e-03,-9.6874998417e-04,1.0937500047e-03,-9.1406248976e-04,1.1484374991e-03,-8.7500002701e-04,1.1796874460e-03,-8.9062500047e-04,1.2421874562e-03,-8.5156247951e-04,1.1718750466e-03,-7.8906252747e-04,1.2656250037e-03,-7.3437497485e-04,1.2421874562e-03,-7.1875000140e-04,1.2734375196e-03,-6.7968748044e-04,1.3359375298e-03,-6.9531251211e-04,1.3046874665e-03,-5.9374998091e-04,1.4453125186e-03,-6.5624999115e-04,1.5000000130e-03,-5.4687500233e-04,1.4843749814e-03,-5.0000002375e-04,1.5703125391e-03,-5.2343751304e-04,1.6562499804e-03,-4.6093750279e-04,1.6484374646e-03,-3.9843749255e-04,1.7343750224e-03,-3.5937500070e-04,1.7265625065e-03,-2.4218749604e-04,1.7031249590e-03,-1.4843749523e-04,1.7343750224e-03,-1.4843749523e-04,1.9218750531e-03,-1.0156250210e-04,1.9140625373e-03,-6.2500002969e-05,1.9453124842e-03,0.0000000000e+00,0.0000000000e+00
2333,2.5080263149e-03,5.4061142728e-03,7.7100195922e-03,1.0932498612e-02,1.3521311805e-02,1.7252618447e-02,2.0360913128e-02,2.4690756574e-02,2.8622057289e-02,3.3547811210e-02,3.8735173643e-02,4.4625308365e-02,5.1354154944e-02,5.8499507606e-02,6.7054204643e-02,7.6205141842e-02,8.7404400110e-02,9.8908767104e-02,1.1330815405e-01,1.2799328566e-01,1.4619717002e-01,1.6517274082e-01,1.8775294721e-01,2.1229688823e-01,2.3987828195e-01,2.7130267024e-01,3.0476388335e-01,3.4403011203e-01,3.8410535455e-01,4.3171083927e-01,4.7841808200e-01,5.3274112940e-01,5.8373188972e-01,6.4063668251e-01,6.9138395786e-01,7.4599415064e-01,7.9211574793e-01,8.4108281136e-01,8.8003277779e-01,9.2073076963e-01,9.5075279474e-01,9.8128384352e-01,1.0013620853e+00,1.0205668211e+00,1.0302920341e+00,1.0379154682e+00,1.0378086567e+00,1.0345734358e+00,1.0257569551e+00,1.0130236149e+00,9.9702566862e-01,9.7643959522e-01,9.5485353470e-01,9.2790281773e-01,9.0210133791e-01,8.6973810196e-01,8.4031534195e-01,8.0347353220e-01,7.7072829008e-01,7.3007935286e-01,6.9417953491e-01,6.5025597811e-01,6.1163562536e-01,5.6573349237e-01,5.2602291107e-01,4.8085367680e-01,4.4380098581e-01,4.0487375855e-01,3.7606492639e-01,3.4797352552e-01,3.2786059380e-01,3.0611932278e-01,2.8616064787e-01,2.6272672415e-01,2.3925410211e-01,2.1504920721e-01,1.9218176603e-01,1.7115823925e-01,1.5177196264e-01,1.3494083285e-01,1.1927233636e-01,1.0589829832e-01,9.3359306455e-02,8.2678005099e-02,7.2742767632e-02,6.4209401608e-02,5.6187927723e-02,4.9016002566e-02,4.2669266462e-02,3.6473903805e-02,3.1347244978e-02,2.5817900896e-02,2.1317737177e-02,1.6510436311e-02,1.2264008634e-02,8.0497376621e-03,3.7470881362e-03,0.0000000000e+00,0.0000000000e+00
4666,-3.0409693718e-03,-5.0716432743e-03,-9.2677203938e-03,-1.1264113709e-02,-1.5916442499e-02,-1.8178837374e-02,-2.3339811713e-02,-2.6023069397e-02,-3.1830415130e-02,-3.5358730704e-02,-4.1880443692e-02,-4.6582907438e-02,-5.4057847708e-02,-6.0210660100e-02,-6.9096349180e-02,-7.7122442424e-02,-8.8031515479e-02,-9.8322294652e-02,-1.1189269274e-01,-1.2525615096e-01,-1.4265163243e-01,-1.6043360531e-01,-1.8350733817e-01,-2.0836468041e-01,-2.4111953378e-01,-2.7737322450e-01,-3.2298254967e-01,-3.7019291520e-01,-4.2397376895e-01,-4.7556582093e-01,-5.3179168701e-01,-5.8398252726e-01,-6.4019525051e-01,-6.9122546911e-01,-7.4572187662e-01,-7.9360550642e-01,-8.4426039457e-01,-8.8700687885e-01,-9.3158113956e-01,-9.6661889553e-01,-1.0025306940e+00,-1.0279413462e+00,-1.0532102585e+00,-1.0674703121e+00,-1.0808902979e+00,-1.0832213163e+00,-1.0844243765e+00,-1.0750104189e+00,-1.0646212101e+00,-1.0443187952e+00,-1.0233561993e+00,-9.9343377352e-01,-9.6353721619e-01,-9.2570459843e-01,-8.8856673241e-01,-8.4455883503e-01,-8.0227369070e-01,-7.5414496660e-01,-7.0890438557e-01,-6.5925127268e-01,-6.1355382204e-01,-5.6447583437e-01,-5.2065986395e-01,-4.7452875972e-01,-4.3452414870e-01,-3.9297801256e-01,-3.5792192817e-01,-3.2159504294e-01,-2.9163256288e-01,-2.6058501005e-01,-2.3557241261e-01,-2.0939281583e-01,-1.8870602548e-01,-1.6682218015e-01,-1.4998915792e-01,-1.3191926479e-01,-1.1847221106e-01,-1.0357291996e-01,-9.3022234738e-02,-8.0747373402e-02,-7.2477690876e-02,-6.2557794154e-02,-5.6164998561e-02,-4.7994013876e-02,-4.3113324791e-02,-3.6373294890e-02,-3.2710563391e-02,-2.7102410793e-02,-2.4353722110e-02,-1.9689969718e-02,-1.7453661188e-02,-1.3632048853e-02,-1.1787386611e-02,-8.5702724755e-03,-6.8893413991e-03,-4.1252602823e-03,-2.3901541717e-03,0.0000000000e+00,0.0000000000e+00
6998,-2.8202447575e-03,-5.9647299349e-03,-5.7768551633e-03,-8.1735942513e-03,-8.6318263784e-03,-1.0578736663e-02,-1.1973340064e-02,-1.3663039543e-02,-1.5818616375e-02,-1.7090074718e-02,-2.0148290321e-02,-2.1425694227e-02,-2.5391073897e-02,-2.7142046019e-02,-3.1454473734e-02,-3.4035813063e-02,-3.8599573076e-02,-4.1709650308e-02,-4.6356465667e-02,-5.0390459597e-02,-5.4875981063e-02,-5.9829521924e-02,-6.5085485578e-02,-7.0128537714e-02,-7.4283130467e-02,-7.6077245176e-02,-7.5290232897e-02,-7.1320943534e-02,-6.3038893044e-02,-5.1820792258e-02,-3.7275116891e-02,-2.2541940212e-02,-8.3319619298e-03,2.8895284049e-03,1.0567384772e-02,1.4406222850e-02,1.4010632411e-02,1.1727681383e-02,5.7129613124e-03,-1.7294008285e-04,-9.1777071357e-03,-1.6804147512e-02,-2.7818098664e-02,-3.6526918411e-02,-4.8969678581e-02,-5.9050366282e-02,-7.2657130659e-02,-8.3432152867e-02,-9.7467899323e-02,-1.0817693919e-01,-1.2218365073e-01,-1.3244311512e-01,-1.4563874900e-01,-1.5459467471e-01,-1.6588936746e-01,-1.7281672359e-01,-1.8190754950e-01,-1.8682107329e-01,-1.9409497082e-01,-1.9773903489e-01,-2.0391574502e-01,-2.0665121078e-01,-2.1238403022e-01,-2.1507892013e-01,-2.2080804408e-01,-2.2325645387e-01,-2.2726731002e-01,-2.2485399246e-01,-2.1933373809e-01,-2.0414964855e-01,-1.8590764701e-01,-1.6219615936e-01,-1.4116334915e-01,-1.1967320740e-01,-1.0298857838e-01,-8.6891263723e-02,-7.4183754623e-02,-6.2361937016e-02,-5.2756305784e-02,-4.4434320182e-02,-3.6947950721e-02,-3.1267918646e-02,-2.5582831353e-02,-2.1947599947e-02,-1.7195582390e-02,-1.5168162994e-02,-1.1000769213e-02,-1.0075770319e-02,-6.3942368142e-03,-6.2139667571e-03,-3.1716118101e-03,-3.6455825903e-03,-1.1108585168e-03,-1.7283030320e-03,2.8282112908e-04,-2.8461846523e-04,1.1007329449e-03,0.0000000000e+00,0.0000000000e+00
