step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.9254219532e+00,-1.2343750568e-03,1.5380912500e+06,6.0408584595e+01,-1.6796875279e-03,0.0000000000e+00
2,4.0269484520e+00,5.9116072953e-04,4.0824636719e+04,2.4143049717e+00,-1.5734863700e-03,0.0000000000e+00
3,4.0261011124e+00,5.7668972295e-04,-3.2575347900e+02,1.5427900553e+00,-2.3735046852e-04,0.0000000000e+00
4,4.0246324539e+00,5.5099767633e-04,-5.7510632324e+02,1.4153130054e+00,-2.1553039551e-04,0.0000000000e+00
5,4.0228295326e+00,5.2064104239e-04,-7.1071258545e+02,1.3492413759e+00,-2.1041870059e-04,0.0000000000e+00
6,4.0208067894e+00,4.8817554489e-04,-8.0183935547e+02,1.3066191673e+00,-2.0957946253e-04,0.0000000000e+00
7,4.0186471939e+00,3.7958804751e-04,-8.6908789062e+02,1.2689460516e+00,-2.3101807164e-04,0.0000000000e+00
8,4.0163788795e+00,3.4581177169e-04,-9.1420959473e+02,1.2390623093e+00,-2.4734495673e-04,0.0000000000e+00
9,4.0140852928e+00,3.1786950422e-04,-9.4812451172e+02,1.2131856680e+00,-2.1385193395e-04,0.0000000000e+00
10,4.0116357803e+00,2.9737470322e-04,-9.7474633789e+02,1.1951000690e+00,-2.1781920805e-04,0.0000000000e+00
11,4.0092277527e+00,2.7976592537e-04,-9.8051983643e+02,1.1786031723e+00,-2.1995544375e-04,0.0000000000e+00
12,4.0067434311e+00,1.9884714857e-04,-1.0061151733e+03,1.1713529825e+00,-1.6510009300e-04,0.0000000000e+00
13,4.0046873093e+00,1.6688223695e-04,-9.4602252197e+02,1.1494232416e+00,-2.4368286540e-04,0.0000000000e+00
14,4.0021562576e+00,-7.4477563612e-04,-1.0073018188e+03,1.1496385336e+00,-2.7122496977e-04,0.0000000000e+00
15,3.9994492531e+00,-2.2101774812e-04,-8.7668383789e+02,1.1415853500e+00,-1.5930175141e-04,0.0000000000e+00
16,3.9985516071e+00,9.7914395155e-05,-9.6807867432e+02,1.1306985617e+00,-2.8045653016e-04,0.0000000000e+00
