step,vx_6_6,vy_6_6
0,4.9903917313e-01,-4.9903917313e-01
1,5.0723826885e-01,-5.0547552109e-01
2,5.0261002779e-01,-4.9927097559e-01
3,4.9847665429e-01,-4.9468675256e-01
4,4.9585008621e-01,-4.9229434133e-01
5,4.9450510740e-01,-4.9093368649e-01
6,4.9258568883e-01,-4.9036833644e-01
7,4.8943474889e-01,-4.8964881897e-01
8,4.8631656170e-01,-4.8733150959e-01
9,4.8277986050e-01,-4.8429986835e-01
10,4.7915613651e-01,-4.8084399104e-01
11,4.7567167878e-01,-4.7773519158e-01
12,4.7245362401e-01,-4.7556102276e-01
13,4.6988674998e-01,-4.7297880054e-01
14,4.6671167016e-01,-4.7003009915e-01
15,4.6362262964e-01,-4.6606791019e-01
16,4.6077400446e-01,-4.6230745316e-01
17,4.5992791653e-01,-4.5926198363e-01
18,4.5819044113e-01,-4.5653545856e-01
19,4.5601207018e-01,-4.5458781719e-01
20,4.5238444209e-01,-4.5302772522e-01
21,4.4897279143e-01,-4.5068755746e-01
22,4.4458439946e-01,-4.4711220264e-01
23,4.4052651525e-01,-4.4276854396e-01
24,4.3714299798e-01,-4.3808561563e-01
25,4.3446129560e-01,-4.3353274465e-01
26,4.3265584111e-01,-4.2957016826e-01
27,4.3178793788e-01,-4.2674031854e-01
28,4.3059399724e-01,-4.2451792955e-01
29,4.2865464091e-01,-4.2243361473e-01
30,4.2656436563e-01,-4.2050379515e-01
31,4.2316201329e-01,-4.1914051771e-01
32,4.2093423009e-01,-4.1805160046e-01
33,4.1841763258e-01,-4.1660213470e-01
34,4.1562423110e-01,-4.1463759542e-01
35,4.1204518080e-01,-4.1065812111e-01
36,4.0784916282e-01,-4.0672272444e-01
37,4.0400084853e-01,-4.0253421664e-01
38,4.0080347657e-01,-3.9880695939e-01
39,3.9850223064e-01,-3.9567250013e-01
40,3.9692643285e-01,-3.9417847991e-01
41,3.9552572370e-01,-3.9238563180e-01
42,3.9374738932e-01,-3.9098525047e-01
43,3.9104470611e-01,-3.8938835263e-01
44,3.8795608282e-01,-3.8730269670e-01
45,3.8418152928e-01,-3.8431015611e-01
46,3.8065847754e-01,-3.8084837794e-01
47,3.7779837847e-01,-3.7723806500e-01
48,3.7546145916e-01,-3.7322193384e-01
49,3.7473931909e-01,-3.7000265718e-01
50,3.7388134003e-01,-3.6780998111e-01
51,3.7296009064e-01,-3.6654677987e-01
52,3.7131571770e-01,-3.6567181349e-01
53,3.6926427484e-01,-3.6461931467e-01
54,3.6623445153e-01,-3.6292585731e-01
55,3.6319464445e-01,-3.6053803563e-01
56,3.5972672701e-01,-3.5723426938e-01
57,3.5616424680e-01,-3.5390359163e-01
58,3.5307341814e-01,-3.5049054027e-01
59,3.5055392981e-01,-3.4774136543e-01
60,3.4895846248e-01,-3.4541898966e-01
61,3.4801134467e-01,-3.4341591597e-01
62,3.4705975652e-01,-3.4185492992e-01
63,3.4575474262e-01,-3.4008735418e-01
64,3.4385982156e-01,-3.3812367916e-01
65,3.4147468209e-01,-3.3596253395e-01
66,3.3846589923e-01,-3.3371347189e-01
67,3.3535668254e-01,-3.3130523562e-01
68,3.3216986060e-01,-3.2920172811e-01
69,3.2983261347e-01,-3.2688093185e-01
70,3.2769054174e-01,-3.2506349683e-01
71,3.2567685843e-01,-3.2317289710e-01
72,3.2405209541e-01,-3.2148647308e-01
73,3.2279667258e-01,-3.1987994909e-01
74,3.2123276591e-01,-3.1822142005e-01
75,3.1955596805e-01,-3.1653574109e-01
76,3.1770229340e-01,-3.1472894549e-01
77,3.1593346596e-01,-3.1314936280e-01
78,3.1421923637e-01,-3.1185528636e-01
79,3.1274926662e-01,-3.0960649252e-01
80,3.1037309766e-01,-3.0761590600e-01
81,3.0832684040e-01,-3.0483499169e-01
82,3.0567306280e-01,-3.0233588815e-01
83,3.0325973034e-01,-2.9998824000e-01
84,3.0059966445e-01,-2.9848459363e-01
85,2.9844179749e-01,-2.9688510299e-01
86,2.9643723369e-01,-2.9607030749e-01
87,2.9474693537e-01,-2.9502454400e-01
88,2.9295665026e-01,-2.9376006126e-01
89,2.9141348600e-01,-2.9164671898e-01
90,2.8960645199e-01,-2.8970113397e-01
91,2.8801107407e-01,-2.8626334667e-01
92,2.8589770198e-01,-2.8331223130e-01
93,2.8400132060e-01,-2.7980902791e-01
94,2.8203997016e-01,-2.7746239305e-01
95,2.8045272827e-01,-2.7528017759e-01
96,2.7872735262e-01,-2.7460932732e-01
97,2.7766636014e-01,-2.7381369472e-01
98,2.7646586299e-01,-2.7381610870e-01
99,2.7532106638e-01,-2.7338394523e-01
100,2.7404952049e-01,-2.7318173647e-01
101,2.7250200510e-01,-2.7215978503e-01
102,2.7051195502e-01,-2.7106961608e-01
103,2.6890435815e-01,-2.6930332184e-01
104,2.6689657569e-01,-2.6821938157e-01
105,2.6502919197e-01,-2.6611435413e-01
106,2.6293006539e-01,-2.6485773921e-01
107,2.6114815474e-01,-2.6271209121e-01
108,2.5953057408e-01,-2.6101845503e-01
109,2.5791782141e-01,-2.5863063335e-01
110,2.5660052896e-01,-2.5672158599e-01
111,2.5533121824e-01,-2.5432473421e-01
112,2.5391301513e-01,-2.5225025415e-01
113,2.5233888626e-01,-2.4980661273e-01
114,2.5001773238e-01,-2.4761851132e-01
115,2.4884098768e-01,-2.4501131475e-01
116,2.4728713930e-01,-2.4307519197e-01
117,2.4618676305e-01,-2.4095229805e-01
118,2.4479602277e-01,-2.3941582441e-01
119,2.4373885989e-01,-2.3770177364e-01
120,2.4245971441e-01,-2.3661676049e-01
121,2.4129369855e-01,-2.3520746827e-01
122,2.3983731866e-01,-2.3440118134e-01
123,2.3867833614e-01,-2.3305425048e-01
124,2.3677949607e-01,-2.3244531453e-01
125,2.3526932299e-01,-2.3153188825e-01
126,2.3356536031e-01,-2.3105600476e-01
127,2.3219612241e-01,-2.2993759811e-01
128,2.3073191941e-01,-2.2914020717e-01
129,2.2927109897e-01,-2.2784501314e-01
130,2.2792871296e-01,-2.2681441903e-01
131,2.2646887600e-01,-2.2526496649e-01
132,2.2490137815e-01,-2.2421057522e-01
133,2.2322192788e-01,-2.2264085710e-01
134,2.2123590112e-01,-2.2167700529e-01
135,2.1948006749e-01,-2.2016151249e-01
136,2.1775688231e-01,-2.1920928359e-01
137,2.1601748466e-01,-2.1759812534e-01
138,2.1446159482e-01,-2.1639846265e-01
139,2.1295075119e-01,-2.1452139318e-01
140,2.1153149009e-01,-2.1312884986e-01
141,2.1015599370e-01,-2.1130719781e-01
142,2.0894962549e-01,-2.0995819569e-01
143,2.0795105398e-01,-2.0798505843e-01
144,2.0651815832e-01,-2.0657755435e-01
145,2.0548346639e-01,-2.0479486883e-01
146,2.0405860245e-01,-2.0352676511e-01
147,2.0293900371e-01,-2.0187410712e-01
148,2.0176489651e-01,-2.0052847266e-01
149,2.0054785907e-01,-1.9886705279e-01
150,1.9935511053e-01,-1.9760413468e-01
151,1.9811004400e-01,-1.9603522122e-01
152,1.9672691822e-01,-1.9516111910e-01
153,1.9590613246e-01,-1.9365043938e-01
154,1.9475895166e-01,-1.9264280796e-01
155,1.9373232126e-01,-1.9119033217e-01
156,1.9259665906e-01,-1.9051806629e-01
157,1.9146038592e-01,-1.8936829269e-01
158,1.9042147696e-01,-1.8868441880e-01
159,1.8933044374e-01,-1.8763017654e-01
160,1.8827040493e-01,-1.8705566227e-01
161,1.8705865741e-01,-1.8560153246e-01
162,1.8571314216e-01,-1.8493810296e-01
163,1.8473936617e-01,-1.8364037573e-01
164,1.8347395957e-01,-1.8277662992e-01
165,1.8233323097e-01,-1.8150065839e-01
166,1.8112154305e-01,-1.8039953709e-01
167,1.7980676889e-01,-1.7885278165e-01
168,1.7847487330e-01,-1.7769674957e-01
169,1.7708721757e-01,-1.7601408064e-01
170,1.7569819093e-01,-1.7483055592e-01
171,1.7446367443e-01,-1.7310069501e-01
172,1.7271506786e-01,-1.7189240456e-01
173,1.7155852914e-01,-1.7020215094e-01
174,1.7033125460e-01,-1.6918659210e-01
175,1.6919311881e-01,-1.6793587804e-01
176,1.6829524934e-01,-1.6722741723e-01
177,1.6749440134e-01,-1.6622169316e-01
178,1.6682392359e-01,-1.6574864089e-01
179,1.6611459851e-01,-1.6483891010e-01
180,1.6530704498e-01,-1.6446527839e-01
181,1.6497926414e-01,-1.6358323395e-01
182,1.6428682208e-01,-1.6316580772e-01
183,1.6358056664e-01,-1.6220501065e-01
184,1.6273212433e-01,-1.6103765368e-01
185,1.6163814068e-01,-1.6037081182e-01
186,1.6043128073e-01,-1.5950013697e-01
187,1.5920189023e-01,-1.5810839832e-01
188,1.5773086250e-01,-1.5714611113e-01
189,1.5644216537e-01,-1.5575806797e-01
190,1.5495286882e-01,-1.5470434725e-01
191,1.5358601511e-01,-1.5320453048e-01
192,1.5222325921e-01,-1.5202336013e-01
193,1.5093639493e-01,-1.5052618086e-01
194,1.4966912568e-01,-1.4942729473e-01
195,1.4855843782e-01,-1.4800338447e-01
196,1.4742863178e-01,-1.4716216922e-01
197,1.4677011967e-01,-1.4586855471e-01
198,1.4595724642e-01,-1.4524635673e-01
199,1.4534658194e-01,-1.4480523765e-01
200,1.4501616359e-01,-1.4367917180e-01
