step,vx_750_250,vy_750_250,pressure_750_250,Cd,Cl,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.9607501030e+00,-8.7500002701e-04,7.8833550000e+06,3.1883984375e+02,-4.9999998882e-03,0.0000000000e+00
2,4.0497040749e+00,3.0264662928e-04,1.8882451562e+05,4.4263639450e+00,1.4746093657e-03,0.0000000000e+00
3,4.0316739082e+00,2.0388653502e-04,-3.7574671875e+04,1.0688780546e+00,1.2939452427e-04,0.0000000000e+00
4,4.0136399269e+00,1.1687725782e-04,-3.7613207031e+04,9.3222349882e-01,1.6235352086e-04,0.0000000000e+00
5,3.9956049919e+00,2.7306799893e-05,-3.7623351562e+04,8.0688989162e-01,1.8432617071e-04,0.0000000000e+00
6,3.9775600433e+00,-1.1117531540e-04,-3.7566605469e+04,5.3348112106e-01,2.3437499476e-04,0.0000000000e+00
7,3.9752261639e+00,-1.3048946857e-04,-4.8633110352e+03,5.9083670378e-01,-3.9306640974e-04,0.0000000000e+00
8,3.9761042595e+00,-1.2283501565e-04,1.8742137451e+03,9.2739534378e-01,-6.4697262133e-05,0.0000000000e+00
9,3.9770081043e+00,-1.1553211516e-04,1.9287761230e+03,9.0707468987e-01,-6.3629151555e-05,0.0000000000e+00
10,3.9779274464e+00,-1.0823269258e-04,1.9625567627e+03,8.8631868362e-01,-6.3400271756e-05,0.0000000000e+00
11,3.9788572788e+00,-1.0113775352e-04,1.9850944824e+03,8.6657488346e-01,-6.5612795879e-05,0.0000000000e+00
12,3.9797956944e+00,-9.3771981483e-05,2.0027471924e+03,8.4688848257e-01,-6.4010622737e-05,0.0000000000e+00
13,3.9807407856e+00,-8.6581108917e-05,2.0175803223e+03,8.2834297419e-01,-6.5002444899e-05,0.0000000000e+00
14,3.9816920757e+00,-7.8522716649e-05,2.0312727051e+03,8.1025880575e-01,-6.0272217524e-05,0.0000000000e+00
15,3.9826502800e+00,-7.1267641033e-05,2.0438098145e+03,7.9193079472e-01,-6.3095096266e-05,0.0000000000e+00
16,3.9836142063e+00,-6.1888356868e-05,2.0563125000e+03,7.7702379227e-01,-5.8441160945e-05,0.0000000000e+00
17,3.9845829010e+00,-5.3863321227e-05,2.0663850098e+03,7.6172178984e-01,-6.0882568505e-05,0.0000000000e+00
18,3.9855561256e+00,-4.5263826905e-05,2.0761572266e+03,7.5352728367e-01,-5.2795410738e-05,0.0000000000e+00
19,3.9865324497e+00,-3.7268575397e-05,2.0837893066e+03,7.4184584618e-01,-4.7607420129e-05,0.0000000000e+00
20,3.9875187874e+00,-2.6197147236e-05,2.0958779297e+03,7.3512822390e-01,-3.8070676965e-05,0.0000000000e+00
21,3.9884932041e+00,-2.6021214580e-05,2.0958779297e+03,7.3512822390e-01,-3.8070676965e-05,0.0000000000e+00
22,3.9894807339e+00,-1.5606929082e-05,2.0995161133e+03,7.3118227720e-01,-4.2190553359e-05,0.0000000000e+00
23,3.9904692173e+00,-4.9739110182e-06,2.1030217285e+03,7.3061126471e-01,-3.2501222449e-05,0.0000000000e+00
24,3.9914624691e+00,7.8331195255e-06,2.1054077148e+03,7.3691999912e-01,-2.7084350222e-05,0.0000000000e+00
25,3.9924502373e+00,1.3644401406e-05,2.1055336914e+03,7.2858309746e-01,-2.5939942134e-05,0.0000000000e+00
26,3.9934394360e+00,1.9214150598e-05,2.1047026367e+03,7.3810583353e-01,-1.2359619177e-05,0.0000000000e+00
27,3.9944317341e+00,3.0303795938e-05,2.1004672852e+03,7.3885828257e-01,-1.3427734302e-05,0.0000000000e+00
28,3.9954147339e+00,3.4722022974e-05,2.0981538086e+03,7.3911941051e-01,-1.3198852685e-05,0.0000000000e+00
