step,volume,free_surface_area,vx_10_20,pressure_25_30
101,1.5681604147e+00,2.7349987030e+00,3.0085567385e-02,7.6528457031e+03
102,1.5680855513e+00,2.7049987316e+00,3.0161624774e-02,7.6716733398e+03
103,1.5676603317e+00,2.7049987316e+00,3.1913559884e-02,7.6642490234e+03
104,1.5677354336e+00,2.6649987698e+00,2.9314167798e-02,7.7189750977e+03
105,1.5679605007e+00,2.6399989128e+00,3.2187819481e-02,7.6969633789e+03
106,1.5681104660e+00,2.6599986553e+00,2.9652902856e-02,7.7182988281e+03
107,1.5682104826e+00,2.6749987602e+00,3.3107694238e-02,7.7364560547e+03
108,1.5683356524e+00,2.6449987888e+00,3.0639514327e-02,7.7340927734e+03
109,1.5683103800e+00,2.7199985981e+00,3.2125238329e-02,7.7939648438e+03
110,1.5682355165e+00,2.6799986362e+00,3.0469881371e-02,7.8280341797e+03
111,1.5683355331e+00,2.6849989891e+00,2.9791092500e-02,7.7650483398e+03
112,1.5681104660e+00,2.6749987602e+00,3.4489616752e-02,7.7710771484e+03
113,1.5678855181e+00,2.6999986172e+00,3.1582899392e-02,7.8756582031e+03
114,1.5676604509e+00,2.6749985218e+00,3.4261457622e-02,7.7739423828e+03
115,1.5679855347e+00,2.6799986362e+00,3.3526770771e-02,7.8777563477e+03
116,1.5679605007e+00,2.6599986553e+00,3.3166050911e-02,7.8595190430e+03
117,1.5680605173e+00,2.6949987411e+00,3.5039514303e-02,7.8734135742e+03
118,1.5681605339e+00,2.6749985218e+00,3.2893951982e-02,7.8875195312e+03
119,1.5682106018e+00,2.6699988842e+00,3.5632725805e-02,7.9039316406e+03
120,1.5681355000e+00,2.6899988651e+00,3.4496784210e-02,7.9411328125e+03
121,1.5682104826e+00,2.7049987316e+00,3.3129576594e-02,7.9119970703e+03
122,1.5680603981e+00,2.7049987316e+00,3.7058260292e-02,7.9258774414e+03
123,1.5676603317e+00,2.7149989605e+00,3.3646233380e-02,7.9717109375e+03
124,1.5676354170e+00,2.6749987602e+00,3.7328675389e-02,7.9515473633e+03
125,1.5678855181e+00,2.6999986172e+00,3.8150783628e-02,7.9632070312e+03
126,1.5680354834e+00,2.6849987507e+00,3.7007361650e-02,8.0457319336e+03
127,1.5681854486e+00,2.7049989700e+00,3.4157581627e-02,8.0120073242e+03
128,1.5681855679e+00,2.6999988556e+00,3.9129853249e-02,7.9559575195e+03
129,1.5682854652e+00,2.6999986172e+00,3.5244476050e-02,8.0777060547e+03
130,1.5681104660e+00,2.7049987316e+00,3.9288353175e-02,7.9610908203e+03
131,1.5680605173e+00,2.6949987411e+00,3.5037882626e-02,8.1196875000e+03
132,1.5677353144e+00,2.7249987125e+00,3.9135381579e-02,7.9824970703e+03
133,1.5676854849e+00,2.7049987316e+00,3.7670977414e-02,8.1236606445e+03
134,1.5679104328e+00,2.6999986172e+00,3.8031440228e-02,8.0916474609e+03
135,1.5680105686e+00,2.7349987030e+00,3.9003957063e-02,8.0396987305e+03
136,1.5680354834e+00,2.7249989510e+00,3.5977814347e-02,8.1369360352e+03
137,1.5681355000e+00,2.7199988365e+00,3.7932120264e-02,8.1081767578e+03
138,1.5680855513e+00,2.7199988365e+00,3.8495369256e-02,8.0941982422e+03
139,1.5680353642e+00,2.7449986935e+00,3.9588455111e-02,8.1460239258e+03
140,1.5678855181e+00,2.7449986935e+00,3.9584267884e-02,8.1560585938e+03
141,1.5675854683e+00,2.7049987316e+00,3.7575408816e-02,8.2149882812e+03
142,1.5677356720e+00,2.7299988270e+00,4.1822660714e-02,8.1243139648e+03
