step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
49,2.9822525978e+00,-6.4614601433e-04,-2.5074645996e+02,1.5450792313e+00,-1.7680842429e-02,9.4415429688e+04
50,2.9822347164e+00,-1.1749472469e-03,-1.5821441650e+02,1.5219156742e+00,-2.7076797560e-02,9.4430664062e+04
51,2.9815115929e+00,3.5383724025e-04,-8.2167175293e+01,1.5233145952e+00,-2.0993787795e-02,9.4460281250e+04
52,2.9818134308e+00,-1.0340631707e-04,1.2483267784e+01,1.5310465097e+00,-1.3595378026e-02,9.4504718750e+04
53,2.9817595482e+00,-1.6786062042e-04,8.4169433594e+01,1.5183979273e+00,-1.8795233220e-02,9.4564312500e+04
54,2.9825842381e+00,-6.4158882014e-04,1.6070381165e+02,1.5275838375e+00,-1.5094120987e-02,9.4635992188e+04
55,2.9834256172e+00,1.9911240088e-04,2.2468817139e+02,1.5170233250e+00,-2.6856079698e-02,9.4718281250e+04
56,2.9847633839e+00,-2.4547282374e-04,2.8252691650e+02,1.5307370424e+00,-2.1419813856e-02,9.4811039062e+04
57,2.9858968258e+00,2.3128348403e-05,3.3697354126e+02,1.5386433601e+00,-2.9893264174e-02,9.4914679688e+04
58,2.9873075485e+00,-3.7415247061e-04,3.8706280518e+02,1.5397433043e+00,-3.1266886741e-02,9.5029007812e+04
59,2.9892663956e+00,-2.5967121474e-04,4.2841644287e+02,1.5405136347e+00,-2.6470201090e-02,9.5148914062e+04
60,2.9911496639e+00,-1.0441744962e-04,4.6400347900e+02,1.5573951006e+00,-2.6008820161e-02,9.5272539062e+04
61,2.9933273792e+00,-9.9179938843e-05,4.9152188110e+02,1.5435862541e+00,-2.9529804364e-02,9.5405429688e+04
62,2.9953796864e+00,-1.4034204651e-03,5.0524368286e+02,1.5345700979e+00,-3.2399937510e-02,9.5542812500e+04
63,2.9970204830e+00,-1.9454505527e-03,5.2129199219e+02,1.5531361103e+00,-2.6253992692e-02,9.5678468750e+04
64,2.9988067150e+00,-1.2787547894e-04,5.1653131104e+02,1.5444526672e+00,-1.9512888044e-02,9.5811976562e+04
65,3.0002710819e+00,-1.8634028675e-04,5.0817095947e+02,1.5880488157e+00,-3.1056314707e-02,9.5942187500e+04
66,3.0013108253e+00,-7.4962736107e-07,5.0445257568e+02,1.5488843918e+00,-3.6391329020e-02,9.6077234375e+04
67,3.0030009747e+00,-2.1120201563e-04,4.8139956665e+02,1.5676003695e+00,-2.4934081361e-02,9.6204546875e+04
68,3.0049576759e+00,1.3029210095e-04,4.4966143799e+02,1.5711127520e+00,-3.1969349831e-02,9.6327046875e+04
69,3.0064558983e+00,2.8137734625e-04,4.0785324097e+02,1.5529781580e+00,-2.7466770262e-02,9.6444203125e+04
70,3.0078701973e+00,5.9280736605e-04,3.5090377808e+02,1.5728445053e+00,-3.9161309600e-02,9.6552640625e+04
71,3.0087018013e+00,-1.8578558229e-04,2.8769683838e+02,1.5942597389e+00,-1.7419636250e-02,9.6650171875e+04
72,3.0106921196e+00,9.8361435812e-04,2.1752294922e+02,1.5691448450e+00,-3.7097133696e-02,9.6739507812e+04
73,3.0109632015e+00,-5.3353881231e-04,1.5257218933e+02,1.5566900969e+00,-4.2461954057e-02,9.6815257812e+04
74,3.0117061138e+00,-6.0826330446e-04,9.2309982300e+01,1.5538479090e+00,-3.9144422859e-02,9.6883140625e+04
75,3.0120944977e+00,-1.1635291157e-03,2.8731157303e+01,1.5590564013e+00,-4.2371284217e-02,9.6939210938e+04
76,3.0121479034e+00,-1.2536615832e-03,-3.3541500092e+01,1.5509327650e+00,-2.7004055679e-02,9.6983632812e+04
77,3.0118875504e+00,-1.2411321513e-03,-9.1264427185e+01,1.5514907837e+00,-3.4652702510e-02,9.7017554688e+04
78,3.0104310513e+00,-1.0857314337e-03,-1.4834567261e+02,1.5432747602e+00,-2.6664063334e-02,9.7041039062e+04
79,3.0090482235e+00,-6.8106531398e-04,-1.9486389160e+02,1.5310660601e+00,-4.6433851123e-02,9.7053742188e+04
80,3.0067319870e+00,4.6010245569e-06,-2.4089913940e+02,1.5347591639e+00,-2.8714463115e-02,9.7061304688e+04
81,3.0041668415e+00,8.2398310769e-04,-2.8287362671e+02,1.5295472145e+00,-3.8838271052e-02,9.7060429688e+04
82,3.0005946159e+00,1.2374580838e-03,-3.2365100098e+02,1.5218406916e+00,-2.5624185801e-02,9.7054125000e+04
83,2.9976673126e+00,2.1650136914e-03,-3.5103137207e+02,1.5278296471e+00,-2.4531114846e-02,9.7039664062e+04
84,2.9956731796e+00,3.1114686280e-03,-3.7721481323e+02,1.5290457010e+00,-2.0149689168e-02,9.7021140625e+04
85,2.9939694405e+00,3.0711144209e-03,-3.9430371094e+02,1.5243327618e+00,-5.2781447768e-02,9.7003367188e+04
86,2.9932405949e+00,3.0744655523e-03,-4.0623580933e+02,1.5261417627e+00,-3.7257809192e-02,9.6983570312e+04
87,2.9935691357e+00,3.2687659841e-03,-4.1215789795e+02,1.5247446299e+00,-4.0094129741e-02,9.6962734375e+04
88,2.9939415455e+00,2.3257231805e-03,-4.1119909668e+02,1.5128823519e+00,-4.8854675144e-02,9.6941460938e+04
89,2.9948043823e+00,1.8138992600e-03,-4.0634527588e+02,1.5428557396e+00,-2.1197831258e-02,9.6922851562e+04
90,2.9956212044e+00,5.6356238201e-04,-3.9537689209e+02,1.5271576643e+00,-1.5348773450e-02,9.6907484375e+04
91,2.9956984520e+00,-4.9770146143e-04,-3.6990301514e+02,1.5393255949e+00,-3.3651392907e-02,9.6893125000e+04
92,2.9956810474e+00,-1.5517950524e-03,-3.3871197510e+02,1.5247634649e+00,-2.3211263120e-02,9.6884039062e+04
93,2.9947092533e+00,-2.1657804027e-03,-3.0763919067e+02,1.5220938921e+00,-2.5901090354e-02,9.6881226562e+04
94,2.9933054447e+00,-2.8771699872e-03,-2.6770281982e+02,1.5314681530e+00,-2.5125097483e-02,9.6887781250e+04
95,2.9916744232e+00,-3.1512915157e-03,-2.2905285645e+02,1.5305166245e+00,-1.1326836422e-02,9.6898210938e+04
96,2.9910092354e+00,-3.9114924148e-03,-1.7460142517e+02,1.5441132784e+00,-2.4377983063e-02,9.6914820312e+04
97,2.9883847237e+00,-2.5057643652e-03,-1.2537693024e+02,1.5467152596e+00,-2.8608059511e-02,9.6941695312e+04
98,2.9875063896e+00,-2.6887289714e-03,-7.5818130493e+01,1.5612316132e+00,-4.0583122522e-02,9.6979757812e+04
99,2.9863979816e+00,-1.8658055924e-03,-2.0306106567e+01,1.5585001707e+00,-2.9952391982e-02,9.7025585938e+04
100,2.9861013889e+00,-1.6254598740e-03,3.1867038727e+01,1.5607022047e+00,-2.7716098353e-02,9.7080914062e+04
101,2.9860737324e+00,-1.2789979810e-03,7.4799842834e+01,1.5653722286e+00,-3.7300549448e-02,9.7143843750e+04
102,2.9861292839e+00,-8.7900966173e-04,1.1684637451e+02,1.5617614985e+00,-3.8460083306e-02,9.7215351562e+04
103,2.9866542816e+00,-7.8228150960e-04,1.5840454102e+02,1.5635733604e+00,-2.6458730921e-02,9.7292562500e+04
104,2.9875462055e+00,-6.4480153378e-04,1.9595172119e+02,1.5785256624e+00,-3.4389402717e-02,9.7378000000e+04
105,2.9886400700e+00,-5.4547260515e-04,2.3833444214e+02,1.5948014259e+00,-1.4592760243e-02,9.7468304688e+04
106,2.9897396564e+00,-6.4547994407e-04,2.7996594238e+02,1.6004106998e+00,-2.8026122600e-02,9.7566070312e+04
107,2.9906461239e+00,-3.8014203892e-04,3.0585946655e+02,1.5874373913e+00,-3.7873245776e-02,9.7671375000e+04
108,2.9917991161e+00,-4.6392736840e-04,3.3126367188e+02,1.5789959431e+00,-4.7171358019e-02,9.7779390625e+04
109,2.9936342239e+00,-2.0446605049e-04,3.4531735229e+02,1.5868242979e+00,-2.5492172688e-02,9.7887046875e+04
110,2.9950001240e+00,-4.7447375255e-04,3.5012359619e+02,1.6023176908e+00,-3.4181155264e-02,9.7997093750e+04
111,2.9961309433e+00,-2.9673686367e-04,3.5392785645e+02,1.6056377888e+00,-3.2530587167e-02,9.8109250000e+04
112,2.9972126484e+00,-4.5647419756e-04,3.5330511475e+02,1.6173599958e+00,-3.5464156419e-02,9.8222242188e+04
113,2.9997577667e+00,-2.0910959574e-04,3.5359957886e+02,1.5981377363e+00,-2.4431558326e-02,9.8333078125e+04
114,3.0008234978e+00,-4.1077972855e-04,3.3952169800e+02,1.6066433191e+00,-5.1363915205e-02,9.8444015625e+04
115,3.0018389225e+00,-1.3768168865e-03,3.2451721191e+02,1.5857434273e+00,-2.5356987491e-02,9.8550531250e+04
116,3.0021252632e+00,-5.5533827981e-04,2.8421774292e+02,1.6048190594e+00,-1.8497237936e-02,9.8652164062e+04
117,3.0034716129e+00,-6.4422847936e-04,2.7382238770e+02,1.6198111773e+00,-4.7416996211e-02,9.8750375000e+04
118,3.0044953823e+00,-7.6756771887e-04,2.3801493835e+02,1.6256768703e+00,-2.7667766437e-02,9.8843906250e+04
119,3.0052454472e+00,-4.1829852853e-04,2.1379640198e+02,1.6232792139e+00,-2.5414496660e-02,9.8932085938e+04
120,3.0054318905e+00,-8.2144013140e-04,1.6490592957e+02,1.5957696438e+00,-3.7002258003e-02,9.9012156250e+04
121,3.0060665607e+00,-9.1235607397e-04,1.3517729187e+02,1.6006923914e+00,-3.2047662884e-02,9.9086578125e+04
122,3.0068137646e+00,-6.1007891782e-04,9.0216979980e+01,1.5984467268e+00,-3.8928899914e-02,9.9155476562e+04
123,3.0069222450e+00,-1.0060478235e-03,4.9047988892e+01,1.5869884491e+00,-2.6881985366e-02,9.9214351562e+04
124,3.0064890385e+00,-1.6823371407e-03,9.8109502792e+00,1.5775381327e+00,-2.7204995975e-02,9.9268234375e+04
125,3.0067341328e+00,-7.5889675645e-04,-3.6534534454e+01,1.5601036549e+00,-2.9387893155e-02,9.9311125000e+04
126,3.0071465969e+00,-4.7531389282e-04,-6.3462528229e+01,1.5991673470e+00,-2.4556409568e-02,9.9347859375e+04
127,3.0066277981e+00,-1.0281133000e-03,-1.0284583282e+02,1.5898256302e+00,-2.5024347007e-02,9.9376484375e+04
128,3.0046458244e+00,-5.6858162861e-04,-1.2979315186e+02,1.5881515741e+00,-2.4091118947e-02,9.9401789062e+04
129,3.0052530766e+00,-8.0077978782e-04,-1.7163417053e+02,1.5696079731e+00,-1.7919175327e-02,9.9423265625e+04
130,3.0039486885e+00,-1.3708403567e-03,-2.0497770691e+02,1.5766718388e+00,-1.0857510380e-02,9.9438601562e+04
