step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2250000000e+03
1,4.9224061966e+00,-1.3281250140e-03,4.8221581250e+05,1.2115560532e+01,-5.8333331253e-04,2.4678528125e+05
2,5.0315995216e+00,6.7529681837e-04,1.0959375977e+04,1.7267993689e+00,-1.2305207551e-02,2.5440946875e+05
3,5.0256114006e+00,5.0032290164e-04,-5.9243310547e+02,1.4630888700e+00,-5.5764969438e-03,2.5407028125e+05
4,5.0188207626e+00,3.9981523878e-04,-6.6438220215e+02,1.3772304058e+00,1.9880207255e-03,2.5376282812e+05
5,5.0117993355e+00,-3.9331725930e-06,-6.9920812988e+02,1.3371254206e+00,-7.3520177975e-03,2.5345746875e+05
6,5.0049910545e+00,-1.5705812257e-04,-6.9632269287e+02,1.2955313921e+00,-1.4166860841e-02,2.5315259375e+05
7,4.9983887672e+00,-2.1580795874e-04,-6.6538354492e+02,1.2687243223e+00,-9.1334627941e-03,2.5285771875e+05
8,4.9923744202e+00,-3.6403705599e-04,-6.0709393311e+02,1.2437891960e+00,-1.0541405529e-02,2.5256837500e+05
9,4.9869613647e+00,-4.7953167814e-04,-5.3820104980e+02,1.2233141661e+00,-9.3069653958e-03,2.5230303125e+05
10,4.9822268486e+00,-4.9381819554e-04,-4.6245330811e+02,1.2024395466e+00,-6.1339838430e-03,2.5207689062e+05
11,4.9783992767e+00,-5.9881788911e-04,-3.7996060181e+02,1.1852078438e+00,2.6749998797e-03,2.5190014062e+05
12,4.9753432274e+00,-4.5575265540e-04,-2.8698403931e+02,1.1779693365e+00,-8.8139967993e-03,2.5178501562e+05
13,4.9751267433e+00,-4.2018745444e-04,-1.3543359756e+01,1.1605691910e+00,-7.2576166131e-03,2.5187603125e+05
14,4.9755225182e+00,-3.4741111449e-04,5.6091495514e+01,1.1605005264e+00,-1.1782030575e-02,2.5202612500e+05
15,4.9766216278e+00,-3.3697389881e-04,1.1552886963e+02,1.1444261074e+00,1.3759114081e-03,2.5223353125e+05
16,4.9782314301e+00,-3.8345184294e-04,1.6740827942e+02,1.1302676201e+00,-1.2659048662e-02,2.5247987500e+05
