step,vx_12_12,vy_12_12,pressure_12_12,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.7480017090e+02
1,5.0551605225e-01,-5.0384294987e-01,-2.0350854874e+01,6.0461260986e+02
2,5.0475323200e-01,-5.0295609236e-01,2.1774026871e+01,6.0447631836e+02
3,5.0390940905e-01,-5.0265073776e-01,3.1291957855e+01,6.0378814697e+02
4,5.0291144848e-01,-5.0198906660e-01,3.5305286407e+01,6.0277716064e+02
5,5.0165325403e-01,-5.0155562162e-01,3.3114456177e+01,6.0155859375e+02
6,5.0053095818e-01,-5.0065261126e-01,3.4980918884e+01,6.0021722412e+02
7,4.9903455377e-01,-4.9996480346e-01,3.2617202759e+01,5.9878973389e+02
8,4.9813154340e-01,-4.9857610464e-01,3.1469610214e+01,5.9730163574e+02
9,4.9728822708e-01,-4.9746200442e-01,3.1928215027e+01,5.9576904297e+02
10,4.9659359455e-01,-4.9669516087e-01,3.0985906601e+01,5.9420788574e+02
11,4.9564510584e-01,-4.9624788761e-01,2.9729047775e+01,5.9262371826e+02
12,4.9453586340e-01,-4.9559050798e-01,2.5126262665e+01,5.9102056885e+02
13,4.9376475811e-01,-4.9517959356e-01,2.6555126190e+01,5.8940472412e+02
14,4.9316161871e-01,-4.9518740177e-01,2.6522891998e+01,5.8778100586e+02
15,4.9224174023e-01,-4.9505922198e-01,2.3292028427e+01,5.8614874268e+02
16,4.9185574055e-01,-4.9451747537e-01,2.6711690903e+01,5.8451220703e+02
17,4.9146804214e-01,-4.9413487315e-01,2.5128240585e+01,5.8287701416e+02
18,4.9079841375e-01,-4.9335652590e-01,2.5901538849e+01,5.8123907471e+02
19,4.9039828777e-01,-4.9227228761e-01,2.7266149521e+01,5.7959490967e+02
20,4.8974707723e-01,-4.9138766527e-01,2.8226703644e+01,5.7795428467e+02
21,4.8878878355e-01,-4.9068680406e-01,2.6051084518e+01,5.7631488037e+02
22,4.8848763108e-01,-4.8980295658e-01,2.7152612686e+01,5.7467456055e+02
