step,vx_225_100,vy_225_100,pressure_225_100,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9600000000e+02
1,1.9727500677e+00,5.8750004973e-04,7.2934087500e+05,1.6298675537e+02,-5.7031251490e-03,1.1909235938e+05
2,2.0074641705e+00,-1.5902184532e-04,1.3720200195e+04,3.6670279503e+00,-8.6425784975e-03,1.2211173438e+05
3,2.0073766708e+00,-1.6070858692e-04,-2.7704790115e+01,1.7172659636e+00,8.8858036324e-03,1.2210667188e+05
4,2.0070970058e+00,-1.4057313092e-04,-1.0699825287e+02,1.4116348028e+00,-1.9316100515e-03,1.2208228906e+05
5,2.0066914558e+00,-1.0295226821e-04,-1.5431929016e+02,1.2717367411e+00,-3.8065642118e-02,1.2205115625e+05
6,2.0061919689e+00,-8.5530635261e-05,-1.9257363892e+02,1.1620659828e+00,2.2489471361e-02,1.2201959375e+05
7,2.0056238174e+00,-9.4405811979e-05,-2.2858190918e+02,1.0282555819e+00,2.5773162022e-02,1.2197907812e+05
8,2.0049738884e+00,-9.5249590231e-05,-2.6061083984e+02,9.3864685297e-01,4.4627532363e-02,1.2192854688e+05
9,2.0042710304e+00,-6.5786312916e-05,-2.8138256836e+02,8.2125109434e-01,3.8321990520e-02,1.2187458594e+05
10,2.0035142899e+00,-4.3276908400e-05,-2.9475155640e+02,8.1701123714e-01,3.2455902547e-02,1.2181487500e+05
11,2.0027778149e+00,-3.4815722756e-05,-3.0507739258e+02,8.4400695562e-01,1.5703277662e-02,1.2175080469e+05
12,2.0020153522e+00,-3.4233053157e-05,-3.1187545776e+02,8.4543508291e-01,-3.6560211331e-02,1.2168398438e+05
13,2.0013031960e+00,-1.2334654457e-05,-3.1517626953e+02,8.3967453241e-01,6.6612241790e-03,1.2161422656e+05
14,2.0005581379e+00,2.5363791792e-05,-3.0662258911e+02,8.8050949574e-01,2.7635192964e-03,1.2154256250e+05
15,1.9997998476e+00,5.0905182434e-05,-2.9578884888e+02,8.8062483072e-01,1.3729095459e-02,1.2147248438e+05
16,1.9989701509e+00,4.2080966523e-05,-2.8235205078e+02,8.3900332451e-01,-2.4997405708e-02,1.2140479688e+05
17,1.9981683493e+00,4.0326038288e-05,-2.7884484863e+02,8.3812069893e-01,-3.4688264132e-02,1.2133880469e+05
18,1.9973779917e+00,5.2915991546e-05,-2.7326382446e+02,8.5049980879e-01,-3.2493590843e-03,1.2127501562e+05
19,1.9966247082e+00,6.9439869549e-05,-2.6837661743e+02,8.8445335627e-01,3.1780090183e-02,1.2121410156e+05
20,1.9958990812e+00,7.5818592450e-05,-2.6153167725e+02,8.8235533237e-01,3.1395416707e-02,1.2115675000e+05
21,1.9952543974e+00,8.3650156739e-05,-2.5520814514e+02,8.9746183157e-01,3.7094574422e-02,1.2110496875e+05
22,1.9946620464e+00,9.2607951956e-05,-2.4652703857e+02,8.9191329479e-01,1.7097320408e-02,1.2105880469e+05
23,1.9941200018e+00,9.7531403298e-05,-2.3250367737e+02,9.1590440273e-01,4.3234251440e-02,1.2101903906e+05
24,1.9936312437e+00,1.1646733765e-04,-2.1033146667e+02,9.9004614353e-01,2.3232422769e-02,1.2098512500e+05
25,1.9932358265e+00,1.2614516891e-04,-1.7930751038e+02,1.0128718615e+00,2.1447448060e-02,1.2095888281e+05
26,1.9929270744e+00,1.4616854605e-04,-1.4299691772e+02,1.0228999853e+00,3.4724427387e-03,1.2094111719e+05
27,1.9926556349e+00,1.3121812663e-04,-1.0745817566e+02,1.0005573034e+00,1.6622772440e-02,1.2093230469e+05
28,1.9924656153e+00,1.3113739260e-04,-7.0273094177e+01,1.0658254623e+00,2.6467589661e-02,1.2092908594e+05
29,1.9923733473e+00,1.4582673612e-04,-3.0401018143e+01,1.1073920727e+00,-1.4801025391e-02,1.2093501562e+05
30,1.9924056530e+00,1.5466639888e-04,1.3135429382e+01,1.1270494461e+00,7.9943845049e-03,1.2094801562e+05
31,1.9925479889e+00,1.5395446098e-04,5.3754753113e+01,1.1325743198e+00,1.9929504022e-02,1.2097049219e+05
32,1.9927737713e+00,1.5184446238e-04,8.9065132141e+01,1.1258980036e+00,3.1806413084e-02,1.2100090625e+05
33,1.9930565357e+00,1.4743562497e-04,1.2120788574e+02,1.1326692104e+00,2.5550154969e-02,1.2103715625e+05
34,1.9934463501e+00,1.5611475101e-04,1.5258184814e+02,1.1606842279e+00,2.6169586927e-02,1.2108040625e+05
35,1.9938850403e+00,1.4877552167e-04,1.8152056885e+02,1.1505713463e+00,6.3812255859e-02,1.2112886719e+05
36,1.9943984747e+00,1.2475179392e-04,2.0516021729e+02,1.1731234789e+00,4.7021027654e-02,1.2118300781e+05
37,1.9949569702e+00,1.1468645243e-04,2.2409655762e+02,1.1828322411e+00,1.0308456607e-02,1.2124322656e+05
38,1.9955472946e+00,1.0350425146e-04,2.4047355652e+02,1.1726367474e+00,-1.9989242777e-02,1.2130763281e+05
39,1.9961794615e+00,9.3516013294e-05,2.5402210999e+02,1.1906290054e+00,4.6361997724e-02,1.2137446094e+05
40,1.9968485832e+00,7.8907090938e-05,2.6591989136e+02,1.2281937599e+00,5.3232040256e-02,1.2144332812e+05
41,1.9974936247e+00,4.2528343329e-05,2.7335354614e+02,1.2119357586e+00,7.7625275590e-03,1.2151424219e+05
42,1.9981869459e+00,3.3610929677e-05,2.7460363770e+02,1.2380517721e+00,-1.8709335476e-02,1.2158885156e+05
43,1.9988683462e+00,2.5758945412e-05,2.7570544434e+02,1.2545512915e+00,1.2603912503e-02,1.2166340625e+05
44,1.9996020794e+00,3.6005862057e-05,2.7457812500e+02,1.2954958677e+00,2.8896484524e-02,1.2173757812e+05
45,2.0002756119e+00,1.2237482224e-05,2.7285702515e+02,1.3625514507e+00,4.2327500880e-02,1.2181140625e+05
