step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9600000000e+02
1,1.9740499258e+00,5.9999997029e-04,5.5229018750e+05,1.0447279358e+02,-3.0468748882e-03,6.6930460938e+04
2,2.0046734810e+00,-1.1949389591e-04,9.1959853516e+03,2.9367358685e+00,4.5028075576e-02,6.8451648438e+04
3,2.0048031807e+00,-1.1008403089e-04,3.9015747070e+01,1.9845029116e+00,-9.0750120580e-03,6.8457906250e+04
4,2.0047006607e+00,-1.0160705278e-04,-2.6833591461e+01,1.8011687994e+00,1.3771819649e-03,6.8453187500e+04
5,2.0044355392e+00,-9.3461865617e-05,-8.1635688782e+01,1.6965661049e+00,4.8337630928e-02,6.8444125000e+04
6,2.0039932728e+00,-9.0775043645e-05,-1.2329516602e+02,1.6545425653e+00,1.8877563998e-02,6.8427835938e+04
7,2.0034961700e+00,-6.5339263529e-05,-1.5688980103e+02,1.5737283230e+00,1.5093231341e-03,6.8405609375e+04
8,2.0028922558e+00,-4.5825196139e-05,-1.8089259338e+02,1.5224871635e+00,2.0875548944e-03,6.8380007812e+04
9,2.0022432804e+00,-1.8067210476e-05,-1.9809394836e+02,1.4982452393e+00,-5.7368469425e-03,6.8350359375e+04
10,2.0015480518e+00,-2.2643780540e-06,-2.0775784302e+02,1.4804699421e+00,2.3451233283e-03,6.8317710938e+04
11,2.0007925034e+00,1.6475283701e-05,-2.1425109863e+02,1.4551190138e+00,-2.0781859756e-02,6.8283625000e+04
12,2.0000247955e+00,1.5089951376e-05,-2.1606089783e+02,1.4245617390e+00,-1.0478820652e-02,6.8249484375e+04
13,1.9992828369e+00,2.6155556043e-05,-2.1549713135e+02,1.3931987286e+00,-2.0191498101e-02,6.8215078125e+04
14,1.9985463619e+00,2.7470348869e-05,-2.1095625305e+02,1.3853188753e+00,-3.5530317575e-02,6.8183992188e+04
15,1.9978642464e+00,4.7013840231e-05,-2.0243522644e+02,1.3656371832e+00,-1.3592987321e-02,6.8152976562e+04
16,1.9972109795e+00,4.4406595407e-05,-1.8825184631e+02,1.3430147171e+00,1.4989090152e-02,6.8126828125e+04
17,1.9966574907e+00,7.5273484981e-05,-1.6887895203e+02,1.3250455856e+00,3.1482316554e-02,6.8103304688e+04
18,1.9961655140e+00,7.5993637438e-05,-1.4111633301e+02,1.3407864571e+00,6.3379667699e-03,6.8086257812e+04
19,1.9958364964e+00,9.8820470157e-05,-1.0735479736e+02,1.3313313723e+00,-9.1386409476e-03,6.8073460938e+04
20,1.9955812693e+00,1.0296446271e-04,-7.0065589905e+01,1.3377697468e+00,-6.7494199611e-03,6.8066976562e+04
21,1.9954669476e+00,1.0846032819e-04,-2.8755548477e+01,1.3419395685e+00,-3.6003876012e-03,6.8066937500e+04
22,1.9955027103e+00,1.2745152344e-04,1.2086285591e+01,1.3415151834e+00,1.9824982155e-03,6.8073304688e+04
23,1.9956674576e+00,1.3096873590e-04,5.0461246490e+01,1.3287109137e+00,-4.4587706216e-03,6.8086039062e+04
24,1.9959083796e+00,1.1327765242e-04,8.3448196411e+01,1.3332377672e+00,-1.8715895712e-02,6.8104671875e+04
25,1.9962544441e+00,8.7630382041e-05,1.1059755707e+02,1.3151000738e+00,-7.1471403353e-03,6.8127671875e+04
26,1.9967007637e+00,7.9504461610e-05,1.3282983398e+02,1.3302049637e+00,-6.8890382536e-03,6.8154664062e+04
27,1.9972134829e+00,6.5329513745e-05,1.5172421265e+02,1.3244131804e+00,2.2583007812e-03,6.8184507812e+04
28,1.9977352619e+00,3.3036722016e-05,1.6549307251e+02,1.3360940218e+00,2.2277068347e-03,6.8217335938e+04
29,1.9983148575e+00,3.5727560316e-05,1.7417156982e+02,1.3338705301e+00,5.1894378848e-03,6.8250328125e+04
