step,vx_25_25,vy_25_25
138,4.9384132028e-01,-4.9174812436e-01
139,4.9389663339e-01,-4.9155107141e-01
140,4.9381095171e-01,-4.9150928855e-01
141,4.9371111393e-01,-4.9148705602e-01
142,4.9359765649e-01,-4.9145832658e-01
143,4.9368298054e-01,-4.9126577377e-01
144,4.9359112978e-01,-4.9121776223e-01
145,4.9355104566e-01,-4.9114078283e-01
146,4.9335098267e-01,-4.9121147394e-01
147,4.9337065220e-01,-4.9103951454e-01
148,4.9318605661e-01,-4.9112924933e-01
149,4.9330812693e-01,-4.9085178971e-01
150,4.9298530817e-01,-4.9106916785e-01
151,4.9324154854e-01,-4.9066507816e-01
152,4.9311611056e-01,-4.9066710472e-01
153,4.9300700426e-01,-4.9066329002e-01
154,4.9288013577e-01,-4.9068370461e-01
155,4.9275815487e-01,-4.9066847563e-01
156,4.9279525876e-01,-4.9049866199e-01
157,4.9265545607e-01,-4.9054676294e-01
158,4.9267172813e-01,-4.9037143588e-01
159,4.9239405990e-01,-4.9055978656e-01
160,4.9235031009e-01,-4.9047628045e-01
161,4.9232938886e-01,-4.9036628008e-01
162,4.9240541458e-01,-4.9015608430e-01
163,4.9231621623e-01,-4.9012187123e-01
164,4.9223116040e-01,-4.9009421468e-01
165,4.9215170741e-01,-4.9004420638e-01
166,4.9212276936e-01,-4.8997321725e-01
167,4.9211969972e-01,-4.8981630802e-01
168,4.9185019732e-01,-4.9000942707e-01
169,4.9208602309e-01,-4.8961275816e-01
170,4.9186229706e-01,-4.8973548412e-01
171,4.9187457561e-01,-4.8960509896e-01
172,4.9164545536e-01,-4.8970213532e-01
173,4.9176278710e-01,-4.8948708177e-01
174,4.9157559872e-01,-4.8954069614e-01
175,4.9165415764e-01,-4.8935842514e-01
176,4.9160867929e-01,-4.8927393556e-01
177,4.9148210883e-01,-4.8929455876e-01
178,4.9136960506e-01,-4.8929864168e-01
179,4.9130541086e-01,-4.8923075199e-01
180,4.9132138491e-01,-4.8909252882e-01
181,4.9123632908e-01,-4.8907414079e-01
182,4.9121043086e-01,-4.8897045851e-01
183,4.9096828699e-01,-4.8911002278e-01
184,4.9119895697e-01,-4.8875781894e-01
185,4.9109825492e-01,-4.8873707652e-01
186,4.9098148942e-01,-4.8874279857e-01
187,4.9087926745e-01,-4.8873454332e-01
188,4.9084630609e-01,-4.8865357041e-01
189,4.9077966809e-01,-4.8858952522e-01
190,4.9066376686e-01,-4.8860982060e-01
191,4.9069485068e-01,-4.8848083615e-01
192,4.9066784978e-01,-4.8835548759e-01
193,4.9045431614e-01,-4.8848357797e-01
194,4.9053090811e-01,-4.8827147484e-01
195,4.9051234126e-01,-4.8817345500e-01
196,4.9042651057e-01,-4.8815771937e-01
197,4.9028089643e-01,-4.8820063472e-01
198,4.9034830928e-01,-4.8800143600e-01
199,4.9015516043e-01,-4.8810651898e-01
200,4.9027299881e-01,-4.8786011338e-01
201,4.8999726772e-01,-4.8803597689e-01
202,4.9023559690e-01,-4.8767974973e-01
