step,vx_187_62,vy_187_62,pressure_187_62,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.5375000000e+03
1,4.9269375801e+00,1.4062500559e-03,6.1036050000e+05,1.5074009895e+01,-1.4999999257e-04,3.8569353125e+05
2,5.0399470329e+00,-8.0397585407e-04,1.4932342773e+04,1.5768042803e+00,-1.1224999093e-02,3.9856968750e+05
3,5.0318260193e+00,-8.3200092195e-04,-9.9717822266e+02,1.3232705593e+00,9.6406247467e-03,3.9777662500e+05
4,5.0234808922e+00,-5.7061237749e-04,-1.1085174561e+03,1.3006170988e+00,-9.9641922861e-03,3.9697821875e+05
5,5.0139584541e+00,-4.7362956684e-04,-1.1665131836e+03,1.2795820236e+00,-1.0368488729e-03,3.9616418750e+05
6,5.0065379143e+00,1.0976060003e-04,-1.1851616211e+03,1.2560538054e+00,1.1182030663e-02,3.9537828125e+05
7,4.9975061417e+00,-1.5089822700e-03,-1.1690852051e+03,1.2513844967e+00,2.6715232059e-02,3.9461643750e+05
8,4.9889445305e+00,3.0054565286e-04,-1.1069113770e+03,1.2292482853e+00,5.4957680404e-03,3.9388606250e+05
9,4.9818758965e+00,9.5357920509e-04,-1.0180506592e+03,1.2235488892e+00,1.8012564629e-02,3.9320587500e+05
10,4.9751849174e+00,6.9439155050e-04,-8.8337603760e+02,1.1960268021e+00,2.4298241362e-02,3.9262287500e+05
11,4.9713516235e+00,1.0018286994e-03,-4.2609378052e+02,1.1955890656e+00,1.7454035580e-02,3.9236346875e+05
12,4.9701504707e+00,3.4742942080e-04,-7.9403289795e+01,1.1646376848e+00,2.3050388321e-02,3.9242543750e+05
13,4.9681110382e+00,1.8092184328e-03,6.6598175049e+01,1.1540759802e+00,2.5035023689e-02,3.9264512500e+05
14,4.9724416733e+00,7.1213481715e-04,1.8049391174e+02,1.1486967802e+00,3.5361390561e-02,3.9297712500e+05
15,4.9739036560e+00,7.4154301547e-04,2.6993634033e+02,1.1337888241e+00,2.5219399482e-02,3.9340256250e+05
16,4.9773788452e+00,6.8167585414e-04,3.4673638916e+02,1.1246069670e+00,3.2073564827e-02,3.9390462500e+05
17,4.9797511101e+00,-2.2745327442e-04,4.0915960693e+02,1.1167085171e+00,2.9343422502e-02,3.9446243750e+05
18,4.9833006859e+00,7.9853081843e-04,4.6907815552e+02,1.1088272333e+00,1.5347264707e-02,3.9506559375e+05
19,4.9877319336e+00,6.3026491262e-05,5.1185116577e+02,1.0902525187e+00,1.0075259954e-02,3.9569371875e+05
20,4.9923028946e+00,1.0508419946e-03,5.4649114990e+02,1.0775933266e+00,6.1963535845e-03,3.9635737500e+05
21,4.9961400032e+00,9.4209710369e-05,5.6485113525e+02,1.0695974827e+00,4.4880206697e-03,3.9702100000e+05
22,5.0000386238e+00,9.1509963386e-04,5.7495446777e+02,1.0698305368e+00,9.3585280702e-03,3.9767803125e+05
